FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,use_Sirius_class,env_sig
FT_1.657_255.08748,-0.2273396152604729,0.0694399353768108,26.402759292361523,-3.27390303615392,-0.3699695499607108,-0.08470968056023498,0.002959858058632058,0.0360348120931363,no name,C11H14O4,L3.2,yes,moisture
FT_1.904_269.10308,-0.2597887452909238,0.07897305078557985,25.343842031482318,-3.289587304867803,-0.4223249710163789,-0.09725251956546863,0.0029460636197230546,0.0360348120931363,no name,C13H18O6,L3.1,yes,moisture
FT_1.939_216.98085,0.19988725870583882,0.043976492530258725,27.999999999226695,4.54532062938633,0.10980549733563952,0.2899690200760381,9.603488344958955e-5,0.0029935214956230377,no name,C7H8O4P2,L3.2,yes,moisture
FT_1.979_256.97591,0.18058109867011948,0.048649866211358875,26.066728917051016,3.71185190696284,0.08059232428396018,0.2805698730562788,9.835969691902248e-4,0.01783589170798274,no name,C9H8O5P2,L3.2,yes,moisture
FT_10.755_259.12997,-0.7569240263339909,0.1813296216990249,25.617780362323508,-4.174298822452467,-1.1299232487799478,-0.38392480388803407,3.037003958955382e-4,0.0070805578014502615,gamma-Glu-leu,C11H20N2O5,L2.3,no,moisture
FT_10.760_485.15131,0.6377848090602298,0.1019438292421342,25.306811167138306,6.256237516303029,0.4279565558557949,0.8476130622646647,1.4377291745756988e-6,1.1731870064537702e-4,no name,C18H30O15,L3.2,yes,moisture
FT_11.478_245.11431,-1.3590800964699543,0.2447027920437271,25.757562079585803,-5.554003226195694,-1.86230440869784,-0.8558557842420685,8.090609816771528e-6,3.667743116936426e-4,glutamylvaline,C10H18N2O5,L2.3,no,moisture
FT_11.767_487.16695,-0.7016902158378822,0.10499754411491526,25.399638962401742,-6.68292026973424,-0.9177643141348453,-0.48561611754091905,4.8779942144786e-7,5.68634754144934e-5,solatriose,C18H32O15,L2.3,no,moisture
FT_12.130_267.07223,-0.4625892158065193,0.14787409312625024,26.394657438383028,-3.1282640929643786,-0.766327723183285,-0.15885070842975357,0.004254432804093625,0.043395214601754974,inosinum,C10H12N4O5,L2.3,no,moisture
FT_12.209_387.11466,-0.2856213487249105,0.06175794238323138,25.28713292087695,-4.624852087080915,-0.41274101978718086,-0.15850167766264017,9.610335930885616e-5,0.0029935214956230377,beta1-6Galactobiose,C12H22O11,L2.2,no,moisture
FT_12.209_729.23024,-0.27071931413711625,0.05950871903822853,25.277076853387044,-4.54923780098855,-0.39321173030599704,-0.14822689796823546,1.1713743403624852e-4,0.003296005040468234,no name,C31H40O17,L3.2,yes,moisture
FT_12.663_366.99751,-0.6118919691110544,0.177982359686056,26.018408186626623,-3.4379360414727267,-0.9777273517309879,-0.24605658649112078,0.0019838450994531113,0.02712507185923639,no name,C11H14O10P2,L3.2,yes,moisture
