FeatureID,Name,Formula,Annotation_level,use_Sirius_class
FT_1.167_347.11376,"4,4(5')-dihydroxydibenzo-15-crown-5",C18 H20 O7,L2,na
FT_1.236_191.03498,"5,7-Dihydroxy-4-methylcoumarin",C10 H8 O4,L2,na
FT_1.321_191.03501,"5,7-Dihydroxy-4-methylcoumarin",C10 H8 O4,L2,na
FT_1.468_251.05608,Triacetylphloroglucinol,C12H12O6,L3.3,na
FT_2.041_137.03571,5-Aminonicotinic acid,C6 H6 N2 O2,L2,na
FT_3.216_137.03571,urocanate,C6 H6 N2 O2,L2,na
FT_1.365_251.09250,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",C14 H12 N4 O,L2,na
FT_1.525_251.09253,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",C14 H12 N4 O,L2,na
FT_1.628_251.09246,NP-001608,C13H16O5,L2,na
FT_1.143_397.12968,pongachalcone II,C21H20O5,L3.3,na
FT_1.223_397.12956,"(2E)-7-methyl-6-(2-oxopropoxy)-2-[(3,4,5-trimethoxyphenyl)methylidene]-1-benzofuran-3-one",C22H22O7,L3.3,na
FT_2.030_187.09752,Azelaic acid,C9 H16 O4,L2,na
FT_2.136_187.09750,Azelaic acid,C9 H16 O4,L2,na
FT_11.355_259.01294,d-Galactopyranose-2-sulfate,C6H12O9S,L3.3,na
FT_12.284_259.01291,d-Galactopyranose-2-sulfate,C6H12O9S,L3.3,na
FT_1.037_437.08811,4-hydroxytetracenomycin A2,C23H18O9,L3.3,na
FT_1.183_207.06610,Genipin,C11 H14 O5,L2,na
FT_1.237_207.06609,Genipin,C11 H14 O5,L2,na
FT_2.740_113.02448,Glutaric anhydride,C5 H6 O3,L2,na
FT_1.162_283.06126,Glycitein,C16 H12 O5,L2,na
FT_8.083_282.08449,Guanosine,C10 H13 N5 O5,L2,na
FT_13.751_341.10903,alpha-alpha-Trehalose,C12 H22 O11,L2,na
FT_1.168_527.15599,F13459,C27H28O11,L3.3,na
FT_1.148_193.05068,Isoferulic acid,C10 H10 O4,L2,na
FT_2.065_193.05064,Isoferulic acid,C10 H10 O4,L2,na
FT_1.223_257.08202,Isorhapontigenin,C15 H14 O4,L2,na
FT_8.843_316.94801,no name,no formula,L5,na
FT_1.601_165.05563,Methyl 4-hydroxyphenylacetate,C9 H10 O3,L2,na
FT_3.025_147.06635,Mevalonic acid,C6 H12 O4,L2,na
FT_1.139_405.09830,"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide",C16H18N6O5S,L3.3,na
FT_1.434_345.09809,hamilcone,C18H18O7,L3.3,na
FT_1.208_469.18705,NP-005088,C26H32O9,L2,na
FT_14.571_333.05952,poly(galactosylglycerol phosphate),C9H19O11P,L3.3,na
FT_1.609_445.15069,"3-(Acetyloxy)-2-(3,4-dimethoxyphenyl)-7,8-dimethoxy-3,4-dihydro-2H-chromen-4-yl acetate",C23H26O9,L3.3,na
FT_1.046_465.15560,"N-{[(2R,3S,4R,5S)-3,4-Dihydroxy-5-{2-oxo-2-[4-(2-pyridinyl)-1-piperazinyl]ethyl}tetrahydro-2-furanyl]methyl}-2-furamide",C21 H26 N4 O6,L2,na
FT_1.390_277.07177,[2-[3-(2-Acetyloxyacetyl)phenyl]-2-oxoethyl] acetate,C14H14O6,L3.3,na
FT_1.188_269.04556,"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione",C15H10O5,L3.3,na
FT_1.535_351.14519,Coriandrone D,C18H24O7,L3.3,na
FT_1.670_281.10327,Gonioheptolide A,C14H18O6,L3.3,na
FT_1.387_357.13459,NP-003433,C20 H22 O6,L2,na
FT_1.285_313.23864,12(13)-DiHOME,C18 H34 O4,L2,na
FT_1.463_459.12991,embigenin,C23H24O10,L3.3,na
FT_1.669_387.18144,NP-018946,C21 H26 O4,L2,na
FT_1.176_443.13501,NP-020236,C23 H24 O9,L2,na
FT_1.348_443.13495,NP-020236,C23 H24 O9,L2,na
FT_13.222_411.11466,"(2R,3R,4R,5R)-5-[[(2S,3R,4R,5R)-3,4-dihydroxy-5-[[(2S,3R,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methoxy]oxolan-2-yl]methoxy]-3,4-dihydroxyoxolane-2-carbaldehyde",C15H24O13,L3.3,na
FT_2.097_187.06118,NP-022068,C8 H12 O5,L2,na
FT_2.326_187.06115,NP-022068,C8 H12 O5,L2,na
FT_2.430_187.06117,NP-022068,C8 H12 O5,L2,na
FT_1.317_297.15305,2-Decylbenzenesulfonate,C16H25O3S-,L2,na
FT_10.119_171.07747,Prolylglycine,C7 H12 N2 O3,L2,na
FT_2.111_211.06111,Propyl gallate,C10 H12 O5,L2,na
FT_2.459_211.06108,Propyl gallate,C10 H12 O5,L2,na
FT_1.543_349.20212,Prostaglandin K2,C20 H30 O5,L2,na
FT_12.842_443.14080,Tetracycline,C22 H24 N2 O8,L2,na
FT_1.467_223.06110,Trinexapac,C11 H12 O5,L2,na
FT_2.417_167.03494,Vanillic acid,C8 H8 O4,L2,na
FT_1.584_177.05573,coniferaldehyde,C10H10O3,L3.3,na
FT_1.322_183.10268,Ieodomycin D,C10H16O3,L3.3,na
FT_2.691_273.07284,[Similar to: 2'-Deoxyuridine; ΔMass: 0.0000 Da],C9 H12 N2 O5,L3.3,na
FT_12.351_317.05494,glyceryl sulfoquinovoside,C9H18O10S,L3.3,na
FT_1.615_267.16035,Waraterpol,C15H24O4,L3.3,na
FT_1.628_337.12961,"[(3aS,4R,5R,6S,6aR,8R,9bS)-5,6,8-trihydroxy-6,9-dimethyl-3-methylidene-2-oxo-4,5,6a,7,8,9b-hexahydro-3aH-azuleno[4,5-b]furan-4-yl] acetate",C17H22O7,L3.3,na
FT_1.640_223.02477,Dehydrochorismic acid,C10 H8 O6,L3.3,na
FT_1.770_263.05617,Penicimarin E,C13H12O6,L3.3,na
FT_12.209_387.11466,beta1-6Galactobiose,C12H22O11,L3.3,na
FT_12.841_511.12815,"[Similar to: N-[4-(2-Anilino-2-oxoethyl)-7-hydroxy-8-(hydroxymethyl)-4a,8-dimethyl-4,4a,5,6,7,8,8a,9-octahydronaphtho[2,3-d][1,3]thiazol-2-yl]-4-fluorobenzamide; ΔMass: -25.0743 Da]",C19 H28 O16,L2,na
FT_2.628_205.01382,7-Hydroxy-2-oxo-2H-chromene-6-carboxylic acid,C10 H6 O5,L3.3,na
FT_1.158_235.06121,O-acetylferulic acid,C12 H12 O5,L3.3,na
FT_1.268_413.12484,[Similar to: Prednisone; ΔMass: 55.9541 Da],C23 H18 N4 O4,L3.3,na
FT_1.309_413.19722,[Similar to: Prednisone; ΔMass: 56.0265 Da],C17 H32 N6 O2 P2,L3.3,na
FT_1.321_413.23379,[Similar to: Prednisone; ΔMass: 56.0630 Da],C25 H34 O5,L3.3,na
FT_2.236_179.07135,3-(2-Methoxyphenyl)propanoic acid,C10H12O3,L3.3,na
FT_0.995_562.01218,no name,no formula,L5,na
FT_1.286_373.09303,no name,C18 H16 O6,L4.3,yes
FT_1.363_295.08239,no name,C13 H14 O5,L4.3,yes
FT_1.664_349.09316,no name,C16 H16 O6,L4.3,yes
FT_1.011_413.08803,no name,C21 H18 O9,L4.1,yes
FT_1.031_493.18711,no name,C28 H30 O8,L4.1,yes
FT_1.048_439.10385,no name,C25 H20 N4 S2,L4.3,na
FT_1.075_491.20777,no name,C29 H32 O7,L4.3,yes
FT_1.077_369.06179,no name,C19 H14 O8,L4.3,yes
FT_1.077_441.15573,no name,C24 H26 O8,L4.3,yes
FT_1.081_643.25445,no name,C36 H40 N2 O9,L4.3,yes
FT_1.079_559.23376,no name,C33 H36 O8,L4.3,na
FT_1.081_563.26479,no name,C33 H40 O8,L4.3,na
FT_1.082_643.21822,no name,C36 H36 O11,L4.3,yes
FT_1.087_511.12488,no name,C26 H24 O11,L4.3,yes
FT_1.084_545.21901,no name,C32 H34 O8,L4.1,yes
FT_1.084_613.24386,no name,no formula,L5,na
FT_1.085_503.20768,no name,C34 H34 P2,L4.3,na
FT_1.087_585.21275,no name,C34 H34 O9,L4.3,yes
FT_1.087_665.23867,no name,C32 H42 O15,L4.3,yes
FT_1.093_727.20194,no name,C39 H36 O14,L4.3,yes
FT_1.088_445.09327,no name,no formula,L5,na
FT_1.089_395.11395,no name,C22 H20 O7,L4.1,yes
FT_1.089_543.20250,no name,C32 H32 O8,L4.1,yes
FT_1.092_517.22371,no name,no formula,L5,na
FT_1.092_537.17725,no name,C22 H34 O15,L4.1,yes
FT_1.094_439.17657,no name,C25 H28 O7,L4.3,yes
FT_1.100_455.17151,no name,C25 H28 O8,L4.3,yes
FT_1.094_479.20668,no name,C28 H32 O7,L4.1,yes
FT_1.094_531.23896,no name,no formula,L5,na
FT_1.096_455.17156,no name,C24 H26 O6,L4.1,yes
FT_1.096_497.21822,no name,C27 H32 O6,L4.1,yes
FT_1.097_497.21815,no name,C28 H34 O8,L4.1,yes
FT_1.098_313.14510,no name,C19 H22 O4,L4.1,yes
FT_1.098_467.17215,no name,C28 H20 N8,L4.3,na
FT_1.099_327.12382,no name,C19 H20 O5,L4.1,yes
FT_1.099_481.18695,no name,C27 H30 O8,L4.1,yes
FT_1.100_493.18732,no name,C28 H30 O8,L4.3,yes
FT_1.101_369.20763,no name,C23 H30 O4,L4.3,yes
FT_1.102_683.24815,no name,C34 H40 N2 O13,L4.3,yes
FT_1.102_347.15021,no name,C19 H24 O6,L4.1,yes
FT_1.102_371.07739,no name,C19 H16 O8,L4.1,yes
FT_1.103_505.15096,no name,C28 H26 O9,L4.3,yes
FT_1.103_343.15545,no name,C20 H24 O5,L4.1,yes
FT_1.104_449.16089,no name,C26 H26 O7,L4.3,yes
FT_1.104_697.22811,no name,C39 H38 O12,L4.3,yes
FT_1.105_395.07803,no name,C21 H16 O8,L4.3,yes
FT_1.105_695.21167,no name,C39 H36 O12,L4.3,yes
FT_1.105_437.16079,no name,C25 H26 O7,L4.1,yes
FT_1.106_423.18185,no name,C25 H28 O6,L4.3,yes
FT_1.107_629.23731,no name,C36 H38 O10,L4.3,yes
FT_1.110_447.14570,no name,C26 H24 O7,L4.3,yes
FT_1.112_449.12469,no name,C24 H20 O6,L4.3,yes
FT_1.111_337.10853,"(E)-1-(5,7-dihydroxy-2,2-dimethylchromen-6-yl)-3-(4-hydroxyphenyl)prop-2-en-1-one",C20 H18 O5,L3.3,na
FT_1.116_381.09801,no name,C21 H18 O7,L4.3,yes
FT_1.113_421.09313,no name,C23 H18 O8,L4.1,yes
FT_1.115_339.12404,no name,C20 H20 O5,L4.1,yes
FT_1.118_397.09370,no name,C20 H16 O6,L4.3,yes
FT_1.116_473.28266,no name,C28 H43 O4 P,L4.1,yes
FT_1.117_357.13453,no name,C20 H22 O6,L4.1,yes
FT_1.118_341.13963,no name,C20 H22 O5,L4.1,yes
FT_1.121_297.11318,no name,C18 H18 O4,L4.3,yes
FT_1.119_409.12982,Rotenalone,C23 H22 O7,L3.3,na
FT_1.125_451.14034,no name,C25 H24 O8,L4.3,yes
FT_1.124_343.11885,no name,C19 H20 O6,L4.1,yes
FT_1.125_293.06668,no name,no formula,L5,na
FT_1.125_343.08237,no name,C17 H14 O5,L4.1,yes
FT_1.125_357.06183,no name,C18 H14 O8,L4.1,yes
FT_1.126_509.14589,no name,C27 H26 O10,L4.3,yes
FT_1.127_479.13510,no name,C27 H20 N4 O5,L4.3,yes
FT_1.127_433.12990,no name,C25 H22 O7,L4.1,yes
FT_1.128_511.16121,no name,C27 H28 O10,L4.3,yes
FT_1.139_465.11984,no name,C18 H26 O14,L4.3,yes
FT_1.129_383.18653,no name,C23 H28 O5,L4.1,yes
FT_1.129_411.10883,no name,C22 H20 O8,L4.1,yes
FT_1.129_483.20261,no name,C27 H32 O8,L4.1,yes
FT_1.130_385.20231,no name,C23 H30 O5,L4.1,yes
FT_1.131_217.05048,8-acetyl-7-hydroxy-4-methyl-chromen-2-one,C12 H10 O4,L3.3,na
FT_1.131_301.07202,no name,C15 H12 O4,L4.1,yes
FT_1.137_481.15080,no name,C26 H26 O9,L4.1,yes
FT_1.143_629.20263,no name,C35 H34 O11,L4.3,yes
FT_1.139_511.12475,no name,C26 H24 O11,L4.1,yes
FT_1.145_423.10924,no name,C23 H20 O8,L4.3,yes
FT_1.144_285.07711,no name,no formula,L5,na
FT_1.145_363.21795,no name,C20 H30 O3,L4.1,yes
FT_1.150_429.15590,no name,C23 H26 O8,L4.3,yes
FT_1.146_249.07678,no name,C13 H14 O5,L4.1,yes
FT_1.146_261.07686,no name,C14 H14 O5,L4.1,yes
FT_1.147_517.31708,no name,C24 H47 N4 O6 P,L4.3,na
FT_1.148_261.11318,no name,C15 H18 O4,L4.1,yes
FT_1.148_393.09832,no name,C12 H29 O8 P3,L4.3,na
FT_1.149_643.25459,no name,C38 H36 N4 O6,L4.3,na
FT_1.150_465.11990,no name,C24 H20 O7,L4.3,yes
FT_1.151_497.18144,no name,C27 H30 O9,L4.3,yes
FT_1.152_353.06668,no name,C19 H14 O7,L4.3,yes
FT_1.160_467.17136,no name,C23 H32 O8 S,L4.3,yes
FT_1.154_291.08759,no name,C14 H14 O4,L4.1,yes
FT_1.157_341.26983,no name,C20 H38 O4,L4.1,yes
FT_1.162_333.09826,no name,C17 H18 O7,L4.3,yes
FT_1.163_441.15573,no name,C24 H26 O8,L4.3,yes
FT_1.164_299.09255,no name,C17 H16 O5,L4.3,yes
FT_1.164_371.22326,no name,C18 H32 N2 O6,L4.3,yes
FT_1.165_317.13977,no name,C18 H22 O5,L4.3,yes
FT_1.164_427.17685,no name,C24 H28 O7,L4.1,yes
FT_1.168_315.12420,no name,C18 H20 O5,L4.3,yes
FT_1.166_263.09265,no name,C13 H14 O3,L4.1,yes
FT_1.167_191.07140,no name,C11 H12 O3,L4.1,yes
FT_1.167_565.28080,no name,C30 H34 N10 O2,L4.3,na
FT_1.168_313.10804,no name,C18 H18 O5,L4.1,yes
FT_1.183_481.11480,no name,C25 H22 O10,L4.3,yes
FT_1.170_485.18187,no name,C30 H32 O2 P2,L4.3,na
FT_1.171_191.03499,no name,C10 H8 O4,L4.1,yes
FT_1.173_373.09320,no name,C18 H16 O6,L4.1,yes
FT_1.175_177.05571,no name,C10 H10 O3,L4.1,yes
FT_1.175_409.09315,no name,C22 H18 O8,L4.1,yes
FT_1.176_235.09722,no name,C13 H16 O4,L4.1,yes
FT_1.176_373.09315,no name,C19 H18 O8,L4.1,yes
FT_1.176_413.16107,no name,C23 H26 O7,L4.1,yes
FT_1.177_221.04552,no name,C10 H8 O3,L4.1,yes
FT_1.179_247.06132,no name,C13 H12 O5,L4.1,yes
FT_1.179_299.22279,no name,no formula,L5,na
FT_1.179_467.09887,no name,C17 H30 N2 O5 P2 S2,L4.1,yes
FT_1.179_643.21823,no name,no formula,L5,na
FT_1.186_411.18163,no name,C24 H28 O6,L4.3,yes
FT_1.197_483.20258,no name,C27 H32 O8,L4.3,yes
FT_1.184_411.10883,"6-acetyl-13-hydroxy-16,17-dimethoxy-2,7,20-trioxapentacyclo[11.8.0.0^{3,11}.0^{4,8}.0^{14,19}]henicosa-3,8,10,14(19),15,17-hexaen-12-one",C22 H20 O8,L3.3,yes
FT_1.197_497.14584,no name,C26 H26 O10,L4.3,yes
FT_1.186_415.21306,no name,C17 H31 N4 O3 P,L4.3,na
FT_1.186_421.20261,no name,C26 H30 O5,L4.1,yes
FT_1.187_259.06157,no name,no formula,L5,na
FT_1.190_467.20730,no name,C27 H32 O7,L4.1,yes
FT_1.191_695.28492,no name,no formula,L5,na
FT_1.195_279.08749,no name,C14 H16 O6,L4.1,yes
FT_1.197_209.15452,no name,C13 H22 O2,L4.1,yes
FT_1.197_359.07734,no name,C18 H16 O8,L4.1,yes
FT_1.197_409.16583,no name,C24 H26 O6,L4.1,yes
FT_1.207_367.15525,no name,C19 H28 O5 S,L4.3,yes
FT_1.211_395.11430,no name,C18 H24 N2 O4 S2,L4.3,yes
FT_1.198_253.14456,no name,C14 H22 O4,L4.1,yes
FT_1.201_361.16591,no name,C20 H26 O6,L4.1,yes
FT_1.206_263.05615,no name,C13 H12 O6,L4.1,yes
FT_1.216_265.07182,no name,C13 H14 O6,L4.3,yes
FT_1.227_379.11892,no name,C22 H20 O6,L4.3,yes
FT_1.213_265.07180,no name,C12 H12 O4,L4.1,yes
FT_1.215_711.28043,no name,C38 H36 N10 O5,L4.3,na
FT_1.230_411.07272,no name,C19 H16 N4 O5 S,L4.3,yes
FT_1.219_287.22285,no name,C16 H32 O4,L4.1,yes
FT_1.223_327.16036,no name,C20 H24 O4,L4.1,yes
FT_1.223_401.12465,no name,C13 H28 N2 O8 P2,L4.3,na
FT_1.223_467.28041,no name,C29 H40 O5,L4.1,yes
FT_1.225_339.12397,6-Prenylnaringenin,C20 H20 O5,L3.3,na
FT_1.235_325.14473,no name,C20 H22 O4,L4.3,yes
FT_1.230_387.07246,9'-Methylprotocetraric acid,C19 H16 O9,L3.3,na
FT_1.236_403.10379,no name,C20 H20 O9,L4.3,yes
FT_1.233_413.23389,no name,C25 H34 O5,L4.1,yes
FT_1.233_525.21344,no name,C22 H34 N6 O7 S,L4.3,na
FT_1.240_495.16651,no name,C27 H28 O9,L4.3,yes
FT_1.250_339.19997,no name,C15 H32 O8,L4.3,yes
FT_1.237_249.11303,no name,C14 H18 O4,L4.1,yes
FT_1.238_429.11936,no name,C22 H22 O9,L4.1,yes
FT_1.254_409.12952,no name,C23 H22 O7,L4.3,yes
FT_1.242_497.18200,no name,C27 H30 O9,L4.1,yes
FT_1.244_275.05607,no name,C15 H16 O S2,L4.3,na
FT_1.245_261.11298,no name,C15 H18 O4,L4.1,yes
FT_1.246_319.15525,no name,C18 H24 O5,L4.1,yes
FT_1.246_357.26494,no name,C20 H38 O5,L4.1,yes
FT_1.250_233.04553,Hexaketide pyrone,C12 H10 O5,L3.3,na
FT_1.267_399.21817,no name,C24 H32 O5,L4.3,yes
FT_1.253_251.09247,no name,C13 H16 O5,L4.1,yes
FT_1.268_397.20232,no name,C21 H34 O5 S,L4.3,yes
FT_1.257_491.19164,no name,no formula,L5,na
FT_1.261_467.17135,no name,C26 H28 O8,L4.1,yes
FT_1.264_481.15057,no name,C25 H24 O7,L4.1,yes
FT_1.264_493.18725,no name,C28 H30 O8,L4.3,na
FT_1.276_497.14575,no name,C26 H26 O10,L4.3,yes
FT_1.267_427.14013,no name,C23 H24 O8,L4.1,yes
FT_1.285_379.11892,no name,C22 H20 O6,L4.3,yes
FT_1.271_525.17657,no name,C28 H30 O10,L4.1,yes
FT_1.271_525.24919,no name,C30 H38 O8,L4.1,yes
FT_1.271_531.18693,no name,no formula,L5,na
FT_1.273_347.11378,no name,C18 H20 O7,L4.1,yes
FT_1.294_495.20267,no name,C24 H28 N6 O6,L4.3,yes
FT_1.277_411.10877,"6-acetyl-13-hydroxy-16,17-dimethoxy-2,7,20-trioxapentacyclo[11.8.0.0^{3,11}.0^{4,8}.0^{14,19}]henicosa-3,8,10,14(19),15,17-hexaen-12-one",C22 H20 O8,L3.3,na
FT_1.284_309.09815,no name,C12 H10 N10 O,L4.3,na
FT_1.285_377.12507,no name,no formula,L5,na
FT_1.295_465.11930,no name,C25 H22 O9,L4.3,yes
FT_1.285_387.21811,no name,C23 H32 O5,L4.1,yes
FT_1.285_467.20745,no name,C27 H32 O7,L4.1,yes
FT_1.297_311.11391,no name,C15 H20 O7,L4.3,yes
FT_1.286_373.09304,Clinopodic Acid B,C19 H18 O8,L3.3,na
FT_1.287_359.07738,(R)-rosmarinate,C18 H16 O8,L3.3,na
FT_1.288_285.11331,no name,C17 H18 O4,L4.1,yes
FT_1.288_545.16573,no name,no formula,L5,na
FT_1.289_685.22874,no name,no formula,L5,na
FT_1.290_311.16868,no name,C17 H28 O3 S,L4.1,yes
FT_1.290_385.20224,no name,C23 H30 O5,L4.1,yes
FT_1.291_237.07697,no name,C12 H14 O5,L4.1,yes
FT_1.291_305.06679,no name,C15 H14 O7,L4.1,yes
FT_1.291_423.10895,no name,C23 H20 O8,L4.1,yes
FT_1.292_295.08236,no name,C13 H14 O5,L4.1,yes
FT_1.293_267.08754,no name,C13 H16 O6,L4.1,yes
FT_1.293_281.10314,no name,C13 H16 O4,L4.1,yes
FT_1.294_281.10314,no name,C14 H18 O6,L4.1,yes
FT_1.300_393.13452,no name,C23 H22 O6,L4.3,yes
FT_1.306_415.21323,no name,C24 H32 O6,L4.3,yes
FT_1.296_357.17100,no name,C21 H26 O5,L4.1,yes
