FeatureID,Name,Formula,Annotation_level,use_Sirius_class,kingdom,superclass,class,subclass,level 5,CID,Title_PubChem,ExactMass,MolecularFormula,InChI,InChIKey,ConnectivitySMILES
FT_9.044_181.07173,Mannitol,C6H14O6,L1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols,6251,Mannitol,182.07903816,C6H14O6,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",FBPFZTCFMRRESA-KVTDHHQDSA-N,C(C(C(C(C(CO)O)O)O)O)O
FT_1.543_171.06627,(-)-Corey lactone,C8H12O4,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.371_329.23370,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,24066906,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",330.24062418,C18H34O5,"InChI=1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h3,7,15-17,19-21H,2,4-6,8-14H2,1H3,(H,22,23)/b7-3-",DNWUYCUUEGGVPR-CLTKARDFSA-N,CCC=CCC(C(CCC(CCCCCCCC(=O)O)O)O)O
FT_1.579_427.13995,"(2-{(1R,9S)-3-[4-(Methylsulfanyl)phenyl]-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-11-yl}-2-oxoethoxy)acetic acid",C22H24N2O5S,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.378_387.21788,"2,4-dihydroxy-3-[(E)-4-hydroxy-3-methyl-5-(1,2,6-trimethyl-3-oxocyclohexyl)pent-2-enyl]-6-methylbenzaldehyde",C23H3O5,L2.2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.190_311.22297,(±)9-HpODE,C18H32O4,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.287_311.22294,(±)9-HpODE,C18H32O4,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.436_301.10824,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",C17H18O5,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Alpha-methyldeoxybenzoin flavonoids,NA,NA,45359610,"1-(2,4-Dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",302.11542367,C17H18O5,"InChI=1S/C17H18O5/c1-10(11-6-13(21-2)9-14(7-11)22-3)17(20)15-5-4-12(18)8-16(15)19/h4-10,18-19H,1-3H3",TURHNAJJDDIVGC-UHFFFAOYSA-N,CC(C1=CC(=CC(=C1)OC)OC)C(=O)C2=C(C=C(C=C2)O)O
FT_1.604_301.10818,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",C17H18O5,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Alpha-methyldeoxybenzoin flavonoids,NA,NA,45359610,"1-(2,4-Dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",302.11542367,C17H18O5,"InChI=1S/C17H18O5/c1-10(11-6-13(21-2)9-14(7-11)22-3)17(20)15-5-4-12(18)8-16(15)19/h4-10,18-19H,1-3H3",TURHNAJJDDIVGC-UHFFFAOYSA-N,CC(C1=CC(=CC(=C1)OC)OC)C(=O)C2=C(C=C(C=C2)O)O
FT_1.096_411.14524,dalpanol,C23H24O7,L2.2,no,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Rotenoids,Rotenones,182000,Dalpanol,412.1522031,C23H24O7,"InChI=1S/C23H24O7/c1-23(2,25)19-8-13-14(29-19)6-5-11-21(24)20-12-7-16(26-3)17(27-4)9-15(12)28-10-18(20)30-22(11)13/h5-7,9,18-20,25H,8,10H2,1-4H3/t18-,19-,20+/m1/s1",UJRXJHPYROZVGI-AQNXPRMDSA-N,CC(C)(C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)O
FT_1.208_411.14507,dalpanol,C23H24O7,L2.2,no,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Rotenoids,Rotenones,182000,Dalpanol,412.1522031,C23H24O7,"InChI=1S/C23H24O7/c1-23(2,25)19-8-13-14(29-19)6-5-11-21(24)20-12-7-16(26-3)17(27-4)9-15(12)28-10-18(20)30-22(11)13/h5-7,9,18-20,25H,8,10H2,1-4H3/t18-,19-,20+/m1/s1",UJRXJHPYROZVGI-AQNXPRMDSA-N,CC(C)(C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)O
FT_1.380_185.08194,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9H14O4,L2.1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,260003,1-Carboxycyclohexaneacetic acid,186.08920892,C9H14O4,"InChI=1S/C9H14O4/c10-7(11)6-9(8(12)13)4-2-1-3-5-9/h1-6H2,(H,10,11)(H,12,13)",SDAXMMUAZRUWNL-UHFFFAOYSA-N,C1CCC(CC1)(CC(=O)O)C(=O)O
FT_1.572_185.08197,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9H14O4,L2.1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,260003,1-Carboxycyclohexaneacetic acid,186.08920892,C9H14O4,"InChI=1S/C9H14O4/c10-7(11)6-9(8(12)13)4-2-1-3-5-9/h1-6H2,(H,10,11)(H,12,13)",SDAXMMUAZRUWNL-UHFFFAOYSA-N,C1CCC(CC1)(CC(=O)O)C(=O)O
FT_1.827_185.08198,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9H14O4,L2.1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,260003,1-Carboxycyclohexaneacetic acid,186.08920892,C9H14O4,"InChI=1S/C9H14O4/c10-7(11)6-9(8(12)13)4-2-1-3-5-9/h1-6H2,(H,10,11)(H,12,13)",SDAXMMUAZRUWNL-UHFFFAOYSA-N,C1CCC(CC1)(CC(=O)O)C(=O)O
