FeatureID,FeatureID_mgf,Name,Formula,Calc. MW,m/z,RT [min],Annotation MW,mzVault Best Match,mzCloud Best Match,KEGG ID,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,# mzCloud Results,# mzVault Results,HILIC_S73,HILIC_S74,HILIC_S75,HILIC_S76,HILIC_S77,HILIC_S78,HILIC_S79,HILIC_S80,HILIC_S81,HILIC_S82,HILIC_S83,HILIC_S84,HILIC_S85,HILIC_S86,HILIC_S87,HILIC_S88,HILIC_S89,HILIC_S90,HILIC_S91,HILIC_S92,HILIC_S93,HILIC_S94,HILIC_S95,HILIC_S96,HILIC_S97,HILIC_S98,HILIC_S99,HILIC_S100,HILIC_S101,HILIC_S102,HILIC_S103,HILIC_S104
FT_1.666_497.14597,MW_498.15320@RT_1.666,NA,C28 H18 N8 O2,498.1532,497.14597,1.666,498.15527,NA,NA,NA,Full match,No results,No results,0,0,4989048.74432304,7417587.47985239,3838756.17335421,7611274.1700639,4239827.47359679,9775874.71383643,2242636.55936372,8643553.66773532,8881705.39480771,5170604.22441008,5061545.79180592,4346441.56476189,8125427.64047166,6182833.22054373,4259957.64636276,4398085.67920121,4750791.52082538,8282819.06038304,6368199.89506398,9882753.39565773,7596694.00223525,6888530.30845642,2194463.4965663,3509994.40383195,13635006.9210804,7798280.59998073,3462923.17930456,6155333.72626198,8659180.96501962,12053905.5172259,2728714.59963572,4506701.42583271
FT_1.197_497.14584,MW_498.15312@RT_1.197,NA,C23 H18 N10 O4,498.15312,497.14584,1.197,498.15125,NA,NA,NA,Full match,No results,No results,0,0,16562086.4719079,44457554.4218034,19462722.2794616,49824156.4889297,26792217.7730555,43318325.1587807,12187228.7699156,32087886.3394748,36091130.8595318,28664880.4199121,20098499.7892026,20791652.2504988,34976367.8496933,24666935.4092409,15811030.3613815,15826637.1240009,36340214.2114434,33579645.354091,24682613.769314,23923657.2824757,24405228.3002758,22328746.8336946,14072630.8071249,21591502.2798937,59995286.648857,45029930.2557531,27510374.5684586,35661695.2212362,39147930.8873074,45457479.7034639,12768263.803548,18534807.0261863
FT_1.276_497.14575,MW_498.15303@RT_1.276,NA,C20 H37 O6 P3 S,498.15303,497.14575,1.276,498.15237,NA,NA,NA,Full match,No results,No results,0,0,15864349.0116413,26707957.2823834,13177347.3223304,22492303.4697239,21507316.3709941,32173931.6893221,15289103.9471788,26421449.246974,37637005.9085068,20106839.0110935,17731711.9496509,15592021.2293926,27025985.9726503,25558295.4483355,18131143.3161285,13583232.7872493,18758561.6668157,27768210.1074293,20745768.4644634,22094471.2754488,22974519.0590254,22647075.0756938,11568375.6453713,15582438.205669,30226754.8439245,29833297.6942034,16088951.520446,24076839.6910849,22012005.6464106,26659970.2150096,10703947.8112533,17567371.3385571
FT_1.439_497.14564,MW_498.15292@RT_1.439,NA,C23 H18 N10 O4,498.15292,497.14564,1.439,498.15125,NA,NA,NA,Full match,No results,No results,0,0,48866983.8740651,86083217.3314477,32310690.4393825,132795094.449794,56027967.4636364,116824590.570029,26071515.950691,78094866.7096409,110079250.980488,77635721.3338118,44565155.9305007,59539748.025578,77777177.6380842,72498286.971723,29436084.7689587,37717884.7538551,64367409.1014596,85852488.880804,55547490.9355286,48153446.1512949,61497865.5906268,53500315.0879558,22823694.0487469,24108774.4161336,158447302.944622,92589779.6096334,56557218.5210237,68666884.8440877,94526855.1737996,95131479.3438589,25759512.1178861,42752878.144818
FT_13.290_497.11264,MW_498.11991@RT_13.290,NA,C22 H28 O9 P2,498.11991,497.11264,13.29,498.12086,NA,NA,NA,Full match,No results,No results,0,0,4794290.9402444,6223351.44953123,17752262.0161714,15935526.0612857,12341022.4235102,16993247.5108686,16814212.1854014,1661316.72268528,8419739.32540613,7412595.66826393,12483108.9270426,7853998.93976808,6670600.76227658,7634769.87010085,10557702.0267608,622325.374354074,10295266.6384745,4729141.55609213,3844838.93839195,4582319.55277858,1005508.72239847,8004239.04082615,7558401.59395231,2480814.59707678,5337474.96436653,5640834.22147218,5044359.18026065,4561107.53026013,18463391.5743112,19758369.5185248,3213502.36875224,18352915.0840149
FT_1.294_495.20267,MW_496.20991@RT_1.294,NA,C29 H28 N4 O4,496.20991,495.20267,1.294,496.21106,NA,NA,NA,Full match,No results,No results,0,0,11777226.9671086,8153243.87981476,7960501.2850742,17109585.8344028,12570898.4669567,25557182.9352701,2643014.07090197,10141314.4674612,9768278.99136229,13303849.7388901,10621559.5124568,5340864.25951292,10104287.0541255,10263448.0383149,5167074.01830714,4308801.5914739,9669720.27312079,7265204.50602353,2716630.28342232,5506939.51703191,9083204.30578183,8172157.63810928,2812157.80174062,3874233.63387237,12056763.7306279,16188985.9133433,6578059.71032257,5909810.08577141,8659374.00616043,13452001.0939126,3231357.20700267,5864867.27365612
FT_1.362_495.20089,MW_496.20823@RT_1.362,NA,C22 H43 O4 P3 S,496.20823,495.20089,1.362,496.20949,NA,NA,NA,Full match,No results,No results,0,0,2400920.80822951,6750872.45279258,3349063.41039733,8573257.57957322,5644325.29081842,7464115.29534353,2213713.10462363,6004841.64541296,6912744.25064409,5525726.04114812,3424081.40060024,2811851.65752106,5677021.07355549,2899480.33659457,3068920.88471869,3360296.8946007,5766781.64211029,5963710.91878559,2508775.61758048,6023513.42887479,3532528.31632477,5892796.67379433,2382157.24423565,2820849.98223285,9400154.90015155,5069354.37971654,3052248.94673419,5034313.82732771,7204919.17385685,8158270.22528731,2636715.39291084,3768172.12743178
FT_1.240_495.16651,MW_496.17379@RT_1.240,NA,C19 H34 N2 O9 P2,496.17379,495.16651,1.24,496.17395,NA,NA,NA,Full match,No results,No results,0,0,24376647.7856934,26359737.4392394,16947271.2727628,44161828.3487747,28924516.0734148,25706725.1555824,11445021.1234238,32298550.3854896,32008294.3839924,28095589.0937816,19099186.2899597,20789436.2395363,21727546.4542584,20687445.2605056,12210913.9360703,10576234.8931643,29306619.6956612,27763930.3636072,13399999.2941822,28634449.796229,15599503.7707278,21276552.2204018,10132226.4966306,14669237.9420846,43872529.3385912,18784995.4866525,15140468.670347,26460595.1445002,38006056.9003514,39638668.5088977,6841154.3646043,8332485.09841163
FT_1.344_495.16626,MW_496.17354@RT_1.344,NA,C27 H28 O9,496.17354,495.16626,1.344,496.17333,NA,NA,NA,Full match,No results,No results,0,0,50436613.5189015,70378624.9554084,28413949.4707779,170939774.593565,56117540.7374226,151537541.374455,20218521.2994733,86507635.3782013,81944364.0093347,93204914.5301446,46547040.8735255,57406827.9497042,75041214.6487817,77864186.4496666,27938617.2229335,39199617.0809364,76001270.4682299,56808191.3006822,35963785.8663889,70195208.2625779,42916156.6002427,52673093.5771895,19235399.2029977,30915894.5908334,114411980.81349,91529469.4987726,43615539.6390731,53330543.6702172,72305351.7694055,124953534.150205,28295181.6072554,47726100.5337747
FT_1.127_495.13019,MW_496.13746@RT_1.127,NA,C20 H35 O6 P3 S,496.13746,495.13019,1.127,496.13672,NA,NA,NA,Full match,No results,No results,0,0,30716437.4106406,50571869.8486389,27100574.0494327,22525480.6347802,31912048.1948278,51428590.7371485,19029123.3207031,20010970.4910934,27822330.3924101,16518032.8675601,33886760.4167174,38006525.3231499,47489305.2112895,18309722.4529998,9198845.26617294,26805083.7957694,40973040.7421145,46646597.7440621,35744357.6582924,46099328.3460059,41171663.2165097,36147824.8450611,20053397.2698905,31422255.9659806,66251888.3671934,21492688.631491,32608166.9938949,41558616.0952928,43283924.901412,21574238.8975261,22317382.373831,35687685.3384236
FT_1.196_495.13013,MW_496.13741@RT_1.196,NA,C27 H28 O5 S2,496.13741,495.13013,1.196,496.13782,NA,NA,NA,Full match,No results,No results,0,0,16562086.4719079,50571869.8486389,19462722.2794616,34220671.6799746,26792217.7730555,46722105.5789848,7709604.61069238,32087886.3394748,27198626.2733265,19540437.0484687,20098499.7892026,20791652.2504988,34976367.8496933,17892803.3805008,15811030.3613815,16914730.8115054,36340214.2114434,33579645.354091,24682613.769314,23923657.2824757,26056148.3273741,18519496.5287813,10930799.1432318,21591502.2798937,59995286.648857,45029930.2557531,24309189.8278854,41558616.0952928,39147930.8873074,45457479.7034639,12842327.1135006,22099072.6963703
FT_1.306_495.13006,MW_496.13734@RT_1.306,NA,C23 H24 N6 O3 S2,496.13734,495.13006,1.306,496.13513,NA,NA,NA,Full match,No results,No results,0,0,10587945.2820008,17166990.2696676,8067656.14610535,17093897.3774749,16906152.5071597,24245969.4747744,6633374.35300525,28387049.4814169,27266758.6147693,16223398.2248442,10138141.112953,12765010.2042881,16458833.2152233,18787636.8907482,9875169.06608163,6863098.02505159,16749304.2559093,12741066.6149069,14066881.7897395,12301696.4763419,14267235.4924578,10491365.3141179,6235146.48384353,9269522.58979397,20406524.8520628,18368334.6605026,10875020.6336872,21118560.7991495,20560952.756606,29206559.2847085,7344750.52385163,13876956.8338481
FT_1.264_493.18725,MW_494.19452@RT_1.264,NA,C28 H30 O8,494.19452,493.18725,1.264,494.19407,NA,NA,NA,Full match,No results,No results,0,0,8681140.35624118,10879606.1640833,2706966.71800255,16814209.0555312,7172802.10501701,16342859.5362745,2643014.07090197,12494593.4895588,9768278.99136229,9754919.70345995,4569892.16586169,5340864.25951292,10646611.6116851,10263448.0383149,3020312.69407688,4308801.5914739,10630673.3351618,8398750.52199274,2548313.43727445,12216379.0426909,5790182.17892857,6484818.10524208,2812157.80174062,4875124.36589534,26659066.3583363,11491462.7841972,8982838.96284019,8196392.09650792,9980882.73838426,16911814.4994305,4508573.56597187,5864867.27365612
FT_1.100_493.18732,MW_494.19448@RT_1.100,NA,C22 H26 N10 O2 S,494.19448,493.18732,1.1,494.19609,NA,NA,NA,Full match,No results,No results,0,0,11585660.0986711,16739769.3838863,9702834.79888298,5124771.4693127,14887663.1802161,14199896.9407929,5517073.26378594,18253326.458465,18970038.6669327,17206864.7385735,15075419.7699074,17726439.359621,21419893.4565503,17697759.2834659,14155909.2768475,5574805.85022832,8490203.54310274,28028650.1188894,9923665.45068691,14799057.5891187,21773834.8183762,11085236.1311543,7049654.51590107,5248723.27722707,34022233.2415818,12311029.6684401,17297859.7439669,15907483.555084901,8086127.02894753,27247142.7364659,12654158.6974061,5448110.42006524
