FeatureID,FeatureID_mgf,Name,Formula,Calc. MW,m/z,RT [min],Annotation MW,mzVault Best Match,mzCloud Best Match,KEGG ID,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,# mzCloud Results,# mzVault Results,RP_S73,RP_S74,RP_S75,RP_S76,RP_S77,RP_S78,RP_S79,RP_S80,RP_S81,RP_S82,RP_S83,RP_S84,RP_S85,RP_S86,RP_S87,RP_S88,RP_S89,RP_S90,RP_S91,RP_S92,RP_S93,RP_S94,RP_S95,RP_S96,RP_S97,RP_S98,RP_S99,RP_S100,RP_S101,RP_S102,RP_S103,RP_S104
FT_18.294_485.21717,MW_484.21000@RT_18.294,NA,C20 H34 N6 O4 P2,484.21,485.21717,18.294,484.21168,NA,NA,NA,Full match,No results,No results,0,0,123429724.024685,134002289.423606,50983347.0726146,244348561.870202,121664414.497466,302362841.278269,40053573.4419926,180703162.280013,92721302.4367487,196386472.55386,113391958.319543,106948279.050249,159990228.301568,217244945.239917,54541416.9797872,73326716.7394489,170192711.904778,115620506.568634,54753663.6175715,170538440.167512,89584318.8000816,98127011.1023961,41328786.5591916,72113640.3964223,123360210.629204,164462558.501361,60993794.7823274,136547573.086808,175757554.295801,280454686.874424,89850226.5964316,122619679.639995
FT_18.990_485.21724,MW_484.20997@RT_18.990,NA,C14 H33 N10 O5 P S,484.20997,485.21724,18.99,484.20937,NA,NA,NA,Full match,No results,No results,0,0,10527528.1138898,28955215.4617872,9842433.37233162,30437646.6321706,7899449.19304541,22248001.7504383,8747047.79262659,10813505.2974295,22983533.1713541,19229163.4962205,4945025.42873822,5173285.27336694,21789612.6672899,25833277.2696434,9530362.50289054,5945993.24302094,10666531.2283183,23099041.7628768,8735939.74619236,10357051.8403827,7476677.91671383,16378909.5646058,4137774.44908363,9742957.49698597,26624719.8217994,27369937.2257181,11807675.2499562,9512074.61146914,19147705.3709657,11354317.0424965,9840507.26966119,7486053.92372147
FT_9.455_485.16311,MW_484.15583@RT_9.455,"(1R,9S)-11-(4-Methoxybenzoyl)-5-[4-(trifluoromethoxy)phenyl]-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",C26 H23 F3 N2 O4,484.15583,485.16311,9.455,484.16099,NA,99.7,NA,No match,Invalid mass,No results,1,0,224961.188405831,91017.9125892657,86807.1715005466,208330.409615181,977458.994124864,100925.703708247,405368.651059911,94917.5120218711,101278.239700769,88740.8361929213,88208.5613700637,85450.5142474387,91029.0589902671,20006851.3760591,103467.794916443,84374.9437304068,88883.3646222296,93004.2522664133,90154.5487240632,283543.722785722,9403969.70118353,436582192.060928,3070685.79367629,879142.790582921,89735.4269558128,758917.319363561,413011.410024439,5293603.09720871,495546.186719609,594868.968538575,3131145.65929068,251431.465034723
FT_19.377_483.27427,MW_482.26714@RT_19.377,NA,C17 H40 N8 O4 P2,482.26714,483.27427,19.377,482.26477,NA,NA,NA,Full match,No results,No results,0,0,96300934.0609123,279612512.255447,125878295.719131,165352339.923972,174592226.385887,144055654.37609,80080609.3149326,133992010.554842,192250874.297507,181531720.378488,62300578.629925,156952425.289998,164912410.841546,84350134.6908233,41918820.0992435,122171141.6935,82389326.0740723,185720376.642301,127624296.097766,93334210.7765963,142683342.439338,119978924.623503,79877611.3614549,108710924.173577,121035817.869896,204173408.236904,90434341.1463742,197205075.771768,262668293.890568,347268821.715881,69156590.8972252,96068832.0251052
FT_19.717_483.20181,MW_482.19455@RT_19.717,NA,C27 H30 O8,482.19455,483.20181,19.717,482.19407,NA,NA,NA,Full match,No results,No results,0,0,23278030.3531425,22919625.6930424,6280839.08703783,12047826.9788846,12271424.3984553,32752443.4986372,7779193.39157321,27615572.8722637,30692763.1941892,34101569.9565954,14649737.7921913,16386725.3554464,25491126.6620088,39505122.4487529,10996952.3735255,10108956.1035785,26033101.2281953,13086657.0249443,11589777.734619,18004094.3882688,12573835.9391398,23860489.8197776,7873073.88137595,13139263.6226353,26683331.3964786,16765773.7438189,15966373.1207706,16554812.217888,29960966.7565586,38454233.9332363,14589729.0090098,18566493.5868821
FT_18.212_483.20182,MW_482.19446@RT_18.212,NA,C27 H30 O8,482.19446,483.20182,18.212,482.19407,NA,NA,NA,Full match,No results,No results,0,0,32429257.7620653,50446696.3649649,16891750.8226067,63915062.360662,29095359.1954917,68616916.2604884,13247460.8040015,38548956.0784508,39605915.949374,49989367.2575686,27793500.9678312,31854411.2673726,32410696.7915107,50421460.4067772,21027582.9516557,24574208.9471727,44222694.0094286,42979822.0985196,30264188.9969653,32414513.6680852,32654062.4449563,30099690.6288929,7843477.02629339,23000631.5731283,51100365.9336584,44141745.8156584,36452935.5135001,31191080.9647131,2216893.63769774,66982279.6794108,26767127.1830708,25002006.5165227
FT_19.109_483.20169,MW_482.19443@RT_19.109,(2R)-4-(3-Fluorobenzoyl)-1-(4-methoxybenzoyl)-N-[(3S)-2-oxo-3-piperidinyl]-2-piperazinecarboxamide,C25 H27 F N4 O5,482.19443,483.20169,19.109,482.19655,NA,86.6,NA,No match,Full match,No results,2,0,45869161.2984246,75596251.3658254,32330828.251392,92021878.1709662,56380787.6512087,76057583.3402795,17944345.7770369,57959676.4224716,57852569.0234815,70314474.2682946,39374433.8843062,40450062.7048204,60079836.6543419,75747057.2915737,22588507.2037964,28380919.8567664,53028813.4806527,42578468.6706767,35871382.3663091,47046724.97017,50270350.4277315,58432326.9514523,18244388.3018661,8454591.91816745,41384724.2817289,54937506.5287285,44381290.5056695,45057577.378484,72430161.856654,65988416.0646507,27722017.2167547,42544212.1638323
FT_18.548_483.20159,MW_482.19442@RT_18.548,NA,C22 H27 N8 O3 P,482.19442,483.20159,18.548,482.19437,NA,NA,NA,Full match,No results,No results,0,0,40607518.6237042,58788590.0842694,23475452.7679514,78299855.3251317,39657584.9968409,64950369.6775388,20559610.9226919,41043805.2335775,45327415.6634947,58941399.4640072,32322452.971292,32013180.9277479,41154284.4231074,54336019.5490234,24499923.6076965,25410382.5145677,40976460.9068937,51596020.9558153,27408615.5536567,35408116.214853,29480767.3279718,36157462.4457323,18274728.2626956,33315832.2164992,51262917.7242594,51733452.6556807,31249740.1699018,35264900.0824977,55364521.7563354,63899194.8431834,33228116.6134625,30172133.0829726
FT_17.960_483.20153,MW_482.19431@RT_17.960,(2R)-4-(3-Fluorobenzoyl)-1-(4-methoxybenzoyl)-N-[(3S)-2-oxo-3-piperidinyl]-2-piperazinecarboxamide,C25 H27 F N4 O5,482.19431,483.20153,17.96,482.19655,NA,85.6,NA,No match,Full match,No results,2,0,49856728.6290434,65983514.9596506,29517626.1212126,124173876.055196,79589171.9390351,97859588.1269912,22628521.8046352,60676885.6593802,55975916.4191731,124496727.089216,46667398.6873852,38721712.4842207,49986547.85398,119611832.220136,22116455.6176058,21270369.7428381,48905154.0471322,42911789.1612953,28593038.0379486,83985572.8031026,32317849.5118199,80450332.9976154,22988698.1691512,32499937.150274,59468859.5032532,91189407.3942932,37508543.9828498,47836861.5319135,56949834.0123143,75128306.1584141,39461666.553506,38121342.9514874
FT_17.118_483.20146,MW_482.19427@RT_17.118,NA,C22 H27 N8 O3 P,482.19427,483.20146,17.118,482.19437,NA,NA,NA,Full match,No results,No results,0,0,77999091.6383153,60149208.5825873,41657455.991566,207976024.814391,62141340.2081433,169813096.992953,22314582.3931793,76677523.6829982,84921696.1989773,82596002.5252809,65744574.4037874,50155869.3172455,90853559.5519538,94085581.9787374,34559372.4023686,42482191.3729777,95413657.3754488,86506801.3708261,38309678.3546691,115067876.710875,63054438.271541,62111521.1484015,29330994.2861306,39280985.5373241,95605410.1611928,126727387.121375,61499568.6329875,72445172.9511058,80855233.8073938,164358404.437896,52412198.4785548,74819050.0461693
