Compound,Kegg,Pathways of compound,InChI-Key,compound,kegg_cid,Common-Name,Engineered?
ARG,C00062,PWY-8450,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,pyruvate-derived opine biosynthesis I (bacteria),NA
ARG,C00062,PWY-7351,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,pyruvate-derived opine biosynthesis II (marine invertebrates),NA
ARG,C00062,PWY-8529,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,ketomemicin biosynthesis,NA
ARG,C00062,PWY-8498,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,micropeptin K139 biosynthesis,NA
ARG,C00062,PWY-8496,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,anabaenopeptin F biosynthesis,NA
ARG,C00062,PWY-8492,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,anabaenopeptin B biosynthesis,NA
ARG,C00062,PWY-6511,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,3-methylarginine biosynthesis,NA
ARG,C00062,PWY-5024,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation XI,NA
ARG,C00062,PWY-6853,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,ethene biosynthesis II (microbes),NA
ARG,C00062,ARGDEGRAD-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation V (arginine deiminase pathway),NA
ARG,C00062,PWY-6344,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation XIV (oxidative Stickland reaction),NA
ARG,C00062,PWY-8187,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation XIII (reductive Stickland reaction),NA
ARG,C00062,PWY2PN3-13,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,ornithine-ammonia cycle,NA
ARG,C00062,PWY-4981,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-proline biosynthesis II (from arginine),NA
ARG,C00062,PWY-8298,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,streptozotocin biosynthesis,NA
ARG,C00062,PWY2PN3-14,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,spermidine biosynthesis IV,NA
ARG,C00062,PWY-6834,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,spermidine biosynthesis III,NA
ARG,C00062,PWY-43,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,putrescine biosynthesis II,NA
ARG,C00062,PWY-40,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,putrescine biosynthesis I,NA
ARG,C00062,PWY0-1299,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,arginine dependent acid resistance,NA
ARG,C00062,ARGDEG-III-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway),NA
ARG,C00062,PWY0-823,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation III (arginine decarboxylase/agmatinase pathway),NA
ARG,C00062,ARGDEG-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",NA
ARG,C00062,ORNARGDEG-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of L-arginine and L-ornithine degradation,NA
ARG,C00062,PWY-8532,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,lydicamycin biosynthesis,NA
ARG,C00062,ARGDEG-V-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation X (arginine monooxygenase pathway),NA
ARG,C00062,PWY-6409,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,pyoverdine I biosynthesis,NA
ARG,C00062,PWY-8506,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,netropsin biosynthesis,NA
ARG,C00062,PWY-8045,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,cylindrospermopsin biosynthesis,NA
ARG,C00062,PWY-7693,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,guadinomine B biosynthesis,NA
ARG,C00062,GLYCGREAT-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,creatine biosynthesis,NA
ARG,C00062,TRNA-CHARGING-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,tRNA charging,NA
ARG,C00062,PWY-7987,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,vanchrobactin biosynthesis,NA
ARG,C00062,PWY-7860,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,nitric oxide biosynthesis III (bacteria),NA
ARG,C00062,PWY-8531,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,thaxtomin A biosynthesis,NA
ARG,C00062,PWY-6422,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,D-arginine degradation,NA
ARG,C00062,AST-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation II (AST pathway),NA
ARG,C00062,ARGDEG-IV-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation VIII (arginine oxidase pathway),NA
ARG,C00062,PWY-7797,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,nocardicin A biosynthesis,NA
ARG,C00062,PWY-7770,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,indolmycin biosynthesis,NA
ARG,C00062,PWY-5679,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,clavulanate biosynthesis,NA
ARG,C00062,PWY-7600,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,peramine biosynthesis,NA
ARG,C00062,PWY-7570,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,blasticidin S biosynthesis,NA
ARG,C00062,PWY-7523,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation XII,NA
ARG,C00062,PWY-7510,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,rhizocticin A and B biosynthesis,NA
ARG,C00062,PWY-7274,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,D-cycloserine biosynthesis,NA
ARG,C00062,PWY-46,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,putrescine biosynthesis III,NA
ARG,C00062,ARG+POLYAMINE-SYN,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of arginine and polyamine biosynthesis (from L-glutamate),NA
ARG,C00062,POLYAMSYN-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of polyamine biosynthesis I,NA
ARG,C00062,PWY-7341,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of hyoscyamine (atropine) and scopolamine biosynthesis,NA
ARG,C00062,PWY-6305,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of putrescine biosynthesis,NA
ARG,C00062,POLYAMINSYN3-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of polyamine biosynthesis II,NA
ARG,C00062,PWY-6922,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis,NA
ARG,C00062,CITRULBIO-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-citrulline biosynthesis,NA
ARG,C00062,ARGASEDEG-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation I (arginase pathway),NA
ARG,C00062,ARG-GLU-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation VII (arginase 3 pathway),NA
ARG,C00062,ARG-PRO-PWY,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation VI (arginase 2 pathway),NA
ARG,C00062,PWY-4984,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,urea cycle,NA
ARG,C00062,PWY-6845,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,nitric oxide biosynthesis I (plants),NA
ARG,C00062,PWY-4983,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,nitric oxide biosynthesis II (mammals),NA
ARG,C00062,PWY-5004,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,superpathway of L-citrulline metabolism,NA
ARG,C00062,PWY-7052,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,cyanophycin metabolism,NA
ARG,C00062,PWY-5742,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,L-arginine degradation IX (arginine:pyruvate transaminase pathway),NA
ARG,C00062,PWY-5940,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O,L-Arginine,C00062,streptomycin biosynthesis,NA
ASN,C00152,ASPARAGINESYN-PWY,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,L-asparagine biosynthesis II,NA
ASN,C00152,ASPARAGINE-BIOSYNTHESIS,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,L-asparagine biosynthesis I,NA
ASN,C00152,PWY0-1325,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,superpathway of L-asparagine biosynthesis,NA
ASN,C00152,PWY490-4,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,L-asparagine biosynthesis III (tRNA-dependent),NA
ASN,C00152,PWY-7694,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,zwittermicin A biosynthesis,NA
ASN,C00152,PWY-8402,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-asparagine degradation,NA
ASN,C00152,PWY-4002,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,L-asparagine degradation II,NA
ASN,C00152,TRNA-CHARGING-PWY,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,tRNA charging,NA
ASN,C00152,PWY-8117,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,colibactin biosynthesis,NA
ASN,C00152,ASPASN-PWY,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,superpathway of L-aspartate and L-asparagine biosynthesis,NA
ASN,C00152,ASPARAGINE-DEG1-PWY,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,L-asparagine degradation I,NA
ASN,C00152,ASPARAGINE-DEG1-PWY-1,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,L-asparagine degradation III (mammalian),NA
ASN,C00152,ASPSYNII-PWY,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,C00152,cyanide detoxification I,NA
L-ASPARTATE,C00049,PWY-3462,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-phenylalanine biosynthesis II,NA
L-ASPARTATE,C00049,PWY-6120,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-tyrosine biosynthesis III,NA
L-ASPARTATE,C00049,PWY-3461,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-tyrosine biosynthesis II,NA
L-ASPARTATE,C00049,PWY-3481,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-phenylalanine and L-tyrosine biosynthesis,NA
L-ASPARTATE,C00049,ASPSYNII-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,cyanide detoxification I,NA
L-ASPARTATE,C00049,ASPARAGINE-DEG1-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-asparagine degradation I,NA
L-ASPARTATE,C00049,PWY-7855,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,ectoine degradation,NA
L-ASPARTATE,C00049,PWY-8402,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-asparagine degradation,NA
L-ASPARTATE,C00049,PWY-8454,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,aspartame degradation,NA
L-ASPARTATE,C00049,PWY-8576,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,glycolate and glyoxylate degradation III,NA
L-ASPARTATE,C00049,PWY-8563,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,surfactin biosynthesis,NA
L-ASPARTATE,C00049,PWY-8526,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,"(2<i>S</i>,3<i>S</i>)-2,3-diaminobutanoate biosynthesis",NA
L-ASPARTATE,C00049,PWY-8498,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,micropeptin K139 biosynthesis,NA
L-ASPARTATE,C00049,PWY-6511,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,3-methylarginine biosynthesis,NA
L-ASPARTATE,C00049,PWY-7790,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,UMP biosynthesis II,NA
L-ASPARTATE,C00049,PWY-7791,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,UMP biosynthesis III,NA
L-ASPARTATE,C00049,PWY-5686,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,UMP biosynthesis I,NA
L-ASPARTATE,C00049,PWY0-162,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,NA
L-ASPARTATE,C00049,PWY-7211,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,NA
L-ASPARTATE,C00049,PWY490-4,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-asparagine biosynthesis III (tRNA-dependent),NA
L-ASPARTATE,C00049,TRNA-CHARGING-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,tRNA charging,NA
L-ASPARTATE,C00049,PWY-8352,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,NAD <i>de novo</i> biosynthesis III,NA
L-ASPARTATE,C00049,PWY-8277,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,NAD <i>de novo</i> biosynthesis IV (anaerobic),NA
L-ASPARTATE,C00049,ASPARAGINE-BIOSYNTHESIS,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-asparagine biosynthesis I,NA
L-ASPARTATE,C00049,PWY-8295,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,nitrite biosynthesis,NA
L-ASPARTATE,C00049,PWY-8289,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,dZTP biosynthesis,NA
L-ASPARTATE,C00049,PWY-7219,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,adenosine ribonucleotides <i>de novo</i> biosynthesis,NA
L-ASPARTATE,C00049,PWY-7229,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I (from IMP and L-aspartate),NA
L-ASPARTATE,C00049,PWY-6126,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II (from IMP and L-aspartate),NA
L-ASPARTATE,C00049,PWY66-409,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of purine nucleotide salvage,NA
L-ASPARTATE,C00049,ASPARAGINESYN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-asparagine biosynthesis II,NA
L-ASPARTATE,C00049,PWY0-1325,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-asparagine biosynthesis,NA
L-ASPARTATE,C00049,PWY-8419,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-canavanine degradation II,NA
L-ASPARTATE,C00049,PWY-8294,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-aspartate degradation III (anaerobic),NA
L-ASPARTATE,C00049,PWY-8291,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-aspartate degradation II (aerobic),NA
L-ASPARTATE,C00049,DAPLYSINESYN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-lysine biosynthesis I,NA
L-ASPARTATE,C00049,PWY-8296,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,cremeomycin biosynthesis,NA
L-ASPARTATE,C00049,PWY-6559,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,spermidine biosynthesis II,NA
L-ASPARTATE,C00049,PWY-7977,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-methionine biosynthesis IV,NA
L-ASPARTATE,C00049,PWY-8179,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,platensimycin biosynthesis,NA
L-ASPARTATE,C00049,HOMOSERSYN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-homoserine biosynthesis,NA
L-ASPARTATE,C00049,MET-SAM-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis from L-aspartate,NA
L-ASPARTATE,C00049,PWY-8088,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,dipicolinate biosynthesis,NA
L-ASPARTATE,C00049,PWY-6160,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,3-dehydroquinate biosynthesis II (archaea),NA
L-ASPARTATE,C00049,PWY-6165,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,chorismate biosynthesis II (archaea),NA
L-ASPARTATE,C00049,PWY-7153,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,grixazone biosynthesis,NA
L-ASPARTATE,C00049,PWY-5097,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-lysine biosynthesis VI,NA
L-ASPARTATE,C00049,PWY-724,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",NA
L-ASPARTATE,C00049,PWY-2942,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-lysine biosynthesis III,NA
L-ASPARTATE,C00049,PWY-2941,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-lysine biosynthesis II,NA
L-ASPARTATE,C00049,PWY-6562,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,norspermidine biosynthesis,NA
L-ASPARTATE,C00049,PWY-6565,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of polyamine biosynthesis III,NA
L-ASPARTATE,C00049,P101-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,ectoine biosynthesis,NA
L-ASPARTATE,C00049,PWY-7383,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,"anaerobic energy metabolism (invertebrates, cytosol)",NA
L-ASPARTATE,C00049,PWY-7389,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of anaerobic energy metabolism (invertebrates),NA
L-ASPARTATE,C00049,PWY-8560,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,TCA cycle VIII (Chlamydia),NA
L-ASPARTATE,C00049,PWY-7117,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,"C4 photosynthetic carbon assimilation cycle, PEPCK type",NA
L-ASPARTATE,C00049,PWY-7115,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,"C4 photosynthetic carbon assimilation cycle, NAD-ME type",NA
L-ASPARTATE,C00049,ASPARTATE-DEG1-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-aspartate degradation I,NA
L-ASPARTATE,C00049,ASPARAGINE-DEG1-PWY-1,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-asparagine degradation III (mammalian),NA
L-ASPARTATE,C00049,ASPARTATESYN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-aspartate biosynthesis,NA
L-ASPARTATE,C00049,PWY-5345,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-methionine biosynthesis (by sulfhydrylation),NA
L-ASPARTATE,C00049,THRESYN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-threonine biosynthesis,NA
L-ASPARTATE,C00049,PWY-3001,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-isoleucine biosynthesis I,NA
L-ASPARTATE,C00049,PWY-5347,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-methionine biosynthesis (transsulfuration),NA
L-ASPARTATE,C00049,PWY-6146,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism,NA
L-ASPARTATE,C00049,P4-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",NA
L-ASPARTATE,C00049,GLUTDEG-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,L-glutamate degradation II,NA
L-ASPARTATE,C00049,ASPASN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of L-aspartate and L-asparagine biosynthesis,NA
L-ASPARTATE,C00049,MALATE-ASPARTATE-SHUTTLE-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,malate/L-aspartate shuttle pathway,NA
L-ASPARTATE,C00049,PWY-6148,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,tetrahydromethanopterin biosynthesis,NA
L-ASPARTATE,C00049,PWY-6720,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,toyocamycin biosynthesis,NA
L-ASPARTATE,C00049,PWY-7052,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,cyanophycin metabolism,NA
L-ASPARTATE,C00049,PWY-5811,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation VII,NA
L-ASPARTATE,C00049,PWY-2021,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation IV,NA
L-ASPARTATE,C00049,PWY-5797,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation VI,NA
L-ASPARTATE,C00049,PWY-1962,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation II,NA
L-ASPARTATE,C00049,PWY-6219,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation VIII,NA
L-ASPARTATE,C00049,PWY-1782,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of indole-3-acetate conjugate biosynthesis,NA
L-ASPARTATE,C00049,PWY-5784,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation VIII,NA
L-ASPARTATE,C00049,PWY-1981,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,indole-3-acetate inactivation III,NA
L-ASPARTATE,C00049,PWY-5316,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,nicotine biosynthesis,NA
L-ASPARTATE,C00049,PWY-7342,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,superpathway of nicotine biosynthesis,NA
L-ASPARTATE,C00049,PYRIDNUCSYN-PWY,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,L-Aspartic acid,C00049,NAD <i>de novo</i> biosynthesis I,NA
