KEGG_ID,PubChem_CID,query
not found,10236867,D-(+)-Turanose
not found,91746259,D-(+)-Turanose
C03663,6990,4-Acetylresorcinol
NA,534634,Cyclohexadec-8-en-1-one
C15080,5838784,"4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone"
NA,101995281,Coriandrone D
NA,131750936,Coriandrone D
NA,139583741,Colisiderin A
C01179,979,4-Hydroxyphenylpyruvic acid
NA,44254692,Clinopodic Acid B
NA,85149847,Citbismine C
C10480,4276,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole"
NA,5356697,"cis-2,4-Pentadienal"
NA,85857,"Cinnamic acid, p-hydroxy-, acetate"
NA,23815258,"Cembratetraene-16,2:19,6-diolide"
NA,5319500,Cassiachromone
NA,139588465,Botryosphaerin F
NA,7018766,Boc-L-leucinol
NA,1581888,Boc-Asp(OBzl)-OH
NA,45480578,beta-D-Glc-(1->4)-[L-alpha-D-Hep-(1->3)]-L-alpha-D-Hep
NA,53356713,beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->6)-D-galactitol
NA,131753074,beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose
C03088,78168,5-(Hydroxymethyl)uracil
NA,219994,beta1-6Galactobiose
NA,13953341,Benzoylmalic acid
NA,21252288,Benzoquinoneacetic acid
NA,10902054,"Benzoic acid, 3,5-bis(acetyloxy)-4-methoxy-, methyl ester"
NA,17390,"Benzoic acid, 2-(diethylamino)ethyl ester"
NA,612527,"Benzofuran, 2,5-diacetyl-6-methoxy-"
NA,139590042,Banksiamarin A
NA,122198273,Azanigerone E
NA,5470400,Austocystin D
NA,44445586,Aspinonene
NA,24762997,Aspinonediol
C00664,135398659,5-Formimidoyltetrahydrofolic acid
NA,139590714,Aspergixanthone I
NA,102341761,Aspergilline B
NA,146684431,Aspergilate D
NA,139586345,Aspergentisyl B
NA,11969970,Asperfuran
NA,11799204,Arenatin B
NA,30837,"AMMONIUM, TRIMETHYL(3-SULFOPROPYL)-, HYDROXIDE, inner salt"
NA,197627,alpha-Hydroxysalmeterol
NA,52921661,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc
NA,84571,alpha-D-Lactose
NA,70678711,alpha-D-GlcNAc-(1->4)-D-GlcA
NA,5316074,alpha-Corocalene
NA,25202810,alpha-aminopimelate
NA,135407110,Allopurinol riboside
NA,71606916,Aculeatusquinone C
NA,11010921,Acronyculatin D
NA,38316,"Acetic acid, 2-(p-(allylamino)phenyl)-"
NA,3854540,Acetic acid 2-acetoxy-5-acetyl-phenyl ester
NA,138756195,9'-Methylprotocetraric acid
NA,6440422,"9-Hydroxy-4-(3,7-dimethyl-2,6-octadienyloxy)-psoralen"
NA,86583341,9-hydroperoxy-10E-octadecenoate
NA,53481537,9'-Carboxy-gamma-tocotrienol
NA,617182,"8-Hydroxy-6,7-dimethoxy-3-methyl-3,4-dihydroisochromen-1-one"
NA,5323870,"8-Hydroxy-5,6,7-trimethoxychromen-2-one"
NA,1202844,"8H,16H-Dinaphtho[2,1-d:1',2'-g][1,3]dioxocine"
NA,74184110,8-Ethyl-7-hydroxy-5-methoxy-2-methylchroman-4-one
NA,5411574,8-Acetyl-7-hydroxycoumarin
NA,5324648,8-acetyl-7-hydroxy-4-methyl-chromen-2-one
NA,21629327,8-Acetyl-7-deuteriooxy-4-methylchromen-2-one
NA,44559034,"8,8-Dimethyl-3-(2,4,5-trimethoxyphenyl)-2,3-dihydropyrano[2,3-f]chromen-4-one"
NA,177363,8(S)-Amino-2(R)-methyl-7-oxononanoic acid
NA,13871794,"8-(7-Hydroxy-4-methoxy-5-methyl-2-oxochromen-6-yl)-4,7-dimethoxy-5-methylchromen-2-one"
NA,14314901,7-Oxocurvularin
NA,2740612,"7-methylpyrimido[4,5-d]pyrimidin-4-amine"
NA,13093115,7-methyl-3-oxooct-6-enoic acid
C15295,5355836,"7,8-Dihydroxy-4-methylcoumarin"
NA,5338490,7-Hydroxycoumarin-4-acetic acid
NA,5348641,"7-hydroxy-6-methyl-1H,2H,3H,4H-cyclopenta[c]chromen-4-one"
NA,14189622,7-Hydroxy-2-oxo-2H-chromene-6-carboxylic acid
NA,10243103,"7-Acetyl-3,6-dihydroxy-8-methyl-tetralone"
NA,24079415,"7-[[(6R,8aS)-1,6-dihydroxy-1,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-2H-naphthalen-2-yl]methoxy]chromen-2-one"
NA,11277378,"7-[(3,3-dimethyloxiran-2-yl)methoxy]-6-methoxy-2H-chromen-2-one"
C09315,5281426,7-Hydroxycoumarine
NA,628758,"7,18-Dihydroxykaurenolide"
NA,44237368,7-(Methylthio)heptyl-glucosinolate
NA,129820622,"7-(6,7-Dihydroxy-3,7-dimethyloct-2-enyloxy)-6-methoxycoumarin"
NA,33960,6-Pentyl-2H-pyran-2-one
NA,69692,6-Methoxysalicylaldehyde
C09317,65188,"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one"
NA,16757192,"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one"
NA,11345068,"6-Hydroxy-7,8-dimethoxycoumarin"
NA,71436822,"6-Hydroxy-7,8-dimethoxy-2-(2-oxopropyl)-2,3,3a,9b-tetrahydrouro[3,2-c]isochromen-5-one"
NA,196513,6-Hydroxy-5-methoxyindole glucuronide
NA,600131,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile"
NA,23208897,6-Amino-2-(4-aminobutanamido)hexanoic acid
NA,102064909,6-acetyl-2-(hydroxymethyl)-2-methyl-3H-chromen-4-one
NA,129687121,6-acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone
C09963,5281570,"8-Hydroxy-6-methoxy-3,4-dimethylisochromen-1-one"
NA,60208833,6-[1-Hydroxy-1-(3-methyl-5-oxooxolan-2-yl)ethyl]-4-methoxy-3-methylpyran-2-one
NA,23760118,"6-[(E)-4,5-dihydroxy-4-methylhex-2-en-2-yl]-4-methoxy-3-methylpyran-2-one"
NA,131835220,"6-[(E)-3-carboxy-2-methylprop-2-enoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
NA,15108308,6-[(2S)-2-hydroperoxy-3-methylbut-3-enyl]-7-methoxychromen-2-one
NA,27694,"6,7-Dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinoline"
NA,5319502,"6,7-Dihydroxy-4-methylcoumarin"
NA,3083928,"6,7,8-trimethoxy-2H-chromen-2-one"
NA,73386714,6-(Naphthalen-2-Yl)-9-(5-O-Phosphono-Beta-D-Ribofuranosyl)-9h-Purine
NA,6426767,"6-(4-Ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C01083,7427,alpha-alpha-Trehalose
NA,190904,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one
NA,131837489,"6-(2-Benzyl-3-oxopropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
NA,54750157,"6-(2,4-dihydroxy-6-methylphenyl)-4-hydroxypyran-2-one"
C12067,443606,"alpha-D-Glucopyranose, 2-deoxy-2-(dimethylamino)"
NA,131839124,"6-(1,3-Diphenylbut-3-en-2-yloxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
NA,14462134,5-Nonylresorcinol
NA,136707,"5-Methylhepta-1,3,6-triene"
NA,22723553,"5-Methyl-1,2,3,4-tetrahydroxybenzene"
NA,53481648,5-Hydroxytryptophol glucuronide
NA,71768073,5'-Hydroxyasperentin
NA,600713,5-Hydroxy-7-methoxy-4-(methoxymethyl)-6-methyl-1(3H)-isobenzofuranone
NA,11622335,5-Hydroxy-2-methoxypyridine
NA,51136453,"5-hydroxy-2,2,6,6-tetramethyl-4-{2-methyl-1-[2,4,6-trihydroxy-3-(2-methylpropanoyl)phenyl]propyl}cyclohex-4-ene-1,3-dione"
NA,69226,5-Formylsalicylic acid
NA,135509123,5'-Deoxyguanosine
NA,20504859,5-Aminopentane-1-sulfonate
NA,354316,5-Aminonicotinic acid
NA,79256,5-amino-1-phenyl-1H-pyrazole-4-carbonitrile
NA,3854540,5-acetyl-2-(acetyloxy)phenyl acetate
NA,38357489,5-[(E)-but-1-enyl]-4-methoxy-6-methylpyran-2-one
NA,2811879,"5-[(4-Thiophen-2-ylpyrimidin-2-yl)sulfanylmethyl]-2,1,3-benzoxadiazole"
NA,25750967,"5-[(1E)-3-hydroxy-3-methylbut-1-en-1-yl]-2-methylcyclohex-5-ene-1,2,4-triol"
NA,643697,"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one"
NA,135418331,"5,8-dihydroxy-10-methoxy-2-methyl-4H-benzo[h]chromen-4-one"
NA,5354284,"5,7-Dihydroxy-4-methylcoumarin"
NA,56776388,"5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid"
NA,73120805,"5-(1,2-Dihydroxypropan-2-yl)-2-methylcyclohex-2-en-1-one"
NA,13213508,4-oxododecanedioic acid
NA,713937,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid"
NA,11531145,4-O-Methylgrifolic acid
NA,70807,4-Morpholinepropanesulfonic acid
C18352,201448,Camphenal
NA,60196415,4-Methylumbelliferone hydrate
NA,699414,4-Methoxycinnamic acid
NA,179399,"4-methoxy-9-(2-methylbut-3-en-2-yl)-7H-furo[3,2-g]chromen-7-one"
NA,51136368,"4-Methoxy-6-pentyl-2-prop-1-en-2-yl-2,3-dihydro-1-benzofuran-7-carboxylic acid"
NA,14104351,4-Methoxy-3-(3-methylbut-2-enoyl)benzaldehyde
NA,122706552,4-hydroxytetracenomycin A2
NA,44243661,"4-Hydroxy-3,5,4'-trimethoxystilbene"
NA,8485,4-Dodecylbenzenesulfonic acid
NA,70258,"4-Cyclopentene-1,3-dione"
C04114,5462194,Crotonic acid betaine
