CHEBI_ID,PubChem_CID,query
CHEBI:178214,131770417,N-lactoyl-Valine
CHEBI:85259,8021,Diethamine
CHEBI:73510,6998031,Glu-Thr
CHEBI:73606,7010718,H-Lys-Thr-OH
CHEBI:189015,131769998,3-cis-Hydroxyglipizide
CHEBI:62662,53356713,beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->6)-D-galactitol
CHEBI:172723,14890279,Piperenol A triacetate
CHEBI:52046,13093115,7-methyl-3-oxooct-6-enoic acid
CHEBI:174225,13953341,Benzoylmalic acid
CHEBI:81698,201448,Camphenal
CHEBI:119786,6491564,"2-[(3,6-dimethyl-4-oxo-2-thieno[2,3-d]pyrimidinyl)thio]-N-(4-methylphenyl)acetamide"
CHEBI:155858,102304306,"3-(2-Oxopropyl)-6,8-dihydroxyisocoumarin"
CHEBI:216278,135410277,Parasperone A
CHEBI:223350,10081079,3-(1-Hydroxy-2-Methylbutyl)-4-Methyl-2(5H)-Furanone)
CHEBI:181572,16681748,Peniprequinolone
CHEBI:181005,44715172,46-Dimethylcurvulinic acid
CHEBI:179251,62374,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione"
CHEBI:29711,443606,"alpha-D-Glucopyranose, 2-deoxy-2-(dimethylamino)"
CHEBI:70766,22328017,3-Hydroxysuberic acid
CHEBI:207812,24762997,Aspinonediol
CHEBI:144127,78435,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate"
CHEBI:173462,15146,Methyl 3-hydroxybutyrate
CHEBI:155857,146672858,Dehydrocitreoisocoumarin
CHEBI:198908,177363,8(S)-Amino-2(R)-methyl-7-oxononanoic acid
CHEBI:67898,76658,"Methyl 2,4-dihydroxy-6-methylbenzoate"
CHEBI:168623,76551322,Dihydrodeoxy-8-epiaustdiol
CHEBI:189024,85638857,"3-(2,5-Dihydroxyphenyl)prop-2-enal"
CHEBI:169522,131835220,"6-[(E)-3-carboxy-2-methylprop-2-enoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
CHEBI:16026,439283,"(2S,6S)-2,6-diaminoheptanedioic acid"
CHEBI:195885,14391671,Tsibulin 2
CHEBI:218282,146684431,Aspergilate D
CHEBI:181022,11969970,Asperfuran
CHEBI:136463,132282054,Erucifoline N-oxide
CHEBI:85263,8899,N-(2-Hydroxyethyl)dodecanamide
CHEBI:67490,10890323,Preremirol
