kegg_cid,month,month_mean_int,log_int
C01004,September,6748728.6081739385,23.686184308014045
C01035,August,19720547.685557917,25.2331962834865
C01035,July_1,12991048.477253065,24.631014536251474
C01035,July_2,14222270.907108499,24.76164850644369
C01035,July_3,6892024.949283701,23.71649649348465
C01035,June,13496492.993617473,24.686081242005454
C01035,May,4114310.485735996,22.972219240029396
C01035,October,12185114.96874465,24.53861652742341
C01035,September,10689249.894466255,24.34965728139502
C01108,August,22071838.04525346,25.39570344010711
C01108,July_1,5754289.894079514,23.456206473442016
C01108,July_2,6423803.5408703685,23.614996340923792
C01108,July_3,4670627.029391327,23.15518481336379
C01108,June,8498510.282590233,24.018778540424233
C01108,May,8711322.867976412,24.054460386903042
C01108,October,9341846.313651001,24.155276280319985
C01108,September,7583872.147751032,23.854503212178454
C01109,August,285760881.2610997,29.09023319382051
C01109,July_1,219333632.900278,28.708551812779522
C01109,July_2,216672094.89421666,28.690938120421308
C01109,July_3,166845234.16824022,28.31393523650889
C01109,June,272167068.7686215,29.01991727561628
C01109,May,185032522.42804712,28.463203628878073
C01109,October,270075301.8185188,29.008786471610904
C01109,September,196651495.42505857,28.551065916313426
C01132,August,6844374.201526028,23.706487207574625
C01132,July_1,5521733.42518,23.396689809395387
C01132,July_2,6750769.235935597,23.686620472915653
C01132,July_3,4705338.890254809,23.16586720251884
C01132,June,10512517.372431885,24.32560484881568
C01132,May,9760435.665007366,24.218514114419502
C01132,October,9530452.224378882,24.1841132416325
C01132,September,7177397.548897744,23.775029401687735
C01170,August,50325412.66329796,26.584783761360192
C01170,July_1,22816027.58824549,25.443544295557277
C01170,July_2,14482723.45987247,24.78782958932571
C01170,July_3,32316536.306206938,25.94576924220095
C01170,June,26183041.25318915,25.642129345378056
C01170,May,23816888.533544086,25.505481614339235
C01170,October,39036197.04473908,26.21830917479835
C01170,September,22190863.295149915,25.40346245826313
C01197,August,1737935.5442972963,21.728943146501344
C01197,July_1,1808623.1040886655,21.786460367823285
C01197,July_2,1518081.5361427881,21.533817849293648
C01197,July_3,6286490.733753866,23.583823464992406
C01197,June,3020306.0657688733,22.526263323243192
C01197,May,2406369.5953348624,22.198426813004648
C01197,October,3107632.5098891635,22.56738447863387
C01197,September,10025361.591997374,24.25715093655993
C01481,August,1737935.5442972963,21.728943146501344
C01481,July_1,1808623.1040886655,21.786460367823285
C01481,July_2,1518081.5361427881,21.533817849293648
C01481,July_3,6286490.733753866,23.583823464992406
C01481,June,3020306.0657688733,22.526263323243192
C01481,May,2406369.5953348624,22.198426813004648
C01481,October,3107632.5098891635,22.56738447863387
C01481,September,10025361.591997374,24.25715093655993
C01494,August,8968760.285722602,24.096477150539517
C01494,July_1,11376173.578989163,24.439512047259388
C01494,July_2,10377261.232848782,24.306922402016916
C01494,July_3,12816186.46208875,24.61146370692519
C01494,June,13452457.180991646,24.681366378930683
C01494,May,13775370.565087534,24.71558779282455
C01494,October,10564540.60337518,24.332726697585443
C01494,September,14709297.688151654,24.810225029362467
C01570,August,142232897.21629465,28.08367994530636
C01570,July_1,135344853.14736173,28.012064785329574
C01570,July_2,145540632.28965005,28.11684674260496
C01570,July_3,123636886.47268616,27.881533987713933
C01570,June,107097963.89378944,27.674355811472264
C01570,May,49204865.25015015,26.552297636793103
C01570,October,88427968.27208638,27.39799940606587
C01570,September,76705276.85884115,27.192822494041636
C01697,August,14480159.610007545,24.787574169070314
C01697,July_1,3065269.754185571,22.547582610907806
C01697,July_2,1343791.2794639687,21.35787764236191
C01697,July_3,5648799.329280729,23.429512819901223
C01697,June,3382101.837802753,22.68948867043255
C01697,May,2365310.2727437746,22.17359801275712
C01697,October,4557249.8947565565,23.119732051590702
C01697,September,4064252.3129603327,22.954558538205266
C01726,August,14654768.426144743,24.80486683503038
C01726,July_1,23914849.552643735,25.51140337962785
C01726,July_2,17949631.382943906,25.097450881103352
C01726,July_3,20543370.996532224,25.29216959956496
C01726,June,21635885.230158363,25.366922813907443
C01726,May,25178520.130950224,25.585690155271628
C01726,October,22607682.363635898,25.430309765373483
C01726,September,27458787.414693143,25.71076458141414
C01752,August,42222375.19223743,26.33150440305003
C01752,July_1,49683330.91985296,26.566258563624647
C01752,July_2,47566417.742001995,26.503440043296838
C01752,July_3,52396105.15682675,26.642956237810683
C01752,June,57391129.593399614,26.77432443455256
C01752,May,46418495.403402895,26.468196424523647
C01752,October,41558301.592598125,26.308633359502636
C01752,September,47544421.65142889,26.50277274498348
C01835,August,103526818.79712407,27.625429307824962
C01835,July_1,129763887.0807369,27.95131370038286
C01835,July_2,119003314.60634603,27.826426516661876
C01835,July_3,89280980.49499986,27.411849535324723
C01835,June,186766570.42892587,28.47666100754902
C01835,May,157239260.4738409,28.228386242720227
C01835,October,161118484.735727,28.26354677956634
C01835,September,112675440.42999022,27.747597848423712
C01879,August,4845369.43920529,23.208175238636333
C01879,July_1,2774327.037852332,22.40370643199576
C01879,July_2,3224209.671041523,22.620514135006488
C01879,July_3,3198330.2850741944,22.60888750002305
C01879,June,7476261.12779449,23.833885529150294
C01879,May,6042761.012682854,23.526776454827726
C01879,October,4191117.886817395,22.99890367116374
C01879,September,3264386.4249906135,22.63838041720329
C01905,August,13455366.386155644,24.68167833993852
C01905,July_1,6387169.667228263,23.60674534374625
C01905,July_2,9146482.913041085,24.12478566142524
C01905,July_3,10134694.607593257,24.272799280421495
C01905,June,10873492.002440754,24.374311997912734
C01905,May,3568751.5709443325,22.76698804486605
C01905,October,3892686.499369992,22.89233473008534
C01905,September,4833641.83029686,23.204679143627786
C01977,August,25386681.897343665,25.597568507677817
C01977,July_1,25144453.371695764,25.583736854473898
C01977,July_2,30807569.448782794,25.876781530213997
C01977,July_3,20526112.44524382,25.29095707748113
C01977,June,25871192.11774731,25.624843197659658
C01977,May,18410303.528198507,25.134010076614562
C01977,October,30326505.931028374,25.854075951611172
C01977,September,20979018.59326411,25.322443853864186
C01996,August,23365783.904078405,25.477894103535167
C01996,July_1,17474265.333504945,25.0587284661934
C01996,July_2,13978524.861673703,24.73670878693948
C01996,July_3,11703285.99428038,24.480410324110498
C01996,June,13022270.232851932,24.63447764636835
C01996,May,6301887.480859882,23.5873525648325
C01996,October,20106205.34786086,25.261137491135994
C01996,September,20267868.06422542,25.272691006843242
C01997,August,2390527.08889444,22.1888973233856
