query,ko,name
coniferaldehyde,cpd:C12204,5-Hydroxyconiferaldehyde
6-Prenylnaringenin,cpd:C09832,"6-Prenylnaringenin; 5,7,4'-Trihydroxy-6-prenylflavanone"
mycophenolate,cpd:C07908,Mycophenolate mofetil; RS 61443
mycophenolate,cpd:C20380,Mycophenolate
dihydroconiferyl alcohol,cpd:C10448,Dihydroconiferyl alcohol; 4-Hydroxy-3-methoxy-benzenepropanol
caffeate,cpd:C01197,"Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate"
caffeate,cpd:C01481,"Caffeate; Caffeic acid; 3,4-Dihydroxycinnamic acid"
caffeate,cpd:C10477,Methyl caffeate
caffeate,cpd:C10484,Phenethyl caffeate; Caffeic acid phenethyl ester
caffeate,cpd:C10487,Prenyl caffeate
adenosine,cpd:C00002,ATP; Adenosine 5'-triphosphate
adenosine,cpd:C00008,ADP; Adenosine 5'-diphosphate
adenosine,cpd:C00020,AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate
adenosine,cpd:C00053,3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS
adenosine,cpd:C00054,"Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate"
adenosine,cpd:C00131,dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate
adenosine,cpd:C00170,5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA; 5'-Deoxy-5'-(methylsulfanyl)adenosine
adenosine,cpd:C00206,dADP; 2'-Deoxyadenosine 5'-diphosphate
adenosine,cpd:C00212,Adenosine
adenosine,cpd:C00224,Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate
adenosine,cpd:C00301,ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose
adenosine,cpd:C00360,dAMP; 2'-Deoxyadenosine 5'-phosphate; 2'-Deoxyadenosine 5'-monophosphate; Deoxyadenylic acid; Deoxyadenosine monophosphate
adenosine,cpd:C00498,ADP-glucose; ADP-alpha-D-glucose; Adenosine diphosphoglucose
adenosine,cpd:C00559,Deoxyadenosine; 2'-Deoxyadenosine
adenosine,cpd:C00575,"3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP"
adenosine,cpd:C00939,2-Aminoadenosine
adenosine,cpd:C00946,Adenosine 2'-phosphate; 2'-Adenylic acid; Adenosine-2'-monophosphate; AMP 2'-phosphate
adenosine,cpd:C01367,3'-AMP; 3'-Adenylic acid; 3'-Adenosine monophosphate; Adenosine-3'-monophosphate; Adenosine 3'-phosphate; AMP 3'-phosphate
adenosine,cpd:C01972,m7G(5')pppAm-mRNA; mRNA containing a 2'-O-methyladenosine cap; 5-(N7-Methyl 5-triphosphoguanosine)-2'-O-methyladenosine-[mRNA]
adenosine,cpd:C02494,1-Methyladenosine
adenosine,cpd:C03218,2-Methylaminoadenosine
adenosine,cpd:C03361,5'-Acylphosphoadenosine
adenosine,cpd:C03416,"N6,N6-Dimethyladenosine"
adenosine,cpd:C03483,Adenosine tetraphosphate; Adenosine 5'-tetraphosphate
adenosine,cpd:C03795,N6-Methyl-2'-deoxyadenosine
adenosine,cpd:C03850,"Adenosine 2',5'-bisphosphate"
adenosine,cpd:C03851,Adenosine 5'-phosphoramidate
adenosine,cpd:C04432,tRNA containing 6-isopentenyladenosine; N6-(3-Methylbut-2-en-1-yl)-adenosine in tRNA; N6-(3-Methylbut-2-en-1-yl)-adenine in tRNA; N6-Dimethylallyladenine in tRNA
adenosine,cpd:C04713,N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate; N6-(Dimethylallyl)adenosine 5'-phosphate; Isopentenyl-AMP; N6-Prenyladenosine 5'-phosphate
adenosine,cpd:C04779,rRNA containing a single residue of 2'-O-methyladenosine
adenosine,cpd:C04833,"m7G(5')pppm6Am-mRNA; mRNA containing an N6,2'-O-dimethyladenosine cap; 5-(N7-Methyl 5-triphosphoguanosine)-N6,2'-O-dimethyladenosine-[mRNA]"
adenosine,cpd:C05198,5'-Deoxyadenosine
adenosine,cpd:C05686,Adenylylselenate; Adenosine-5'-phosphoselenate
adenosine,cpd:C05696,3'-Phosphoadenylylselenate; 3'-Phosphoadenosine-5'-phosphoselenate
adenosine,cpd:C05983,Propionyladenylate; Propionyl-adenosine monophosphate
adenosine,cpd:C05993,Acetyl adenylate; 5'-Acetylphosphoadenosine
adenosine,cpd:C06197,"P1,P3-Bis(5'-adenosyl) triphosphate; ApppA; Adenosine 5'-triphosphate 5'-adenosine"
adenosine,cpd:C06433,5'-Benzoylphosphoadenosine
adenosine,cpd:C06510,Adenosine-GDP-cobinamide; Adenosylcobinamide-GDP
adenosine,cpd:C08431,Cordycepin; 3'-Deoxyadenosine
adenosine,cpd:C11265,8-Azaadenosine
adenosine,cpd:C11266,8-Bromoadenosine
adenosine,cpd:C11500,5'-Dehydroadenosine
adenosine,cpd:C13742,Adenosine 5-O-(3-thiotriphophate); ATP-gamma-S; Adenosine 5'-(gamma-thio)triphosphate
adenosine,cpd:C13743,Adenosine 5-O-(3-thiodiphophate); ADP-gamma-S
adenosine,cpd:C16424,Isopentenyladenosine-5'-triphosphate; Isopentenyl-ATP; N6-(Dimethylallyl)adenosine 5'-triphosphate; N6-Prenyladenosine 5'-triphosphate
adenosine,cpd:C16426,Isopentenyladenosine-5'-diphosphate; Isopentenyl-ADP; N6-(Dimethylallyl)adenosine 5'-diphosphate; N6-Prenyladenosine 5'-diphosphate
adenosine,cpd:C16427,Isopentenyl adenosine
adenosine,cpd:C16467,cis-Prenyl-tRNA; tRNA containing N6-(cis-hydroxy)isopentenyladenosine
adenosine,cpd:C17324,tRNA adenine; Adenosine in tRNA
adenosine,cpd:C18344,Adenosine 5'-phosphate disodium
adenosine,cpd:C19766,5'-Deoxy-5'-fluoroadenosine
adenosine,cpd:C19768,5-Deoxy-5-chloroadenosine
adenosine,cpd:C19969,2-Hydroxy-dATP; 2-Hydroxy-2'-deoxyadenosine 5'-triphosphate
adenosine,cpd:C20198,Adenosine 5'-pentaphosphate
adenosine,cpd:C20784,ADP-5-ethyl-4-methylthiazole-2-carboxylate; Adenosine diphospho-5-beta-ethyl-4-methylthiazole-2-carboxylic acid
adenosine,cpd:C22092,5'-O-Phosphonoadenylyl-(3'->5')-adenosine; pApA
adenosine,cpd:C22319,1-Tuberculosinyladenosine
adenosine,cpd:C22440,"2-Amino-2'-deoxyadenosine; 2,6-Diaminopurinedeoxyriboside"
adenosine,cpd:C22441,dZMP; 2-Amino-2'-deoxyadenosine 5'-monophosphate
adenosine,cpd:C22442,dZDP; 2-Amino-2'-deoxyadenosine 5'-diphosphate
adenosine,cpd:C22443,dZTP; 2-Amino-2'-deoxyadenosine 5'-triphosphate
2-sulfotrehalose,cpd:C20985,"2-Sulfotrehalose; 2-O-Sulfo-alpha,alpha-trehalose"
3-O-methylgallate,cpd:C05616,"3-O-Methylgallate; 3-O-Methylgallic acid; 5-Hydroxyvanillic acid; 3,4-Dihydroxy-5-methoxybenzoate"
