kegg_cid,month,month_mean_int,log_int
C00785,July_3,4120321.911814563,22.974325625770533
C00785,June,3658372.1857252824,22.802770424942764
C00785,May,3279760.96598245,22.645159242168138
C00785,October,5661530.402414652,23.432760658694306
C00785,September,3434770.655150572,22.71178234064613
C00821,August,11122050.252651198,24.40691942499645
C00821,July_1,5439193.3806131715,23.374961288433553
C00821,July_2,4451294.002866172,23.085793361614982
C00821,July_3,3227957.8931041914,22.622190328916986
C00821,June,3820170.8850839874,22.865205744116402
C00821,May,4354635.43400549,23.054120512128108
C00821,October,4370500.412186436,23.05936704375209
C00821,September,3437242.4653996164,22.71282019330431
C01083,August,3954597.114136417,22.91509929283535
C01083,July_1,2656929.667150606,22.341328607391247
C01083,July_2,3340757.747137925,22.6717439397031
C01083,July_3,2229650.2182948585,22.088385970989236
C01083,June,8510563.011347596,24.020823145044048
C01083,May,7569339.159649735,23.851735920695983
C01083,October,8702724.949184172,24.053035769727103
C01083,September,2428503.211840299,22.211635963737347
C01089,August,115440116.50618322,27.782569420059428
C01089,July_1,155398101.0869102,28.211393633698858
C01089,July_2,187508827.08470812,28.482383271995847
C01089,July_3,93106081.34028418,27.472372066506207
C01089,June,140651174.21241522,28.06754635599863
C01089,May,71194926.09457302,27.08527109137182
C01089,October,69930638.8820473,27.059421349833492
C01089,September,54724923.45928116,26.705694695801537
C01179,August,144282817.07752648,28.104324255787954
C01179,July_1,178338405.7248136,28.41004218433992
C01179,July_2,152207065.17861363,28.181460086807487
C01179,July_3,207518137.51332074,28.628662195592042
C01179,June,159060337.5195134,28.244998896480826
C01179,May,164195044.73474106,28.29083534757583
C01179,October,201852702.04878026,28.588727658309118
C01179,September,226938858.79407376,28.757728422271903
C01197,August,157773684.68837142,28.233281355226396
C01197,July_1,171256073.1701988,28.351579909666487
C01197,July_2,162474106.3998132,28.2756345723465
C01197,July_3,176222264.93740043,28.392820973286163
C01197,June,160536239.2388006,28.258323765285137
C01197,May,169138484.59848216,28.333629717027804
C01197,October,191559059.1255516,28.51321401376418
C01197,September,185847498.19814226,28.469544026467645
C01384,August,7544589.947679589,23.847011060993935
C01384,July_1,5383838.720818696,23.360203762303605
C01384,July_2,4896519.500592539,23.223325199488897
C01384,July_3,20232367.23542544,25.270161792758643
C01384,June,10909175.52980977,24.379038737092046
C01384,May,3049131.5219134325,22.539966950540993
C01384,October,18293991.441822384,25.12486654548082
C01384,September,6943438.007761643,23.727218752097034
C01481,August,157773684.68837142,28.233281355226396
C01481,July_1,171256073.1701988,28.351579909666487
C01481,July_2,162474106.3998132,28.2756345723465
C01481,July_3,176222264.93740043,28.392820973286163
C01481,June,160536239.2388006,28.258323765285137
C01481,May,169138484.59848216,28.333629717027804
C01481,October,191559059.1255516,28.51321401376418
C01481,September,185847498.19814226,28.469544026467645
C01494,August,7320999.759281179,23.80360924642212
C01494,July_1,13820319.689038113,24.720287652474287
C01494,July_2,9095878.349822061,24.11678152877839
C01494,July_3,7862862.275909204,23.906623154017794
C01494,June,9181512.463695817,24.130300396617077
C01494,May,12262870.09874994,24.54779334247655
C01494,October,11538055.253708623,24.45989674155141
C01494,September,11526853.110510115,24.458495367875404
C01551,August,3670965.762745382,22.80772822853208
C01551,July_1,1942421.449162173,21.889424827058637
C01551,July_2,2226816.0334543926,22.086550945327833
C01551,July_3,2282756.9133772613,22.122345807100977
C01551,June,8366167.622711009,23.996135473119097
C01551,May,6630497.485572631,23.660685688989744
C01551,October,16273533.954514878,24.95602424435707
C01551,September,4082199.0815425604,22.960915111065386
C02104,August,2258250.8610975347,22.106774328224635
C02104,July_1,3109193.090188256,22.568108784461483
C02104,July_2,2880922.764700965,22.45809955280828
C02104,July_3,3054093.080690757,22.54231260166349
C02104,June,3886563.7942631515,22.89006376623022
C02104,May,3361061.633343041,22.68048556757949
C02104,October,3303739.6331376336,22.655668562140157
C02104,September,3365431.915926365,22.68236023997789
C02348,August,3670965.762745382,22.80772822853208
C02348,July_1,1942421.449162173,21.889424827058637
C02348,July_2,2226816.0334543926,22.086550945327833
C02348,July_3,2282756.9133772613,22.122345807100977
C02348,June,8366167.622711009,23.996135473119097
C02348,May,6630497.485572631,23.660685688989744
C02348,October,16273533.954514878,24.95602424435707
C02348,September,4082199.0815425604,22.960915111065386
C02350,August,3670965.762745382,22.80772822853208
C02350,July_1,1942421.449162173,21.889424827058637
C02350,July_2,2226816.0334543926,22.086550945327833
C02350,July_3,2282756.9133772613,22.122345807100977
C02350,June,8366167.622711009,23.996135473119097
C02350,May,6630497.485572631,23.660685688989744
C02350,October,16273533.954514878,24.95602424435707
C02350,September,4082199.0815425604,22.960915111065386
C02614,August,4062139.5593160433,22.95380837520013
C02614,July_1,3877777.7924801093,22.886798704674057
C02614,July_2,3864521.3746465566,22.88185831512184
C02614,July_3,3560866.797568716,22.763797038700748
C02614,June,5581185.235013566,23.41214009838593
C02614,May,4737129.325512366,23.17558162792885
C02614,October,4522950.632407526,23.108832818495035
C02614,September,3795465.9013549117,22.85584555966019
C02666,August,9243286.05283317,24.139974400331074
C02666,July_1,11658371.160309847,24.474862901884233
C02666,July_2,10764640.533631973,24.359796808240112
C02666,July_3,11797646.277492955,24.49199572358673
C02666,June,12035157.74406363,24.520751715461998
C02666,May,15132469.765681865,24.85114413279182
C02666,October,12427296.152770042,24.567009102893408
C02666,September,12568621.504375987,24.583323091387843
C03081,August,12533067.074891,24.57923617641872
C03081,July_1,11387427.349801019,24.44093851407499
C03081,July_2,10051463.829056809,24.260902285529664
C03081,July_3,11183375.434653323,24.41485236114546
C03081,June,11007858.701561263,24.39203052084446
C03081,May,11494200.314239873,24.454402761166914
C03081,October,9126851.552382864,24.121685835543197
C03081,September,10271641.06125364,24.292163358213802
C03088,August,1657303.0043576055,21.660405963627955
C03088,July_1,2639034.233764924,22.33157863486622
C03088,July_2,2387596.1185238003,22.18712738286062
C03088,July_3,1753488.3389774535,21.741796405757423
C03088,June,2737167.6394265667,22.384252365431188
C03088,May,3942187.537101266,22.910564978990827
C03088,October,4649942.7217212,23.148781514448576
C03088,September,2083227.0533863967,21.990388658315332
C03663,August,25298958.88441268,25.592574679834673
C03663,July_1,21413950.43952912,25.35204763246111
C03663,July_2,22927151.08578834,25.4505537618361
C03663,July_3,23568114.5114896,25.490333009404186
C03663,June,20885952.60765398,25.316029610489185
C03663,May,22405650.025573432,25.417359246317563
C03663,October,26325596.92653338,25.649962908593995
C03663,September,23037758.709801,25.45749703135895
C04641,August,2426637.1950316443,22.210526997527097
C04641,July_1,1311494.5237482188,21.322780352849673
C04641,July_2,1462272.3496274762,21.479780608975876
C04641,July_3,1360255.4121010087,21.37544613784031
C04641,June,7454598.951775638,23.829699308707763
C04641,May,7585381.042097733,23.854790223591756
C04641,October,6592137.839859749,23.652314978532665
C04641,September,2033881.3771803754,21.955804108134156
C05283,August,134504.36530376624,18.037293470286212
C05283,July_1,74286.78050066915,17.180817882398145
C05283,July_2,90891.6499371228,17.47186014213529
C05283,July_3,75938.66689668741,17.212547052279564
C05283,June,4417625.514326763,23.074839694780053
C05283,May,5358931.11509797,23.35351384076707
C05283,October,4542840.588339676,23.11516325036338
C05283,September,63924.854563896544,16.964089352817833
C05512,August,17071094.208187107,25.0250521981561
C05512,July_1,18838376.42867878,25.167171296931542
C05512,July_2,26636319.083346225,25.66689139199929
C05512,July_3,14180950.77862577,24.757450927227914
C05512,June,17595504.44505045,25.068703539477887
C05512,May,14532063.991182797,24.792736287923624
C05512,October,23963602.558742624,25.514341475632847
C05512,September,14977594.539858479,24.83630260415788
C05616,August,18471087.7589305,25.138765493076868
C05616,July_1,28923344.784890562,25.785731063856915
C05616,July_2,21911965.8041005,25.3852155838937
C05616,July_3,24417497.358790375,25.54141200486915
C05616,June,28495808.07570381,25.76424636899073
C05616,May,34740137.21487226,26.050100116556468
C05616,October,34341715.29497044,26.03345876487205
C05616,September,40240081.6380524,26.262129896260888
C06501,August,475606666.8727599,29.825193697472745
C06501,July_1,355192879.43712616,29.404027419323754
C06501,July_2,443648868.7893023,29.724843049027804
C06501,July_3,127208788.88544486,27.922623109307764
C06501,June,342831930.41310394,29.352926243413226
C06501,May,281023735.1636938,29.066116744195835
C06501,October,115790381.45236002,27.786940174711702
C06501,September,107790708.75983593,27.68365758650469
C06570,August,17944019.371499687,25.09699974721333
C06570,July_1,13189275.118566118,24.652861940583602
C06570,July_2,17685480.99084903,25.076062120664915
C06570,July_3,16238865.193348872,24.952947481640326
C06570,June,52317327.925784476,26.64078552219846
C06570,May,40224463.43052295,26.26156984062858
C06570,October,45320730.899166465,26.433667792274203
C06570,September,12023984.277491506,24.51941169211805
C06672,August,7808796.995989338,23.896668876769265
C06672,July_1,8370132.865145181,23.996819093218637
C06672,July_2,7707448.727549726,23.877821956412934
C06672,July_3,7400420.161971236,23.819175752009592
C06672,June,8642343.323567405,24.04299111353228
C06672,May,8753514.301077897,24.061430905909553
C06672,October,8441739.02138394,24.009108798006764
C06672,September,8708286.56794771,24.05395745311976
C08261,August,5456265.81363734,23.379482499367178
C08261,July_1,4817420.636697229,23.19982946874888
C08261,July_2,4597978.507842513,23.132568291861038
C08261,July_3,6226216.69863303,23.56992435888469
C08261,June,5236162.046115489,23.320078315100403
C08261,May,4242127.9022472175,23.016356688815012
C08261,October,4431843.649891992,23.079475555065027
C08261,September,6768646.618035113,23.690435966988886
C09315,August,66886895.92271429,26.99522025864943
C09315,July_1,94327147.38599743,27.491169703009078
C09315,July_2,81195486.72541764,27.27489620123011
C09315,July_3,122897127.8311734,27.872875958681384
C09315,June,63330301.63284716,26.916392614976935
C09315,May,76083891.27889574,27.18108769833328
C09315,October,65572611.02684201,26.966590006694013
C09315,September,67797065.55202566,27.0147194950192
C09780,August,17409537.179668497,25.05337451467486
C09780,July_1,13671847.142634762,24.704704836452652
C09780,July_2,14083245.052784909,24.747476461407672
C09780,July_3,12662787.22909347,24.594091658157122
C09780,June,10567151.54510523,24.33308320407614
C09780,May,11315941.26240152,24.431853257488
C09780,October,14333825.765654344,24.77292038731424
C09780,September,13598961.667760003,24.696993164660622
C09832,August,10946748.715027506,24.383999103972698
C09832,July_1,10114709.651804281,24.269951571362885
C09832,July_2,16365981.592624981,24.964196798604178
C09832,July_3,12745253.940593451,24.603456782584214
C09832,June,11468448.259282727,24.4511668646251
C09832,May,10372348.834607158,24.30623929590635
C09832,October,9853005.35747512,24.23213241094949
C09832,September,13515926.08562231,24.68815703019895
C10343,August,31946207.220444925,25.929141323112734
C10343,July_1,20919567.32342396,25.318349677038942
C10343,July_2,25664986.238787968,25.613298151207022
C10343,July_3,22646717.479259927,25.432798618695752
C10343,June,22233955.86504502,25.406261319690636
C10343,May,23721999.895450994,25.499722306373076
C10343,October,22758936.45192329,25.43992980483552
C10343,September,19244025.150878012,25.19790725426828
C10378,August,19849722.67269772,25.24261551533198
C10378,July_1,10204378.980851164,24.28268504957008
C10378,July_2,12339762.190529035,24.55681125563158
C10378,July_3,9229373.102940893,24.137801226730044
C10378,June,15710845.407043785,24.905257478945092
C10378,May,10315993.219979264,24.29837939426349
C10378,October,14349949.124113958,24.774542286233157
C10378,September,9547145.16692718,24.186637965378836
C10431,August,159533144.5372701,28.249280947928796
C10431,July_1,170652165.5872797,28.346483481547427
C10431,July_2,165790547.4493732,28.3047865129973
C10431,July_3,163878441.3568483,28.28805083566388
C10431,June,148808314.4184335,28.14887989599599
C10431,May,159000038.31433252,28.24445187225564
C10431,October,179840652.47057283,28.422143933947154
C10431,September,170492797.13319597,28.34513554961097
C10443,August,22712119.253457822,25.436958993497456
C10443,July_1,20841330.531665884,25.312944047881786
C10443,July_2,21042384.94364869,25.3267948931469
C10443,July_3,22286009.45645325,25.40963497426849
C10443,June,19381557.99440725,25.208181211252512
C10443,May,22839069.7721439,25.445000555610854
C10443,October,14407429.630825773,24.780309637501528
C10443,September,20987634.97054332,25.32303626731106
C10448,August,6013981.262236478,23.51988894223766
C10448,July_1,5893385.65419635,23.490665246372654
C10448,July_2,6834707.357021994,23.704448136327194
C10448,July_3,8538638.311293293,24.025574585518974
C10448,June,5404594.981460454,23.36575507625132
C10448,May,7173273.28154942,23.7742001637678
C10448,October,6557184.750916759,23.6446451131836
C10448,September,8727844.82546273,24.057194021177555
C10464,August,25818794.34722215,25.62191829731617
C10464,July_1,35074141.214623116,26.063904444305543
C10464,July_2,33249926.118579797,25.986847799156884
C10464,July_3,31289526.696862895,25.899176499931528
C10464,June,30295575.09504268,25.852603756437265
C10464,May,33300513.81855565,25.989041102101563
C10464,October,34417012.85715216,26.036618551735337
C10464,September,32786597.750420474,25.96660286593461
C10470,August,25590615.926705044,25.60911153545405
C10470,July_1,31026958.45255701,25.887018941790934
C10470,July_2,30394506.121532872,25.857307240923248
C10470,July_3,28571850.231484406,25.768091128324688
