Reaction,Pathways,n_reaction
RXN-9651,PWY66-430,24
RXN1G-368,PWY-6113,82
RXN1G-368,PWYG-321,51
RXN-9632,PWY-5156,40
RXN-9632,PWY-8280,5
RXN-9632,PWY-6113,82
RXN-9632,PWY-5989,5
RXN-9632,PWYG-321,51
RXN-9653,PWY66-430,24
RXN1G-445,PWY-6113,82
RXN1G-445,PWYG-321,51
RXN-9648,PWY66-430,24
RXN-9652,PWY66-430,24
RXN-9652,PWY-8595,5
RXN-9650,PWY66-430,24
AMINOBENZCOALIG-RXN,PWY-6661,2
AMINOBENZCOALIG-RXN,PWY-6077,2
AMINOBENZCOALIG-RXN,BENZCOA-PWY,12
AMINOBENZCOALIG-RXN,PWY-7405,1
AMINOBENZCOALIG-RXN,PWY-7407,1
AMINOBENZCOALIG-RXN,PWY-6662,3
AMINOBENZCOALIG-RXN,PWY-6660,2
AMINOBENZCOALIG-RXN,2AMINOBENZDEG-PWY,1
ISOCIT-CLEAV-RXN,GLYOXYLATE-BYPASS,4
ISOCIT-CLEAV-RXN,PWY-561,11
ISOCIT-CLEAV-RXN,TCA-GLYOX-BYPASS,9
ISOCIT-CLEAV-RXN,GLYCOLYSIS-TCA-GLYOX-BYPASS,21
GLUCOSE-1-PHOSPHAT-RXN,GLUCOSE1PMETAB-PWY,5
1.13.11.49-RXN,PWY-6530,1
1.13.11.49-RXN,PWY-6529,1
3.4.17.14-RXN,PWY-6470,11
ALPHAGALACTOSID-RXN,PWY0-1301,1
RXN-11502,PWY-6527,6
RXN-11501,PWY-6527,6
GALACTARDEHYDRA-RXN,GALACTARDEG-PWY,4
GALACTARDEHYDRA-RXN,PWY-6497,3
GALACTARDEHYDRA-RXN,GLUCARGALACTSUPER-PWY,5
GALACTARDEHYDRA-RXN,PWY-6516,22
HYDROXY-MANDELATE-RACEMASE-RXN,PWY-6954,33
HYDROXY-MANDELATE-RACEMASE-RXN,PWY-2504,31
HYDROXY-MANDELATE-RACEMASE-RXN,4-HYDROXYMANDELATE-DEGRADATION-PWY,3
MANDELATE-RACEMASE-RXN,PWY-1501,4
MANDELATE-RACEMASE-RXN,PWY-6954,33
MANDELATE-RACEMASE-RXN,PWY-2504,31
MANDELATE-RACEMASE-RXN,PWY-6957,17
RXN-9789,THISYN-PWY,9
RXN-9789,PWY-6891,4
RXN-9789,PWY-6895,8
RXN-9789,PWY-6892,5
RXN-8166,PWY-5283,5
RXN-8166,PWY-5327,22
RXN-8166,PWY66-425,3
RXN-8166,PWY-7861,1
PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN,PWY-7515,1
PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN,PWY-4281,1
RXN-18393,PWY-8008,2
RXN-18393,PWY-8381,2
RXN-18393,PWY-7706,2
RXN-18393,PWY-7694,2
BIOTINLIG-RXN,PWY0-1264,3
ACETYLHOMOSER-CYS-RXN,PWY-5345,12
ACETYLHOMOSER-CYS-RXN,PWY-5344,2
ACETYLHOMOSER-CYS-RXN,PWY-6293,5
ACETYLHOMOSER-CYS-RXN,PWY-821,9
ACETYLHOMOSER-CYS-RXN,HSERMETANA-PWY,4
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN,PWY-7174,2
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN,PWY-8132,2
SULFITE-REDUCTASE-FERREDOXIN-RXN,PWY1ZNC-1,4
SULFITE-REDUCTASE-FERREDOXIN-RXN,SULFMETII-PWY,3
RHAMNISOM-RXN,RHAMCAT-PWY,4
RHAMNISOM-RXN,FUC-RHAMCAT-PWY,10
RHAMNULOKIN-RXN,RHAMCAT-PWY,4
RHAMNULOKIN-RXN,FUC-RHAMCAT-PWY,10
GLUC1PADENYLTRANS-RXN,PWY-7902,4
GLUC1PADENYLTRANS-RXN,GLYCOGENSYNTH-PWY,4
GLUC1PADENYLTRANS-RXN,PWY-622,8
RXN-18305,PWY-7900,8
RXN-19378,PWY-6807,6
RXN-19379,PWY-6807,6
L-FUCONATE-HYDRATASE-RXN,PWY-8318,2
L-FUCONATE-HYDRATASE-RXN,PWY-8444,2
GLUTRACE-RXN,PWY-6385,10
GLUTRACE-RXN,PWY-5265,13
GLUTRACE-RXN,PEPTIDOGLYCANSYN-PWY,10
GLUTRACE-RXN,PWY-6470,11
GLUTRACE-RXN,PWY-6471,11
GLUTRACE-RXN,PWY-6387,8
GLUTRACE-RXN,PWY-6386,7
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,4AMINOBUTMETAB-PWY,3
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,ARGDEG-PWY,9
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,PWY-6473,2
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,PWY-7978,2
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,PWY-6535,2
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,GLUDEG-I-PWY,4
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,ORNARGDEG-PWY,10
RXN0-1147,PWY-5084,3
GUANYL-KIN-RXN,PRPP-PWY,42
GUANYL-KIN-RXN,DENOVOPURINE2-PWY,25
GUANYL-KIN-RXN,PWY-7228,6
GUANYL-KIN-RXN,PWY-6125,8
GUANYL-KIN-RXN,PWY-7221,4
GUANYL-KIN-RXN,PWY-841,21
GUANYL-KIN-RXN,PWY66-409,17
RXN-22498,PWY-8289,4
1.14.13.59-RXN,PWY185E-1,3
1.14.13.59-RXN,AEROBACTINSYN-PWY,2
R101-RXN,PWY-761,2
R101-RXN,PWY-7988,2
R101-RXN,P101-PWY,5
R101-RXN,PWY-7855,3
R101-RXN,PWY-6409,2
R101-RXN,PWY-6562,5
R101-RXN,PWY-6565,6
1.1.1.264-RXN,IDNCAT-PWY,3
1.1.1.264-RXN,KETOGLUCONMET-PWY,5
CATECHOL-12-DIOXYGENASE-RXN,CATECHOL-ORTHO-CLEAVAGE-PWY,4
CATECHOL-12-DIOXYGENASE-RXN,PWY-5431,9
CATECHOL-12-DIOXYGENASE-RXN,PWY-6182,7
CATECHOL-12-DIOXYGENASE-RXN,PWY-5417,6
CATECHOL-12-DIOXYGENASE-RXN,PWY-2504,31
CATECHOL-12-DIOXYGENASE-RXN,PWY-6957,17
QUINOPRIBOTRANS-RXN,PWY-8277,5
QUINOPRIBOTRANS-RXN,PWY-3502,11
QUINOPRIBOTRANS-RXN,PWY0-781,24
QUINOPRIBOTRANS-RXN,NADSYN-PWY,8
QUINOPRIBOTRANS-RXN,PYRIDNUCSYN-PWY,6
QUINOPRIBOTRANS-RXN,PWY-5316,3
QUINOPRIBOTRANS-RXN,PWY-5653,3
QUINOPRIBOTRANS-RXN,PWY-8352,5
QUINOPRIBOTRANS-RXN,PWY-7342,3
QUINOLINATE-SYNTHA-RXN,PWY-8277,5
QUINOLINATE-SYNTHA-RXN,PWY0-781,24
QUINOLINATE-SYNTHA-RXN,PYRIDNUCSYN-PWY,6
QUINOLINATE-SYNTHA-RXN,PWY-5316,3
QUINOLINATE-SYNTHA-RXN,PWY-8352,5
QUINOLINATE-SYNTHA-RXN,PWY-7342,3
RXN490-3616,PWY490-4,3
PYRIMSYN1-RXN,THISYN-PWY,9
PYRIMSYN1-RXN,PWY-6895,8
PYRIMSYN1-RXN,PWY-6890,2
PYRIMSYN1-RXN,THISYNARA-PWY,5
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN,TRIGLSYN-PWY,4
2.7.7.60-RXN,PWY-7156,14
2.7.7.60-RXN,PWY-5121,12
2.7.7.60-RXN,NONMEVIPP-PWY,9
2.7.7.60-RXN,PWY-6270,9
2.7.7.60-RXN,PWY-7560,9
2.7.7.60-RXN,PWY-7392,12
RXN0-302,PWY-7156,14
RXN0-302,PWY-5121,12
RXN0-302,NONMEVIPP-PWY,9
RXN0-302,PWY-6270,9
RXN0-302,PWY-7560,9
RXN0-302,PWY-7392,12
SPERMACTRAN-RXN,PWY-6117,5
RXN-0,PWY-0,3
RXN-9939,PWY-6117,5
RXN-18772,PWY-8212,4
RXN-18772,PWY-8250,6
RXN-18772,PWY-7905,6
RXN-18773,PWY-8212,4
RXN-18773,PWY-8250,6
RXN-18773,PWY-7905,6
RXN0-3521,PWY0-1338,5
RXN-10620,PWY-7371,4
RXN-10620,PWY-7992,6
RXN-10620,PWY-7373,5
RXN-10620,PWY-7374,5
RXN-10620,PWY-6263,7
RXN-11211,PWY-6430,2
DIHYDROPYRIMIDINASE-RXN,PWY-7209,4
DIHYDROPYRIMIDINASE-RXN,PWY-3982,2
RXN-23222,PWY2G6Z-2,6
UDPACYLGLCNACDEACETYL-RXN,NAGLIPASYN-PWY,6
UDPACYLGLCNACDEACETYL-RXN,LPSSYN-PWY,15
UDPACYLGLCNACDEACETYL-RXN,KDO-NAGLIPASYN-PWY,16
RXN-22242,PWY-8245,9
RXN-22247,PWYI-14,6
RXN-22247,PWY-8245,9
RXN-22481,PWY-8283,6
RXN-20788,PWY-8073,6
RXN2B4Q-49,PWY2B4Q-4,5
RXN-9655,PWY-8279,28
RXN-9655,PWY-5156,40
RXN-9655,PWY66-430,24
RXN-9655,PWY-6285,50
RXN-9655,PWY-6284,18
RXN-9655,PWY-5971,30
RXN-9655,PWY0-862,6
RXN-9655,PWY1A0-6120,21
RXN-25456,PWY-8595,5
RXN-9634,PWY-5156,40
RXN-9634,PWY-8280,5
RXN-9634,PWY-6113,82
RXN-9634,PWY-5989,5
RXN-9634,PWYG-321,51
RXN-21651,PWY-8174,30
RXN-21651,PWY-8525,20
RXN-9520,PWY-8279,28
RXN-9520,PWY-7388,12
RXN-9520,PWY-5156,40
RXN-9520,PWY66-430,24
RXN-9520,PWY-6285,50
RXN-9520,PWY-5971,30
RXN-9520,PWY1A0-6120,21
RXN-16631,PWY-7663,4
RXN-22025,PWY-8203,4
RXN-21632,PWY-8173,30
RXN-21671,PWY-8174,30
RXN-21666,PWY-8174,30
4.2.1.61-RXN,PWY-8279,28
4.2.1.61-RXN,PWY-5156,40
4.2.1.61-RXN,PWY-6113,82
4.2.1.61-RXN,PWY-6285,50
4.2.1.61-RXN,PWY-5971,30
4.2.1.61-RXN,PWYG-321,51
RXN-21677,PWY-8175,30
RXN-11481,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11481,PWY-6519,11
4.2.1.59-RXN,PWY-8279,28
4.2.1.59-RXN,PWY-7388,12
4.2.1.59-RXN,PWY-5156,40
4.2.1.59-RXN,PWY66-430,24
4.2.1.59-RXN,PWY-6285,50
4.2.1.59-RXN,PWY-5971,30
4.2.1.59-RXN,PWY1A0-6120,21
RXN-21619,PWY-8173,30
RXN-16627,PWY-7664,14
RXN-21656,PWY-8174,30
RXN-21656,PWY-8525,20
RXN0-2144,PWY-7858,6
RXN0-2144,PWY-6285,50
RXN0-2144,PWY-6284,18
RXN0-2144,PWY0-862,6
RXN-10656,PWY-6285,50
RXN-10656,PWY-6284,18
RXN-10656,PWY-6282,8
RXN-11477,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11477,PWY-6519,11
RXN-21687,PWY-8175,30
RXN1G-320,PWY-6113,82
RXN1G-320,PWYG-321,51
RXN-9533,PWY-8279,28
RXN-9533,PWY-5156,40
RXN-9533,PWY-7664,14
RXN-9533,PWY66-430,24
RXN-9533,PWY-6285,50
RXN-9533,PWY-5971,30
RXN-9533,PWY1A0-6120,21
RXN-10660,PWY-6285,50
RXN-10660,PWY-6284,18
RXN-10660,PWY-6282,8
RXN-21646,PWY-8174,30
RXN-21646,PWY-8525,20
RXN-21623,PWY-8173,30
RXN-16623,PWY-7664,14
RXN-21682,PWY-8175,30
RXN-21615,PWY-8173,30
RXN-21692,PWY-8175,30
4.2.1.58-RXN,PWY-8279,28
4.2.1.58-RXN,PWY-7388,12
4.2.1.58-RXN,PWY-5156,40
4.2.1.58-RXN,PWY66-430,24
4.2.1.58-RXN,PWY-6285,50
4.2.1.58-RXN,PWY-5971,30
4.2.1.58-RXN,PWY1A0-6120,21
RXN-21636,PWY-8173,30
RXN-23643,PWY-8427,2
RXN-21661,PWY-8174,30
RXN-21661,PWY-8525,20
RXN-21698,PWY-8175,30
RXN-16619,PWY-7664,14
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN,FASYN-ELONG-PWY,5
RXN-21627,PWY-8173,30
RXN-21703,PWY-8175,30
RXN-9557,PWY-6285,50
RXN-9557,PWY-6284,18
RXN-9557,PWY-5973,4
RXN-9537,PWY-8279,28
RXN-9537,PWY-5156,40
RXN-9537,PWY66-430,24
RXN-9537,PWY-6113,82
RXN-9537,PWY-6285,50
RXN-9537,PWY-5971,30
RXN-9537,PWYG-321,51
R307-RXN,PWY-7773,4
RXN-8665,PWY-7765,4
RXN-8665,PWY-3502,11
RXN-8665,PWY-7717,3
RXN-8665,PWY-5651,5
RXN-8665,NADSYN-PWY,8
RXN-8665,TRPCAT-PWY,3
RXN-8665,PWY-6954,33
RXN-8665,PWY-6505,12
RXN-8665,PWY-6309,10
RXN-8665,PWY-2504,31
RXN-8665,PWY-5655,12
RXN-8665,TRYPTOPHAN-DEGRADATION-1,10
DEOXYGLUCONOKIN-RXN,GALACT-GLUCUROCAT-PWY,9
DEOXYGLUCONOKIN-RXN,PWY-7242,4
DEOXYGLUCONOKIN-RXN,PWY-6507,4
DEOXYGLUCONOKIN-RXN,GALACTUROCAT-PWY,5
DEOXYGLUCONOKIN-RXN,PWY-7562,4
DEOXYGLUCONOKIN-RXN,PWY-2221,9
DEOXYGLUCONOKIN-RXN,PWY-6516,22
DEOXYGLUCONOKIN-RXN,GLUCUROCAT-PWY,6
DEOXYGLUCONOKIN-RXN,PWY-6986,4
5.1.1.17-RXN,PWY-5634,3
5.1.1.17-RXN,PWY-5631,1
OHMETPYRKIN-RXN,PWY-6910,2
OHMETPYRKIN-RXN,PWY-7356,7
OHMETPYRKIN-RXN,PWY-7357,6
OHMETPYRKIN-RXN,PWY-6897,5
PYRIMSYN3-RXN,THISYN-PWY,9
PYRIMSYN3-RXN,PWY-7282,5
PYRIMSYN3-RXN,PWY-6895,8
PYRIMSYN3-RXN,PWY-6910,2
PYRIMSYN3-RXN,PWY-7356,7
PYRIMSYN3-RXN,PWY-6890,2
PYRIMSYN3-RXN,THISYNARA-PWY,5
PYRIMSYN3-RXN,PWY-7357,6
PYRIMSYN3-RXN,PWY-6897,5
2.3.1.157-RXN,OANTIGEN-PWY,10
2.3.1.157-RXN,UDPNAGSYN-PWY,5
2.3.1.157-RXN,PWY-7332,14
2.3.1.157-RXN,PWY0-1261,12
2.3.1.157-RXN,PWY-6404,24
NAG1P-URIDYLTRANS-RXN,OANTIGEN-PWY,10
NAG1P-URIDYLTRANS-RXN,UDPNAGSYN-PWY,5
NAG1P-URIDYLTRANS-RXN,PWY-7332,14
NAG1P-URIDYLTRANS-RXN,PWY-6981,7
NAG1P-URIDYLTRANS-RXN,PWY0-1261,12
NAG1P-URIDYLTRANS-RXN,UDPNACETYLGALSYN-PWY,5
NAG1P-URIDYLTRANS-RXN,PWY-6404,24
NAG1P-URIDYLTRANS-RXN,PWY-5514,6
2.7.7.33-RXN,PWY-8139,3
2.7.7.33-RXN,PWY-5833,3
2.7.7.33-RXN,PWY-5823,4
2.7.7.33-RXN,PWY-5940,5
RXN1G-2544,PWY-6113,82
RXN1G-2544,PWYG-321,51
RXN1G-3641,PWY-6113,82
RXN1G-3641,PWYG-321,51
RXN1G-45,PWY-6113,82
RXN1G-45,PWYG-321,51
RXN-7421,PWY-4942,1
2.1.1.79-RXN,PWY0-541,1
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN,P124-PWY,15
PHOSPHOKETOLASE-RXN,P124-PWY,15
PHOSPHOKETOLASE-RXN,P122-PWY,17
RXN-12104,PWY-8106,3
RXN-12104,PWY-6700,4
RXN-14206,PWY-8099,2
RXN-13908,PWY-7158,3
RXN-8987,PWY-5749,3
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,PWY66-367,5
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,PWY-5074,2
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,LEU-DEG2-PWY,5
5-OXOPROLINASE-ATP-HYDROLYSING-RXN,PWY-4041,5
5-OXOPROLINASE-ATP-HYDROLYSING-RXN,PWY-7942,3
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,PWY66-368,3
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,PWY66-367,5
5.1.3.23-RXN,PWY-7090,5
5.1.3.23-RXN,PWY-7332,14
RXN-13589,PWY-7090,5
RXN-13589,PWY-7332,14
RXN-13596,PWY-7090,5
RXN-13596,PWY-7332,14
RXN-13069,P181-PWY,11
1.13.11.6-RXN,PWY-3502,11
1.13.11.6-RXN,PWY-5651,5
1.13.11.6-RXN,NADSYN-PWY,8
1.13.11.6-RXN,PWY-5647,5
1.13.11.6-RXN,PWY-6505,12
1.13.11.6-RXN,PWY-6309,10
1.13.11.6-RXN,PWY-5655,12
1.13.11.6-RXN,TRYPTOPHAN-DEGRADATION-1,10
L-LACTATE-DEHYDROGENASE-RXN,ANAEROFRUCAT-PWY,12
L-LACTATE-DEHYDROGENASE-RXN,P461-PWY,19
L-LACTATE-DEHYDROGENASE-RXN,PWY-8086,10
L-LACTATE-DEHYDROGENASE-RXN,P41-PWY,3
L-LACTATE-DEHYDROGENASE-RXN,PWY-7345,18
L-LACTATE-DEHYDROGENASE-RXN,PWY-6901,17
L-LACTATE-DEHYDROGENASE-RXN,PWY2DDB-10,4
L-LACTATE-DEHYDROGENASE-RXN,P124-PWY,15
L-LACTATE-DEHYDROGENASE-RXN,P122-PWY,17
L-LACTATE-DEHYDROGENASE-RXN,PWY-5481,1
L-LACTATE-DEHYDROGENASE-RXN,PWY-5100,4
RXN-7572,PWY-5031,1
2.4.1.230-RXN,PWY-7459,2
PROPKIN-RXN,THREOCAT-PWY,14
PROPKIN-RXN,PWY-5437,3
PROPKIN-RXN,PWY-7013,3
ACETATEKIN-RXN,PWY0-1477,5
ACETATEKIN-RXN,PWY-6604,12
ACETATEKIN-RXN,PWY0-1312,2
ACETATEKIN-RXN,P3-PWY,4
ACETATEKIN-RXN,PWY-5600,3
ACETATEKIN-RXN,P461-PWY,19
ACETATEKIN-RXN,PWY-5485,3
ACETATEKIN-RXN,PWY-8086,10
ACETATEKIN-RXN,P163-PWY,9
ACETATEKIN-RXN,P164-PWY,7
ACETATEKIN-RXN,P41-PWY,3
ACETATEKIN-RXN,METH-ACETATE-PWY,3
ACETATEKIN-RXN,PWY-8480,6
ACETATEKIN-RXN,P161-PWY,4
ACETATEKIN-RXN,PWY2DDB-10,4
ACETATEKIN-RXN,P124-PWY,15
ACETATEKIN-RXN,PWY-8303,7
ACETATEKIN-RXN,ACETATEUTIL-PWY,3
ACETATEKIN-RXN,PWY-6590,6
ACETATEKIN-RXN,PWY-8015,2
ACETATEKIN-RXN,P142-PWY,3
ACETATEKIN-RXN,PWY-5327,22
ACETATEKIN-RXN,PWY-5482,2
ACETATEKIN-RXN,FERMENTATION-PWY,13
ACETATEKIN-RXN,PWY-5676,6
ACETATEKIN-RXN,PWY4LZ-257,8
ACETATEKIN-RXN,PWY-5100,4
ACETATEKIN-RXN,PWY-6830,9
ACETATEKIN-RXN,PWY-8377,4
ACETATEKIN-RXN,PWY-5497,15
ACETATEKIN-RXN,P441-PWY,21
ACETATEKIN-RXN,PROPFERM-PWY,7
GLUTDEHYD-RXN,PWY-5505,6
GLUTDEHYD-RXN,GLUTSYNIII-PWY,1
RXN0-4341,PWY0-1241,5
RXN0-4342,PWY0-1241,5
RXN-22455,PWY-8280,5
R83-RXN,PWY-7270,10
R83-RXN,PWY-7527,10
R83-RXN,PWY-7528,11
R83-RXN,PWY-4361,6
R145-RXN,PWY-7270,10
R145-RXN,PWY-7527,10
R145-RXN,PWY-7528,11
R145-RXN,PWY-4361,6
RXN-17703,PWY-6662,3
RXN-17703,PWY-6660,2
METHYLGLUTACONYL-COA-HYDRATASE-RXN,PWY-7571,3
METHYLGLUTACONYL-COA-HYDRATASE-RXN,LEU-DEG2-PWY,5
ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN,PWY-6672,3
SULFITE-DEHYDROGENASE-RXN,PWY-5294,2
SULFITE-DEHYDROGENASE-RXN,PWY-5335,2
SULFITE-DEHYDROGENASE-RXN,PWY-5304,3
SULFITE-DEHYDROGENASE-RXN,PWY-5276,1
SULFITE-DEHYDROGENASE-RXN,PWY-5308,3
3.5.2.17-RXN,PWY-7394,3
3.5.2.17-RXN,URSIN-PWY,7
3.5.2.17-RXN,P165-PWY,15
3.5.2.17-RXN,PWY-7849,2
3.5.2.17-RXN,PWY-5691,3
GALLATE-DIOXYGENASE-RXN,GALLATE-DEGRADATION-II-PWY,4
GALLATE-DIOXYGENASE-RXN,PWY-6339,6
RXN-10425,PWY-6216,1
RXN-10425,PWY-6217,1
PROTOCATECHUATE-45-DIOXYGENASE-RXN,PWY-6338,8
PROTOCATECHUATE-45-DIOXYGENASE-RXN,P184-PWY,6
RXN-8344,PWY-8171,2
RXN-8344,PWY-8167,1
RXN-11407,PWY-8390,1
RXN-11407,PWY-6501,4
RXN-11407,PWY-6516,22
URONATE-DEHYDROGENASE-RXN,PWY-8391,1
URONATE-DEHYDROGENASE-RXN,PWY-6486,4
URONATE-DEHYDROGENASE-RXN,PWY-6516,22
5.4.2.10-RXN,OANTIGEN-PWY,10
5.4.2.10-RXN,UDPNAGSYN-PWY,5
5.4.2.10-RXN,PWY-7332,14
5.4.2.10-RXN,PWY0-1261,12
5.4.2.10-RXN,PWY-6404,24
5.4.2.10-RXN,PWY-6749,4
RXN-646,PWY-8085,4
RXN-646,PWY-722,6
RXN-646,PWY-6993,6
RXN-646,PWY-5062,13
RXN-646,PWY-5033,2
RXN-646,PWY-7128,6
RXN-8850,PWY-6545,9
RXN-10063,PWY-7853,3
RXN-10063,PWY-6797,3
RXN-22283,PWY-8250,6
RXN-14705,PWY-7905,6
RXN-14706,PWY-7905,6
RXN-22282,PWY-8250,6
4.1.1.81-RXN,THREOCAT-PWY,14
4.1.1.81-RXN,P381-PWY,26
4.1.1.81-RXN,PWY-5507,25
4.1.1.81-RXN,PWY-5443,2
RXN-8890,PWY-5022,5
RXN-8890,PWY-5789,10
RXN-8890,PWY-5677,4
RXN-8890,PWY-7854,10
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,ARGININE-SYN4-PWY,3
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,ARG-PRO-PWY,3
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,PWY-5004,9
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,CITRULBIO-PWY,7
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,ARGASEDEG-PWY,3
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,PWY-3341,2
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,PWY-6922,5
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,PWY-8187,4
RXN-9238,PWY-6978,3
RXN-9238,PWY-5856,5
RXN-15309,PWY-8535,5
RXN-9223,PWY-5855,5
RXN-9231,PWY-5857,5
RXN-9231,PWY-8571,5
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,ALL-CHORISMATE-PWY,48
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,UBISYN-PWY,9
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,PWY-6708,5
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,PWY-8533,5
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN,PWY-5807,1
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN,PWY-5840,10
TRANS-PENTAPRENYLTRANSFERASE-RXN,PWY-7373,5
TRANS-PENTAPRENYLTRANSFERASE-RXN,PWY-5850,10
TRANS-PENTAPRENYLTRANSFERASE-RXN,HEXPPSYN-PWY,1
TRANS-PENTAPRENYLTRANSFERASE-RXN,PWY-5860,9
RXN-16937,PWY0-1597,1
ITACONYL-COA-HYDRATASE-RXN,PWY-5749,3
4.3.1.4-RXN,PWY-5030,6
4.3.1.4-RXN,P164-PWY,7
4.3.1.4-RXN,PWY-5497,15
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN,PWY-5529,15
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN,PWY-5531,5
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN,CHLOROPHYLL-SYN,6
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN,PWY-7159,6
INOPHOSPHOR-RXN,PWY-6353,11
INOPHOSPHOR-RXN,PWY-6609,4
INOPHOSPHOR-RXN,PWY66-409,17
INOPHOSPHOR-RXN,PWY0-1296,6
INOPHOSPHOR-RXN,SALVADEHYPOX-PWY,5
RXN-11715,PWY-6627,3
XANTHOSINEPHOSPHORY-RXN,SALVPURINE2-PWY,2
XANTHOSINEPHOSPHORY-RXN,PWY-5695,4
XANTHOSINEPHOSPHORY-RXN,URSIN-PWY,7
XANTHOSINEPHOSPHORY-RXN,PWY-6353,11
XANTHOSINEPHOSPHORY-RXN,PWY0-1296,6
DEOXYGUANPHOSPHOR-RXN,PWY-7179-1,3
DEOXYGUANPHOSPHOR-RXN,PWY0-1297,7
DEOXYGUANPHOSPHOR-RXN,PWY-7179,4
RXN-11743,PWY-6644,3
DEOXYINOPHOSPHOR-RXN,PWY-7179-1,3
DEOXYINOPHOSPHOR-RXN,PWY0-1297,7
DEOXYINOPHOSPHOR-RXN,PWY-7179,4
ADENPHOSPHOR-RXN,PWY-5532,5
ADENPHOSPHOR-RXN,PWY-6609,4
ADENPHOSPHOR-RXN,PWY66-409,17
ADENPHOSPHOR-RXN,PWY-6611,3
ADENPHOSPHOR-RXN,PWY0-1296,6
ADENPHOSPHOR-RXN,P121-PWY,2
RXN-7001,PWY-4202,1
DEOXYADENPHOSPHOR-RXN,PWY0-1297,7
DEOXYADENPHOSPHOR-RXN,PWY-7179,4
RXN0-5199,PWY-8440,3
RXN0-5199,PWY-6608,4
RXN0-5199,PWY-6353,11
RXN0-5199,PWY-5532,5
RXN0-5199,PWY-6620,2
RXN0-5199,PWY66-409,17
RXN0-5199,PWY-6579,3
RXN0-5199,PWY0-1296,6
PHENDEHYD-RXN,PWY-8162,1
PHENDEHYD-RXN,2PHENDEG-PWY,2
PHENDEHYD-RXN,PWY-6941,1
PHENDEHYD-RXN,BENZCOA-PWY,12
PHENDEHYD-RXN,PWY-6318,6
PHENDEHYD-RXN,PWY-6534,1
PHENDEHYD-RXN,PWY-6071,11
PHENDEHYD-RXN,ANAPHENOXI-PWY,2
13-PROPANEDIOL-DEHYDROGENASE-RXN,GOLPDLCAT-PWY,4
13-PROPANEDIOL-DEHYDROGENASE-RXN,PWY-6130,2
2.1.1.5-RXN,PWY-3661-1,4
2.1.1.5-RXN,PWY-3661,4
2.1.1.5-RXN,PWY-5328,11
2.1.1.5-RXN,ADENOSYLHOMOCYSCAT-PWY,3
RXN0-5228,PWY0-1546,2
1PFRUCTPHOSN-RXN,PWY0-1314,1
OROTPDECARB-RXN,PWY-7211,18
OROTPDECARB-RXN,PRPP-PWY,42
OROTPDECARB-RXN,PWY-7791,6
OROTPDECARB-RXN,PWY-7790,6
OROTPDECARB-RXN,PWY-5686,6
OROTPDECARB-RXN,PWY0-162,9
RXN-16868,PWY-7993,1
RXN-15130,PWY-6293,5
RXN-15130,PWY-801,3
RXN-15130,PWY-821,9
RXN-15130,PWY-5328,11
RXN-15130,PWY-6292,3
RXN-15130,HOMOCYSDEGR-PWY,2
RXN-15130,PWY-I9,5
