Reaction,Pathways,n_reaction
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-2504,31
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN,4-HYDROXYMANDELATE-DEGRADATION-PWY,3
RXN-12717,PWY-6937,15
RXN-12717,PWY-6944,13
RXN-12717,PWY-6928,19
RXN-12717,PWY-6947,21
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN,PWY-8377,4
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN,PWY-5458,3
ARGININE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
GLUCOKIN-RXN,PWY-5661,2
GLUCOKIN-RXN,ANAGLYCOLYSIS-PWY,11
GLUCOKIN-RXN,PWY0-1182,2
GLUCOKIN-RXN,PWY-2723,2
GLUCOKIN-RXN,TREDEGLOW-PWY,2
GLUCOKIN-RXN,ANAEROFRUCAT-PWY,12
GLUCOKIN-RXN,PWY-5941,5
GLUCOKIN-RXN,PWY-7385,5
GLUCOKIN-RXN,GLYCOCAT-PWY,8
GLUCOKIN-RXN,PWY-7238,7
GLUCOKIN-RXN,GLUCOSE1PMETAB-PWY,5
GLUCOKIN-RXN,PWY-621,4
GLUCOKIN-RXN,PWY-2722,3
GLUCOKIN-RXN,P124-PWY,15
GLUCOKIN-RXN,P122-PWY,17
GLUCOKIN-RXN,PWY-6981,7
GLUCOKIN-RXN,UDPNACETYLGALSYN-PWY,5
GLUCOKIN-RXN,PWY-5514,6
RXN0-5114,SERSYN-PWY,3
RXN0-5114,SULFATE-CYS-PWY,9
RXN0-5114,SER-GLYSYN-PWY,4
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN,PWY-8011,4
RXN-8748,PWY-5491,1
RXN-14181,PWY-8077,1
RXN-14181,PWY-7204,9
GPH-RXN,PWY-8363,5
GPH-RXN,PWY-181,6
GPH-RXN,PWY-8362,6
HISTIDPHOS-RXN,PRPP-PWY,42
HISTIDPHOS-RXN,HISTSYN-PWY,7
RXN-5647,PWY-3385,4
RXN-5647,PWY-4762,6
RXN-5822,NAD-BIOSYNTHESIS-II,3
RXN-5822,NADPHOS-DEPHOS-PWY,2
RXN-5822,PWY-5083,3
GLYCINE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
NICOTINATEPRIBOSYLTRANS-RXN,PWY-3502,11
NICOTINATEPRIBOSYLTRANS-RXN,PYRIDNUCSAL-PWY,6
NICOTINATEPRIBOSYLTRANS-RXN,PWY3O-4107,4
NICOTINATEPRIBOSYLTRANS-RXN,PWY-5381,7
NICOTINATEPRIBOSYLTRANS-RXN,PWY-8511,5
RXN-16391,PWY-5741,11
RXN-16391,PWY-7854,10
METHYLMALONYL-COA-EPIM-RXN,PWY-5130,3
METHYLMALONYL-COA-EPIM-RXN,PWY-5088,8
METHYLMALONYL-COA-EPIM-RXN,PWY-7384,8
METHYLMALONYL-COA-EPIM-RXN,PWY-8086,10
METHYLMALONYL-COA-EPIM-RXN,PWY-5328,11
METHYLMALONYL-COA-EPIM-RXN,PWY-5789,10
METHYLMALONYL-COA-EPIM-RXN,PROPIONMET-PWY,3
METHYLMALONYL-COA-EPIM-RXN,PWY-6728,16
METHYLMALONYL-COA-EPIM-RXN,PWY-5743,9
METHYLMALONYL-COA-EPIM-RXN,PWY-7024,14
METHYLMALONYL-COA-EPIM-RXN,P108-PWY,6
METHYLMALONYL-COA-EPIM-RXN,PWY-7389,15
RIBOKIN-RXN,RIBOKIN-PWY,2
UNDECAPRENYL-DIPHOSPHATASE-RXN,POLYISOPRENSYN-PWY,5
UNDECAPRENYL-DIPHOSPHATASE-RXN,PWY-5785,2
ACETOOHBUTSYN-RXN,PWY-5101,4
ACETOOHBUTSYN-RXN,THREOCAT-PWY,14
ACETOOHBUTSYN-RXN,BRANCHED-CHAIN-AA-SYN-PWY,11
ACETOOHBUTSYN-RXN,PWY-5103,5
ACETOOHBUTSYN-RXN,ILEUSYN-PWY,5
ACETOOHBUTSYN-RXN,PWY-3001,11
ACETOOHBUTSYN-RXN,PWY-5104,4
ACETOLACTSYN-RXN,BRANCHED-CHAIN-AA-SYN-PWY,11
ACETOLACTSYN-RXN,PWY-5939,2
ACETOLACTSYN-RXN,P125-PWY,4
ACETOLACTSYN-RXN,PWY-6389,2
ACETOLACTSYN-RXN,PWY-7111,4
ACETOLACTSYN-RXN,PWY-5938,2
ACETOLACTSYN-RXN,PWY-6396,6
ACETOLACTSYN-RXN,VALSYN-PWY,4
FUMHYDR-RXN,PWY-5088,8
FUMHYDR-RXN,PWY-5913,6
FUMHYDR-RXN,P23-PWY,9
FUMHYDR-RXN,PWY-6146,46
FUMHYDR-RXN,PWY-7384,8
FUMHYDR-RXN,PWY-8086,10
FUMHYDR-RXN,TCA,7
FUMHYDR-RXN,PWY-6728,16
FUMHYDR-RXN,P105-PWY,7
FUMHYDR-RXN,PWY-8560,5
FUMHYDR-RXN,PWY-561,11
FUMHYDR-RXN,TCA-GLYOX-BYPASS,9
FUMHYDR-RXN,REDCITCYC,7
FUMHYDR-RXN,PWY-5392,8
FUMHYDR-RXN,FERMENTATION-PWY,13
FUMHYDR-RXN,GLYCOLYSIS-TCA-GLYOX-BYPASS,21
FUMHYDR-RXN,PWY-6969,7
FUMHYDR-RXN,P108-PWY,6
FUMHYDR-RXN,P42-PWY,7
FUMHYDR-RXN,PWY-7389,15
FUMHYDR-RXN,PWY-5690,6
FUMHYDR-RXN,PWY-7254,7
FUMHYDR-RXN,PWY66-398,6
FUMHYDR-RXN,PWY-5464,16
HISTIDINE-AMMONIA-LYASE-RXN,HISDEG-PWY,4
HISTIDINE-AMMONIA-LYASE-RXN,PWY-5030,6
HISTIDINE-AMMONIA-LYASE-RXN,HISHP-PWY,3
HISTIDINE-AMMONIA-LYASE-RXN,PWY-5028,5
UROCANATE-HYDRATASE-RXN,HISDEG-PWY,4
UROCANATE-HYDRATASE-RXN,PWY-5030,6
UROCANATE-HYDRATASE-RXN,HISHP-PWY,3
UROCANATE-HYDRATASE-RXN,PWY-5028,5
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN,MGLDLCTANA-PWY,2
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN,PWY-5386-1,3
RXN-969,PWY-181,6
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN,VALDEG-PWY,5
GALACTONDEHYDRAT-RXN,GALACTCAT-PWY,3
RXN-2882,PWY-1882,10
RXN-2882,PWY-1723,2
6-METHYLSALICYLATE-DECARBOXYLASE-RXN,PWY-7490,2
ISOLEUCINE--TRNA-LIGASE-RXN,PWY-8523,1
ISOLEUCINE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
RXN1G-1438,PWY-6113,82
RXN1G-1438,PWYG-321,51
RXN1G-1437,PWY-6113,82
