x,y,name,node_type,xend,yend,May,July_1,July_2,July_3,August,October,May_22,KEGG_name,pathway,path_name,,type
6,3,R00143,Reaction present,7,4,138.1635219,186.4945956,199.4279118,188.240965,191.7645468,91.56822465,130.3322555,NA,map00910,Nitrogen metabolism,,edge
6,3,R00143,Reaction present,5,3,138.1635219,186.4945956,199.4279118,188.240965,191.7645468,91.56822465,130.3322555,NA,map00910,Nitrogen metabolism,,edge
6,6,R02804,Reaction present,7,6,162.9501901,244.1786149,197.4078421,195.3819992,220.865181,101.953764,120.2740022,NA,map00910,Nitrogen metabolism,,edge
6,6,R02804,Reaction present,5,6,162.9501901,244.1786149,197.4078421,195.3819992,220.865181,101.953764,120.2740022,NA,map00910,Nitrogen metabolism,,edge
6,3.333,R00148,Reaction present,7,4,1564.536866,881.520089,1370.036413,1065.722928,977.966329,1105.012167,1143.863221,NA,map00910,Nitrogen metabolism,,edge
6,3.333,R00148,Reaction present,5,3,1564.536866,881.520089,1370.036413,1065.722928,977.966329,1105.012167,1143.863221,NA,map00910,Nitrogen metabolism,,edge
6,4.5,R09799,Reaction present,7,4,5.119785883,9.358799122,8.264220203,6.294548497,6.389916419,6.226448377,6.78890569,NA,map00910,Nitrogen metabolism,,edge
6,4.5,R09799,Reaction present,3,6,5.119785883,9.358799122,8.264220203,6.294548497,6.389916419,6.226448377,6.78890569,NA,map00910,Nitrogen metabolism,,edge
6,4.5,R09799,Reaction present,6,5,5.119785883,9.358799122,8.264220203,6.294548497,6.389916419,6.226448377,6.78890569,NA,map00910,Nitrogen metabolism,,edge
7.333,5,R05186,Reaction absent,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
7.333,5,R05186,Reaction absent,7,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
7,5,R05185,Reaction present,7,4,5.429688682,5.939415241,5.457198842,5.56626837,4.947452408,5.505349084,5.562760609,NA,map00910,Nitrogen metabolism,,edge
7,5,R05185,Reaction present,7,6,5.429688682,5.939415241,5.457198842,5.56626837,4.947452408,5.505349084,5.562760609,NA,map00910,Nitrogen metabolism,,edge
6.667,5,R12084,Reaction absent,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
6.667,5,R12084,Reaction absent,7,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
6,5.5,R07174,Reaction absent,7,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
6,5.5,R07174,Reaction absent,6,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
8,3.667,R00248,Reaction present,7,4,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
8,3.667,R00248,Reaction present,9,3,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
8,4,R00253,Reaction present,7,4,733.8756362,1811.85343,1851.32185,1794.250985,1917.662407,971.6539599,941.5075739,NA,map00910,Nitrogen metabolism,,edge
8,4,R00253,Reaction present,9,4,733.8756362,1811.85343,1851.32185,1794.250985,1917.662407,971.6539599,941.5075739,NA,map00910,Nitrogen metabolism,,edge
8,4,R00253,Reaction present,9,3,733.8756362,1811.85343,1851.32185,1794.250985,1917.662407,971.6539599,941.5075739,NA,map00910,Nitrogen metabolism,,edge
8,3.333,R00243,Reaction present,7,4,143.170152,107.5162552,114.2869056,108.9637118,105.1188926,101.1163017,131.0488023,NA,map00910,Nitrogen metabolism,,edge
8,3.333,R00243,Reaction present,9,3,143.170152,107.5162552,114.2869056,108.9637118,105.1188926,101.1163017,131.0488023,NA,map00910,Nitrogen metabolism,,edge
9.333,3.5,R00093,Reaction absent,9,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
9.333,3.5,R00093,Reaction absent,9,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
9,3.5,R00021,Reaction absent,9,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
9,3.5,R00021,Reaction absent,9,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
7,3,R00540,Reaction present,7,4,10.07466814,15.64228434,14.51145057,14.11926909,14.8196749,5.647197886,14.11686815,NA,map00910,Nitrogen metabolism,,edge
7,3,R00540,Reaction present,7,2,10.07466814,15.64228434,14.51145057,14.11926909,14.8196749,5.647197886,14.11686815,NA,map00910,Nitrogen metabolism,,edge
8.667,3.5,R00114,Reaction present,9,3,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
8.667,3.5,R00114,Reaction present,9,4,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
8,5,R00524,Reaction present,7,4,164.9402575,162.3507733,297.0486048,325.2437084,343.8210159,123.3453794,111.7253774,NA,map00910,Nitrogen metabolism,,edge
8,5,R00524,Reaction present,9,5,164.9402575,162.3507733,297.0486048,325.2437084,343.8210159,123.3453794,111.7253774,NA,map00910,Nitrogen metabolism,,edge
8,5,R00524,Reaction present,8,5.5,164.9402575,162.3507733,297.0486048,325.2437084,343.8210159,123.3453794,111.7253774,NA,map00910,Nitrogen metabolism,,edge
NA,NA,R00149,Reaction absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
NA,NA,R00149,Reaction absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
7.5,4,R07316,Reaction absent,8,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
7.5,4,R07316,Reaction absent,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
7.5,4,R07316,Reaction absent,8,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
NA,NA,R01395,Reaction absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
8.5,4.5,R03546,Reaction present,8,5,1.161659737,0.92481568,1.257531231,0.579134444,0.137338929,0.637452634,1.23732708,NA,map00910,Nitrogen metabolism,,edge
8.5,4.5,R03546,Reaction present,9,5,1.161659737,0.92481568,1.257531231,0.579134444,0.137338929,0.637452634,1.23732708,NA,map00910,Nitrogen metabolism,,edge
8.5,4.5,R03546,Reaction present,9,4,1.161659737,0.92481568,1.257531231,0.579134444,0.137338929,0.637452634,1.23732708,NA,map00910,Nitrogen metabolism,,edge
8.5,4.5,R03546,Reaction present,8,4,1.161659737,0.92481568,1.257531231,0.579134444,0.137338929,0.637452634,1.23732708,NA,map00910,Nitrogen metabolism,,edge
8.5,5,R10092,Reaction present,8,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
8.5,5,R10092,Reaction present,9,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
NA,NA,R00149,Reaction absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8.5,4.5,R03546,Reaction present,8.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
7.5,4,R07316,Reaction absent,7.5,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8.5,5,R10092,Reaction present,8.5,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
6,3,R00143,Reaction present,6,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
6,3.333,R00148,Reaction present,6,3.333,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8,3.333,R00243,Reaction present,8,3.333,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8,3.667,R00248,Reaction present,8,3.667,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8,4,R00253,Reaction present,8,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8,5,R00524,Reaction present,8,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
7,3,R00540,Reaction present,7,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
5,4.167,R00787,Reaction present,5,4.167,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
5,4.5,R00789,Reaction present,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
5,3.5,R00790,Reaction present,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
7,5,R05185,Reaction present,7,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
7.333,5,R05186,Reaction absent,7.333,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
5,3.833,R05712,Reaction present,5,3.833,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
6,4.5,R09799,Reaction present,6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
5,4.833,R09809,Reaction absent,5,4.833,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
6.667,5,R12084,Reaction absent,6.667,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
9,3.5,R00021,Reaction absent,9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
9.333,3.5,R00093,Reaction absent,9.333,3.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
8.667,3.5,R00114,Reaction present,8.667,3.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
3,3,R00025,Reaction present,3,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
3.167,5,R00783,Reaction present,3.167,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2.833,5,R00785,Reaction present,2.833,5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2,3.5,R00791,Reaction present,2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2,4.167,R00794,Reaction present,2,4.167,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2,4.833,R00796,Reaction present,2,4.833,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2,3.167,R00798,Reaction present,2,3.167,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2,4.5,R03071,Reaction present,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2,3.833,R09497,Reaction present,2,3.833,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,3.333,R10164,Reaction present,4,3.333,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,3,R10230,Reaction absent,4,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
3.333,3,R10388,Reaction present,3.333,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
2.667,3,R10389,Reaction present,2.667,3,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,6,R00294,Reaction absent,4,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,6.333,R02492,Reaction absent,4,6.333,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,5.667,R09446,Reaction absent,4,5.667,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,5.333,R09808,Reaction absent,4,5.333,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
4,6.667,R09996,Reaction absent,4,6.667,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
6,6,R02804,Reaction present,6,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
6,5.5,R07174,Reaction absent,6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
NA,NA,R01395,Reaction absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
1,4,C00244,Undetected metabolite,1,4,NA,NA,NA,NA,NA,NA,NA,NO3-,map00910,Nitrogen metabolism,,node
3,6,C00533,Undetected metabolite,3,6,NA,NA,NA,NA,NA,NA,NA,NO,map00910,Nitrogen metabolism,,node
7,2,C00726,Undetected metabolite,7,2,NA,NA,NA,NA,NA,NA,NA,Nitrile,map00910,Nitrogen metabolism,,node
3,4,C00088,Undetected metabolite,3,4,NA,NA,NA,NA,NA,NA,NA,NO2-,map00910,Nitrogen metabolism,,node
3,2,C06058,Undetected metabolite,3,2,NA,NA,NA,NA,NA,NA,NA,R-NO2,map00910,Nitrogen metabolism,,node
7,6,C00697,Undetected metabolite,7,6,NA,NA,NA,NA,NA,NA,NA,N2,map00910,Nitrogen metabolism,,node
5,6,C00887,Undetected metabolite,5,6,NA,NA,NA,NA,NA,NA,NA,N2O,map00910,Nitrogen metabolism,,node
