FeatureID,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component,Name,Formula,Annotation_level,use_Sirius_class
FT_20.230_349.19862,-0.7261752195591596,0.36308760977957943,FALSE,TRUE,FALSE,wet,#F68B33,0.03737750235313662,comp1,"3b-Hydroxy-6b-tigloyloxy-7(11)-eremophilen-12,8b-olide",C20H28O5,L2.3,no
FT_10.754_121.10111,-0.712552041926331,0.3562760209631598,FALSE,TRUE,FALSE,wet,#F68B33,0.03707412542853096,comp1,Cumene,C9H12,L2.2,no
FT_8.550_224.16450,-0.7463859733410461,0.37319298667052375,FALSE,TRUE,FALSE,wet,#F68B33,0.036879469375899664,comp1,no name,C13H21NO2,L3.4,no
FT_1.106_134.04476,-0.7371116836266173,0.36855584181330797,FALSE,TRUE,FALSE,wet,#F68B33,0.03683074909225,comp1,D-Aspartic acid,C4H7NO4,L1,no
FT_12.768_223.09653,0.7373393133718888,-0.3686696566859384,TRUE,FALSE,FALSE,dry,#388ECC,-0.036242717706883094,comp1,"1,3-Diacetyl-4,6-dimethoxybenzene",C12H14O4,L2.3,no
FT_10.898_149.09608,-0.6706107847414445,0.3353053923707171,FALSE,TRUE,FALSE,wet,#F68B33,0.03566735744655015,comp1,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",C10H12O,L2.3,no
FT_18.214_285.24245,-0.7719678837847018,0.3859839418923523,FALSE,TRUE,FALSE,wet,#F68B33,0.035546011832380944,comp1,2-Methoxy-6Z-hexadecenoic acid,C17H32O3,L2.3,no
FT_1.200_118.08621,-0.7305904905126615,0.3652952452563285,FALSE,TRUE,FALSE,wet,#F68B33,0.034112513511321274,comp1,Betaine,C5H11NO2,L1,no
FT_10.540_169.12233,-0.686101927792194,0.3430509638960952,FALSE,TRUE,FALSE,wet,#F68B33,0.033960893427816906,comp1,10-HDA,C10H18O3,L2.1,no
FT_11.364_204.15939,-0.6721244160908707,0.3360622080454317,FALSE,TRUE,FALSE,wet,#F68B33,0.033828780550085154,comp1,no name,C10H21NO3,L3.2,no
FT_11.217_185.11726,-0.6594550838612636,0.3297275419306263,FALSE,TRUE,FALSE,wet,#F68B33,0.03230156919717799,comp1,3-(1-Hydroxy-2-Methylbutyl)-4-Methyl-2(5H)-Furanone),C10H16O3,L2.3,no
FT_7.106_225.10971,-0.6672144029197035,0.3336072014598522,FALSE,TRUE,FALSE,wet,#F68B33,0.03214271283392409,comp1,NP-019374,C10H18O4,L2.3,no
FT_1.100_198.09738,0.7538404587580624,-0.37692022937903014,TRUE,FALSE,FALSE,dry,#388ECC,-0.03203372655724043,comp1,1-Guanidino-2-(4-imidazole)propionic acid,C7H11N5O2,L2.3,no
FT_13.958_151.07537,-0.7436455026173273,0.3718227513086625,FALSE,TRUE,FALSE,wet,#F68B33,0.03087454006049092,comp1,4'-Methoxyacetophenone,C9H10O2,L2.1,no
FT_1.418_74.09646,-0.7067941688282827,0.3533970844141437,FALSE,TRUE,FALSE,wet,#F68B33,0.030123835530560212,comp1,Diethamine,C4H11N,L2.3,no
FT_10.758_167.10667,-0.6604957775388722,0.3302478887694352,FALSE,TRUE,FALSE,wet,#F68B33,0.029837683681933513,comp1,Camphorquinone,C10H14O2,L2.3,no
FT_10.898_167.10667,-0.6475856076509763,0.3237928038254842,FALSE,TRUE,FALSE,wet,#F68B33,0.02938682450837958,comp1,Camphenal,C10H14O2,L2.3,no
FT_3.668_182.08119,-0.6998760424148016,0.34993802120740203,FALSE,TRUE,FALSE,wet,#F68B33,0.029100392193834812,comp1,L-Tyrosine,C9H11NO3,L1,no
FT_12.560_169.04957,0.6757347966615792,-0.337867398330793,TRUE,FALSE,FALSE,dry,#388ECC,-0.02858946384021481,comp1,methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate,C8H8O4,L2.1,no
FT_15.595_247.13285,-0.6754518829291777,0.33772594146458834,FALSE,TRUE,FALSE,wet,#F68B33,0.027826889707892502,comp1,"5,10,15-trimethyl-4,9,13-trioxatetracyclo[10.3.0.0Âl,âµ.0â¸,Âaâ°]pentadec-1(15)-en-14-one",C15H20O4,L2.1,no
FT_10.899_139.11172,-0.636516346374224,0.3182581731871167,FALSE,TRUE,FALSE,wet,#F68B33,0.027186582812825037,comp1,Isophorone,C9H14O,L2.1,no
FT_1.103_365.10547,0.661844603523082,-0.33092230176153753,TRUE,FALSE,FALSE,dry,#388ECC,-0.02649133632948046,comp1,Sucrose,C12H22O11,L1,no
FT_1.100_365.10547,0.661844603523082,-0.33092230176153753,TRUE,FALSE,FALSE,dry,#388ECC,-0.02649133632948046,comp1,Sucrose,C12H22O11,L1,no
FT_1.333_132.10188,-0.651139300466258,0.32556965023313045,FALSE,TRUE,FALSE,wet,#F68B33,0.026315438423563906,comp1,Methylbetain,C6H13NO2,L2.2,no
FT_2.188_150.05834,-0.6877698382257351,0.34388491911286967,FALSE,TRUE,FALSE,wet,#F68B33,0.02560701899153938,comp1,L-Methionine,C5H11NO2S,L1,no
FT_2.079_174.03864,0.6992445023904453,-0.3496222511952189,TRUE,FALSE,FALSE,dry,#388ECC,-0.02499120226046909,comp1,no name,C6H7NO5,L3.3,yes
FT_2.078_174.03865,0.6992445023904453,-0.3496222511952189,TRUE,FALSE,FALSE,dry,#388ECC,-0.02499120226046909,comp1,8-Hydroxyadenine,C5H5N5O,L2.2,no
FT_0.982_650.85025,-0.6541870992986062,0.32709354964930387,FALSE,TRUE,FALSE,wet,#F68B33,0.023836697758971615,comp1,no name,C10H13N4O15P3S4,L3.3,yes
FT_1.274_440.10703,0.6189178075843954,-0.30945890379219837,TRUE,FALSE,FALSE,dry,#388ECC,-0.023663240224979,comp1,no name,C12H25NO14S,L3.2,yes
FT_14.130_229.08603,-0.6358632401641012,0.3179316200820485,FALSE,TRUE,FALSE,wet,#F68B33,0.023583043411492796,comp1,"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one",C14H12O3,L2.1,no
FT_2.988_159.02775,0.6686419445405128,-0.3343209722702575,TRUE,FALSE,FALSE,dry,#388ECC,-0.02334131056194835,comp1,Pentahydroxybenzene,C6H6O5,L2.3,no
FT_2.989_159.02775,0.6686419445405128,-0.3343209722702575,TRUE,FALSE,FALSE,dry,#388ECC,-0.02334131056194835,comp1,Hypoxanthine,C5H4N4O,L1,no
FT_18.226_311.21946,-0.6962227139076002,0.3481113569538028,FALSE,TRUE,FALSE,wet,#F68B33,0.022343377121142403,comp1,NP-020214,C16H32O4,L2.1,no
FT_1.141_287.12717,-0.7050583325005998,0.3525291662503015,FALSE,TRUE,FALSE,wet,#F68B33,0.022284950323419494,comp1,"4-Hydroxy-3,5,4'-trimethoxystilbene",C17H18O4,L2.3,no
FT_1.428_448.16617,0.6466591503134407,-0.3233295751567159,TRUE,FALSE,FALSE,dry,#388ECC,-0.022229319231223274,comp1,no name,C15H29NO14,L3.2,no
FT_1.323_522.20307,0.6508433251394548,-0.32542166256973115,TRUE,FALSE,FALSE,dry,#388ECC,-0.02171698561096419,comp1,D-(+)-Raffinose,C18H32O16,L1,no
FT_0.982_718.83752,-0.6374410141039083,0.3187205070519551,FALSE,TRUE,FALSE,wet,#F68B33,0.021457336844864672,comp1,no name,C14H18N4O10P4S6,L3.3,yes
FT_0.981_446.88778,-0.6469985409608806,0.32349927048044047,FALSE,TRUE,FALSE,wet,#F68B33,0.020993500109760838,comp1,no name,C5H9N2O12P3S2,L3.3,yes
FT_8.403_205.09712,-0.678637598951185,0.339318799475595,FALSE,TRUE,FALSE,wet,#F68B33,0.019831921414711608,comp1,L-Tryptophan,C11H12N2O2,L1,no
FT_1.252_198.08906,0.683622579942485,-0.3418112899712457,TRUE,FALSE,FALSE,dry,#388ECC,-0.01919638533128099,comp1,"Methyl 5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate",C8H11N3O3,L2.3,no
FT_1.097_208.11789,0.5990083440353233,-0.29950417201766094,TRUE,FALSE,FALSE,dry,#388ECC,-0.019064514328469725,comp1,no name,C8H17NO5,L3.4,no
FT_0.981_514.87531,-0.6348586990116847,0.31742934950584334,FALSE,TRUE,FALSE,wet,#F68B33,0.019006495462453258,comp1,no name,C10H14O10P4S3,L3.3,yes
FT_11.741_384.18062,-0.6628831687597748,0.3314415843798863,FALSE,TRUE,FALSE,wet,#F68B33,0.018924414519196776,comp1,Peniprequinolone,C22H25NO5,L2.3,no
FT_0.981_582.86283,-0.630638811670198,0.3153194058350987,FALSE,TRUE,FALSE,wet,#F68B33,0.018754706989084827,comp1,no name,NA,L4,no
FT_1.366_439.14234,-0.6329743673549265,0.31648718367746437,FALSE,TRUE,FALSE,wet,#F68B33,0.018513248117258206,comp1,Kotanin,C24H22O8,L2.3,no
FT_15.285_209.07863,-0.6119382298384698,0.30596911491923395,FALSE,TRUE,FALSE,wet,#F68B33,0.01850850511423185,comp1,Methyl ferulate,C11H12O4,L2.3,no
FT_20.136_301.21621,-0.6214109488384906,0.3107054744192453,FALSE,TRUE,FALSE,wet,#F68B33,0.018431947584664835,comp1,"(2E)-5-[(8aS)-2,5,5,8a-tetramethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",C20H30O3,L2.1,no
FT_12.241_179.07033,-0.6388800015234212,0.31944000076171475,FALSE,TRUE,FALSE,wet,#F68B33,0.018071416994162336,comp1,4-Hydroxy-3-methoxycinnamaldehyde,C10H10O3,L2.3,no
FT_0.980_430.91383,-0.6163412536314331,0.30817062681571583,FALSE,TRUE,FALSE,wet,#F68B33,0.017653963572910852,comp1,no name,NA,L4,no
FT_10.064_211.13043,-0.6059267747783988,0.3029633873892,FALSE,TRUE,FALSE,wet,#F68B33,0.017233664278262298,comp1,Jasmonic acid,C12H18O3,L2.1,no
FT_20.190_381.26142,-0.6530175450136616,0.3265087725068318,FALSE,TRUE,FALSE,wet,#F68B33,0.01717281523503055,comp1,no name,C22H36O5,L3.2,yes
FT_16.581_233.08084,-0.6317939215825754,0.3158969607912901,FALSE,TRUE,FALSE,wet,#F68B33,0.016915714396530352,comp1,Citrinin,C13H14O5,L2.1,no
FT_19.446_315.25299,-0.633785685779853,0.3168928428899303,FALSE,TRUE,FALSE,wet,#F68B33,0.016783235618803315,comp1,9-hydroperoxy-10E-octadecenoate,C18H34O4,L2.3,no
FT_13.197_283.11747,0.6417044973004112,-0.3208522486502012,TRUE,FALSE,FALSE,dry,#388ECC,-0.016473178405566474,comp1,"(3S,4S)-3,4,8-trihydroxy-6-methoxy-7-(1-methoxyethyl)-3,4-dihydro-2H-naphthalen-1-one",C14H18O6,L2.2,no
FT_0.981_294.93894,-0.6098748636012157,0.30493743180060623,FALSE,TRUE,FALSE,wet,#F68B33,0.015837290513517253,comp1,no name,C8H8O4P2S2,L3.3,yes
FT_17.197_297.13095,-0.6667594068627435,0.33337970343137135,FALSE,TRUE,FALSE,wet,#F68B33,0.015139522758690302,comp1,Phomopsolidone A,C15H20O6,L2.1,no
FT_0.980_362.92643,-0.6066960467834868,0.3033480233917428,FALSE,TRUE,FALSE,wet,#F68B33,0.015102834116185872,comp1,no name,NA,L4,no
FT_14.540_209.08081,0.6294884655479009,-0.31474423277395175,TRUE,FALSE,FALSE,dry,#388ECC,-0.015095642950958348,comp1,"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11H12O4,L2.1,no
FT_20.300_359.21947,-0.5927933174454414,0.29639665872271737,FALSE,TRUE,FALSE,wet,#F68B33,0.014991633630261472,comp1,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",C22H30O4,L2.3,no
FT_7.836_223.09406,-0.6044489061468414,0.30222445307342327,FALSE,TRUE,FALSE,wet,#F68B33,0.014791027732971059,comp1,N-(2-amino-9H-purin-6-yl)alanine,C8H10N6O2,L2.3,no
FT_1.095_203.05263,0.6583435667215188,-0.3291717833607575,TRUE,FALSE,FALSE,dry,#388ECC,-0.014356499466381954,comp1,no name,na,L4,no
FT_1.068_150.11249,-0.6679625217659333,0.33398126088296765,FALSE,TRUE,FALSE,wet,#F68B33,0.013877506020348805,comp1,no name,C6H15NO3,L3.4,no
FT_1.262_380.20290,0.6358286655481664,-0.317914332774085,TRUE,FALSE,FALSE,dry,#388ECC,-0.013717239622595629,comp1,no name,C15H29N3O8,L3.2,no
FT_0.980_498.90137,-0.5957858955327981,0.2978929477663999,FALSE,TRUE,FALSE,wet,#F68B33,0.013709564364481201,comp1,no name,C9H13N2O10P3S3,L3.3,yes
