month,genome,geTMM_month,mean_zs,order,Domain,Phylum,Class,Order,Family,Genus,Species
October,bcn_bin_135_1,1246.8095051966723,-1.1044992582135889,3,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,NA,NA
October,bcn_bin_137_1,567.9548422358677,-1.309779863944407,2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA
October,bcn_bin_138,4878.829582093174,1.3067846031093038,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
October,bcn_bin_139_1,2160.4464536392243,-1.1041292474578426,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,NA
October,bcn_bin_13_1,28.654429711867166,-1.1225217987605267,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
October,bcn_bin_140,7567.302858518697,-0.8355320272306522,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA
October,bcn_bin_142_1,7776.237745488019,1.4337100880683586,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
October,bcn_bin_14_1,721.7425023872995,-1.6074915424514684,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,bcn_bin_151,28774.036035120844,1.1506320917630253,1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,JALYGY01,NA
October,bcn_bin_154_1,930.4930688954643,-0.743905591914259,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
October,bcn_bin_156_1,265.06662972688724,-1.0355791146239535,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium,NA
October,bcn_bin_158,797.3131319902723,-1.0798944383847717,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA
October,bcn_bin_159,203.14089567195944,0.601303676380008,1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA
October,bcn_bin_160,972.6214844450254,0.7221020097841013,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA
October,bcn_bin_163,308.90982034387997,-0.24357490461748252,1,Bacteria,Actinomycetota,UBA4738,UBA4738,NA,NA,NA
October,bcn_bin_164,134.71977873700385,-0.7754760220305077,3,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Gp1-AA117,Angelobacter,NA
October,bcn_bin_165_1,11362.457218372114,0.6388077352725484,3,Bacteria,Chloroflexota,UBA6077,UBA6077,JACCZL01,NA,NA
October,bcn_bin_167_1,349.7344459225012,-1.4862987774278862,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,bcn_bin_169,223.00208484091374,-1.4794107820458828,2,Bacteria,Actinomycetota,UBA4738,UBA4738,HRBIN12,NA,NA
October,bcn_bin_16_1,1852.396704537506,-1.1885757015910687,2,Bacteria,Actinomycetota,Actinomycetes,NA,NA,NA,NA
October,bcn_bin_170,66.76459427733415,-0.9900919470718214,2,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,UBA10450,AV80,NA
October,bcn_bin_174_1,2225.9980812384633,1.5662830591616703,1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA
October,bcn_bin_175,649.9252540286394,-1.1514418915892655,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,bcn_bin_176,1095.9504094793137,-0.28333805239052423,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
October,bcn_bin_177,1717.816718343683,1.9366610936652529,1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA
October,bcn_bin_182_1,446.4979075735087,-0.0825355196616717,3,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-105,NA
October,bcn_bin_19,3737.8327809794573,-0.18798543202063828,1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA
October,bcn_bin_192,117.76581593160934,-1.1315336441894424,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,SG8-39,SCGC-AG-212-J23,NA
October,bcn_bin_193_1,151.7149267763064,-0.3348839161421455,1,Bacteria,Actinomycetota,UBA4738,CADDZG01,NA,NA,NA
October,bcn_bin_194_1,850.3765755249441,1.8361402150089146,1,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,NA,NA
October,bcn_bin_205,388.402941326401,-1.243322289767934,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,NA,NA
October,bcn_bin_206,419.70784401486725,-0.9680633761742699,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
October,bcn_bin_209_1,325.3452138168701,-1.1673146197368434,3,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-105,NA
October,bcn_bin_212,411.7398967890848,-1.0598360431489666,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,NA,NA
October,bcn_bin_213,207.4979089853642,-1.1508088848334241,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
