FeatureID,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component
FT_1.412_522.20299,0.7811230285662789,-0.3905615142831399,TRUE,FALSE,FALSE,dry,#388ECC,-0.05872067749254451,comp1
FT_1.413_522.20300,0.7811230285662789,-0.3905615142831399,TRUE,FALSE,FALSE,dry,#388ECC,-0.05872067749254451,comp1
FT_4.181_267.05877,0.8376906409438548,-0.4188453204719285,TRUE,FALSE,FALSE,dry,#388ECC,-0.057059148263511744,comp1
FT_7.703_266.12479,-0.8501074269277054,0.42505371346385595,FALSE,TRUE,FALSE,wet,#F68B33,0.05672181306506448,comp1
FT_1.774_469.09629,0.8140218692006836,-0.4070109346003434,TRUE,FALSE,FALSE,dry,#388ECC,-0.056623316026118885,comp1
FT_1.222_313.14287,-0.7993699020068324,0.39968495100341517,FALSE,TRUE,FALSE,wet,#F68B33,0.0554218439373794,comp1
FT_12.931_209.08086,0.8152045295753363,-0.4076022647876622,TRUE,FALSE,FALSE,dry,#388ECC,-0.053420882979164,comp1
FT_1.420_246.14481,0.7487900366803182,-0.3743950183401611,TRUE,FALSE,FALSE,dry,#388ECC,-0.052876861785621176,comp1
FT_18.213_277.21623,-0.7842209532469091,0.39211047662345655,FALSE,TRUE,FALSE,wet,#F68B33,0.051753363129998425,comp1
FT_18.816_279.23187,-0.8057897434759188,0.402894871737962,FALSE,TRUE,FALSE,wet,#F68B33,0.051019726991511395,comp1
FT_17.117_249.11211,0.7621170159174591,-0.3810585079587333,TRUE,FALSE,FALSE,dry,#388ECC,-0.05094953228776554,comp1
FT_1.676_349.11061,0.7786053766933593,-0.3893026883466805,TRUE,FALSE,FALSE,dry,#388ECC,-0.05083428136271861,comp1
FT_1.264_374.12946,0.8423715900291047,-0.4211857950145495,TRUE,FALSE,FALSE,dry,#388ECC,-0.05036086256016933,comp1
FT_10.539_209.11480,-0.758544502328467,0.3792722511642326,FALSE,TRUE,FALSE,wet,#F68B33,0.05014518366791539,comp1
FT_1.786_448.16613,0.7779465847053393,-0.38897329235266964,TRUE,FALSE,FALSE,dry,#388ECC,-0.04955963912181412,comp1
FT_1.310_325.11303,0.744150449280127,-0.37207522464006076,TRUE,FALSE,FALSE,dry,#388ECC,-0.048041784918118266,comp1
FT_7.691_227.12538,-0.7506354079401926,0.3753177039700949,FALSE,TRUE,FALSE,wet,#F68B33,0.047424723040237114,comp1
FT_1.310_360.15014,0.7342176567722092,-0.367108828386111,TRUE,FALSE,FALSE,dry,#388ECC,-0.04678506699806931,comp1
FT_10.758_207.09912,-0.7411897056134394,0.37059485280672505,FALSE,TRUE,FALSE,wet,#F68B33,0.044646833373408475,comp1
FT_6.817_282.08332,-0.7970284086587706,0.398514204329385,FALSE,TRUE,FALSE,wet,#F68B33,0.04441554813871684,comp1
FT_1.432_453.12162,0.7376070383053048,-0.3688035191526489,TRUE,FALSE,FALSE,dry,#388ECC,-0.04379085762237384,comp1
FT_2.389_184.05804,0.7132063927641157,-0.35660319638206195,TRUE,FALSE,FALSE,dry,#388ECC,-0.04336505760790367,comp1
FT_8.058_227.12537,-0.7240816874740896,0.3620408437370469,FALSE,TRUE,FALSE,wet,#F68B33,0.041644736842962576,comp1
FT_10.898_185.11722,-0.7188015480722928,0.3594007740361445,FALSE,TRUE,FALSE,wet,#F68B33,0.041593017737186454,comp1
FT_15.224_219.10156,-0.7216524861012452,0.3608262430506241,FALSE,TRUE,FALSE,wet,#F68B33,0.04141132575144243,comp1
FT_1.124_522.20317,0.7310024005625084,-0.36550120028125366,TRUE,FALSE,FALSE,dry,#388ECC,-0.04065913097225595,comp1
FT_11.565_223.09649,0.7292333079400353,-0.36461665397001847,TRUE,FALSE,FALSE,dry,#388ECC,-0.040323194608263474,comp1
FT_7.372_192.10192,-0.7770440668674171,0.3885220334337086,FALSE,TRUE,FALSE,wet,#F68B33,0.040314905594093044,comp1
FT_6.231_137.04577,0.7654159929327382,-0.3827079964663702,TRUE,FALSE,FALSE,dry,#388ECC,-0.03980609255953883,comp1
FT_1.309_85.02847,0.7353372082022978,-0.36766860410115365,TRUE,FALSE,FALSE,dry,#388ECC,-0.03945481790243826,comp1
FT_1.386_218.14992,0.7349240815010427,-0.36746204075052274,TRUE,FALSE,FALSE,dry,#388ECC,-0.038081118105940594,comp1
FT_20.230_349.19862,-0.7261752195591596,0.36308760977957943,FALSE,TRUE,FALSE,wet,#F68B33,0.03737750235313662,comp1
FT_10.754_121.10111,-0.712552041926331,0.3562760209631598,FALSE,TRUE,FALSE,wet,#F68B33,0.03707412542853096,comp1
FT_8.550_224.16450,-0.7463859733410461,0.37319298667052375,FALSE,TRUE,FALSE,wet,#F68B33,0.036879469375899664,comp1
FT_1.106_134.04476,-0.7371116836266173,0.36855584181330797,FALSE,TRUE,FALSE,wet,#F68B33,0.03683074909225,comp1
FT_12.768_223.09653,0.7373393133718888,-0.3686696566859384,TRUE,FALSE,FALSE,dry,#388ECC,-0.036242717706883094,comp1
FT_10.898_149.09608,-0.6706107847414445,0.3353053923707171,FALSE,TRUE,FALSE,wet,#F68B33,0.03566735744655015,comp1
FT_18.214_285.24245,-0.7719678837847018,0.3859839418923523,FALSE,TRUE,FALSE,wet,#F68B33,0.035546011832380944,comp1
FT_1.200_118.08621,-0.7305904905126615,0.3652952452563285,FALSE,TRUE,FALSE,wet,#F68B33,0.034112513511321274,comp1
FT_10.540_169.12233,-0.686101927792194,0.3430509638960952,FALSE,TRUE,FALSE,wet,#F68B33,0.033960893427816906,comp1
FT_11.364_204.15939,-0.6721244160908707,0.3360622080454317,FALSE,TRUE,FALSE,wet,#F68B33,0.033828780550085154,comp1
FT_11.217_185.11726,-0.6594550838612636,0.3297275419306263,FALSE,TRUE,FALSE,wet,#F68B33,0.03230156919717799,comp1
FT_7.106_225.10971,-0.6672144029197035,0.3336072014598522,FALSE,TRUE,FALSE,wet,#F68B33,0.03214271283392409,comp1
FT_1.100_198.09738,0.7538404587580624,-0.37692022937903014,TRUE,FALSE,FALSE,dry,#388ECC,-0.03203372655724043,comp1
FT_13.958_151.07537,-0.7436455026173273,0.3718227513086625,FALSE,TRUE,FALSE,wet,#F68B33,0.03087454006049092,comp1
FT_1.418_74.09646,-0.7067941688282827,0.3533970844141437,FALSE,TRUE,FALSE,wet,#F68B33,0.030123835530560212,comp1
FT_10.758_167.10667,-0.6604957775388722,0.3302478887694352,FALSE,TRUE,FALSE,wet,#F68B33,0.029837683681933513,comp1
FT_10.898_167.10667,-0.6475856076509763,0.3237928038254842,FALSE,TRUE,FALSE,wet,#F68B33,0.02938682450837958,comp1
FT_3.668_182.08119,-0.6998760424148016,0.34993802120740203,FALSE,TRUE,FALSE,wet,#F68B33,0.029100392193834812,comp1
FT_12.560_169.04957,0.6757347966615792,-0.337867398330793,TRUE,FALSE,FALSE,dry,#388ECC,-0.02858946384021481,comp1
FT_15.595_247.13285,-0.6754518829291777,0.33772594146458834,FALSE,TRUE,FALSE,wet,#F68B33,0.027826889707892502,comp1
FT_10.899_139.11172,-0.636516346374224,0.3182581731871167,FALSE,TRUE,FALSE,wet,#F68B33,0.027186582812825037,comp1
FT_1.103_365.10547,0.661844603523082,-0.33092230176153753,TRUE,FALSE,FALSE,dry,#388ECC,-0.02649133632948046,comp1
FT_1.100_365.10547,0.661844603523082,-0.33092230176153753,TRUE,FALSE,FALSE,dry,#388ECC,-0.02649133632948046,comp1
FT_1.333_132.10188,-0.651139300466258,0.32556965023313045,FALSE,TRUE,FALSE,wet,#F68B33,0.026315438423563906,comp1
FT_2.188_150.05834,-0.6877698382257351,0.34388491911286967,FALSE,TRUE,FALSE,wet,#F68B33,0.02560701899153938,comp1
FT_2.079_174.03864,0.6992445023904453,-0.3496222511952189,TRUE,FALSE,FALSE,dry,#388ECC,-0.02499120226046909,comp1
FT_2.078_174.03865,0.6992445023904453,-0.3496222511952189,TRUE,FALSE,FALSE,dry,#388ECC,-0.02499120226046909,comp1
FT_0.982_650.85025,-0.6541870992986062,0.32709354964930387,FALSE,TRUE,FALSE,wet,#F68B33,0.023836697758971615,comp1
FT_1.274_440.10703,0.6189178075843954,-0.30945890379219837,TRUE,FALSE,FALSE,dry,#388ECC,-0.023663240224979,comp1
FT_14.130_229.08603,-0.6358632401641012,0.3179316200820485,FALSE,TRUE,FALSE,wet,#F68B33,0.023583043411492796,comp1
FT_2.988_159.02775,0.6686419445405128,-0.3343209722702575,TRUE,FALSE,FALSE,dry,#388ECC,-0.02334131056194835,comp1
FT_2.989_159.02775,0.6686419445405128,-0.3343209722702575,TRUE,FALSE,FALSE,dry,#388ECC,-0.02334131056194835,comp1
FT_18.226_311.21946,-0.6962227139076002,0.3481113569538028,FALSE,TRUE,FALSE,wet,#F68B33,0.022343377121142403,comp1
FT_1.141_287.12717,-0.7050583325005998,0.3525291662503015,FALSE,TRUE,FALSE,wet,#F68B33,0.022284950323419494,comp1
FT_1.428_448.16617,0.6466591503134407,-0.3233295751567159,TRUE,FALSE,FALSE,dry,#388ECC,-0.022229319231223274,comp1
FT_1.323_522.20307,0.6508433251394548,-0.32542166256973115,TRUE,FALSE,FALSE,dry,#388ECC,-0.02171698561096419,comp1
FT_0.982_718.83752,-0.6374410141039083,0.3187205070519551,FALSE,TRUE,FALSE,wet,#F68B33,0.021457336844864672,comp1
FT_0.981_446.88778,-0.6469985409608806,0.32349927048044047,FALSE,TRUE,FALSE,wet,#F68B33,0.020993500109760838,comp1
FT_8.403_205.09712,-0.678637598951185,0.339318799475595,FALSE,TRUE,FALSE,wet,#F68B33,0.019831921414711608,comp1
FT_1.252_198.08906,0.683622579942485,-0.3418112899712457,TRUE,FALSE,FALSE,dry,#388ECC,-0.01919638533128099,comp1
FT_1.097_208.11789,0.5990083440353233,-0.29950417201766094,TRUE,FALSE,FALSE,dry,#388ECC,-0.019064514328469725,comp1
FT_0.981_514.87531,-0.6348586990116847,0.31742934950584334,FALSE,TRUE,FALSE,wet,#F68B33,0.019006495462453258,comp1
FT_11.741_384.18062,-0.6628831687597748,0.3314415843798863,FALSE,TRUE,FALSE,wet,#F68B33,0.018924414519196776,comp1
FT_0.981_582.86283,-0.630638811670198,0.3153194058350987,FALSE,TRUE,FALSE,wet,#F68B33,0.018754706989084827,comp1
FT_1.366_439.14234,-0.6329743673549265,0.31648718367746437,FALSE,TRUE,FALSE,wet,#F68B33,0.018513248117258206,comp1
FT_15.285_209.07863,-0.6119382298384698,0.30596911491923395,FALSE,TRUE,FALSE,wet,#F68B33,0.01850850511423185,comp1
FT_20.136_301.21621,-0.6214109488384906,0.3107054744192453,FALSE,TRUE,FALSE,wet,#F68B33,0.018431947584664835,comp1
FT_12.241_179.07033,-0.6388800015234212,0.31944000076171475,FALSE,TRUE,FALSE,wet,#F68B33,0.018071416994162336,comp1
FT_0.980_430.91383,-0.6163412536314331,0.30817062681571583,FALSE,TRUE,FALSE,wet,#F68B33,0.017653963572910852,comp1
FT_10.064_211.13043,-0.6059267747783988,0.3029633873892,FALSE,TRUE,FALSE,wet,#F68B33,0.017233664278262298,comp1
FT_20.190_381.26142,-0.6530175450136616,0.3265087725068318,FALSE,TRUE,FALSE,wet,#F68B33,0.01717281523503055,comp1
FT_16.581_233.08084,-0.6317939215825754,0.3158969607912901,FALSE,TRUE,FALSE,wet,#F68B33,0.016915714396530352,comp1
FT_19.446_315.25299,-0.633785685779853,0.3168928428899303,FALSE,TRUE,FALSE,wet,#F68B33,0.016783235618803315,comp1
FT_13.197_283.11747,0.6417044973004112,-0.3208522486502012,TRUE,FALSE,FALSE,dry,#388ECC,-0.016473178405566474,comp1
FT_0.981_294.93894,-0.6098748636012157,0.30493743180060623,FALSE,TRUE,FALSE,wet,#F68B33,0.015837290513517253,comp1
FT_17.197_297.13095,-0.6667594068627435,0.33337970343137135,FALSE,TRUE,FALSE,wet,#F68B33,0.015139522758690302,comp1
FT_0.980_362.92643,-0.6066960467834868,0.3033480233917428,FALSE,TRUE,FALSE,wet,#F68B33,0.015102834116185872,comp1
FT_14.540_209.08081,0.6294884655479009,-0.31474423277395175,TRUE,FALSE,FALSE,dry,#388ECC,-0.015095642950958348,comp1
FT_20.300_359.21947,-0.5927933174454414,0.29639665872271737,FALSE,TRUE,FALSE,wet,#F68B33,0.014991633630261472,comp1
FT_7.836_223.09406,-0.6044489061468414,0.30222445307342327,FALSE,TRUE,FALSE,wet,#F68B33,0.014791027732971059,comp1
FT_1.095_203.05263,0.6583435667215188,-0.3291717833607575,TRUE,FALSE,FALSE,dry,#388ECC,-0.014356499466381954,comp1
FT_1.068_150.11249,-0.6679625217659333,0.33398126088296765,FALSE,TRUE,FALSE,wet,#F68B33,0.013877506020348805,comp1
FT_1.262_380.20290,0.6358286655481664,-0.317914332774085,TRUE,FALSE,FALSE,dry,#388ECC,-0.013717239622595629,comp1
FT_0.980_498.90137,-0.5957858955327981,0.2978929477663999,FALSE,TRUE,FALSE,wet,#F68B33,0.013709564364481201,comp1
FT_17.364_315.19562,-0.5590373098981583,0.27951865494907996,FALSE,TRUE,FALSE,wet,#F68B33,0.013669070495878776,comp1
