FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_0.983_326.88687,C6 H O10 P3,NA,C7 H5 O5 P3 S2,C12 H5 Cl5,2.3311627,"2,3,4,4',5-Pentachlorobiphenyl",FALSE,FALSE,FALSE,na,na,na,no name,C6 H O10 P3,L4.3
FT_0.983_326.88687,C6 H O10 P3,NA,C7 H5 O5 P3 S2,C12 H5 Cl5,2.3258839,"2,3,3',4,5-Pentachlorobiphenyl",FALSE,FALSE,FALSE,na,na,na,no name,C6 H O10 P3,L4.3
FT_0.983_326.88687,C6 H O10 P3,NA,C7 H5 O5 P3 S2,C12 H5 Cl5,2.3162696,"2,3,3',4,4'-Pentachlorobiphenyl",FALSE,FALSE,FALSE,na,na,na,no name,C6 H O10 P3,L4.3
FT_0.983_410.84824,C5 H Cl N2 O12 P2 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,na,"halogenated,unknown",L5
FT_0.983_478.83569,C8 H3 N2 O12 P S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C8 H3 N2 O12 P S4,L4.3
FT_0.983_546.82330,C6 H Cl N4 O18 P2 S,NA,C7 H6 N2 O15 P4 S2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C7 H6 N2 O15 P4 S2,L4.3
FT_0.983_630.78465,C9 H2 Cl N4 O17 P3 S2,NA,C8 H12 O15 P6 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C8 H12 O15 P6 S3,L4.3
FT_0.983_698.77196,C16 H2 Cl N4 O14 P3 S3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.984_342.86081,C5 H2 Cl N4 O2 P3 S2,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,na,"halogenated,unknown",L5
FT_0.984_494.80968,C4 H2 Cl N2 O16 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.984_562.79714,C7 H2 Cl N2 O18 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.984_714.74594,C9 H N8 O15 P3 S5,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.985_426.82215,C6 H2 Cl O12 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,na,na,na,no name,C6 H2 Cl O12 P3 S,L4.3
FT_0.985_510.78362,C H3 Cl2 N2 O17 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.985_578.77118,C6 H2 Cl N4 O14 P3 S3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.985_646.75857,C8 H Cl N6 O15 P2 S4,NA,C11 H9 N2 O10 P3 S7,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.986_358.83480,C3 H2 Cl O10 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,na,na,na,no name,C3 H2 Cl O10 P3 S,L4.3
FT_0.986_730.72001,C18 H2 Cl O16 P3 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.987_442.79617,C5 H2 Cl N2 O8 P3 S3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,na,na,na,no name,C5 H2 Cl N2 O8 P3 S3,L4.3
FT_1.022_122.08113,C4 H11 N O3,NA,C4 H11 N O3,C4 H11 N O3,0.6259431,Tromethamine,TRUE,TRUE,TRUE,"match name cmmrt, sirius",94.54,na,Tromethamine,C4 H11 N O3,L3.1
FT_1.037_181.02580,C5 H9 O5 P,NA,C4 H8 N2 O4 S,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_1.037_198.12377,C9 H15 N3 O2,NA,NA,C9 H15 N3 O2,2.2496939,Nitrilacarb,FALSE,TRUE,FALSE,keep cmmrt,na,na,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate,C9 H15 N3 O2,L3.3
FT_1.037_198.12377,C9 H15 N3 O2,NA,NA,C9 H15 N3 O2,0.8895073,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate,FALSE,TRUE,FALSE,keep cmmrt,na,na,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate,C9 H15 N3 O2,L3.3
FT_1.040_257.17208,C10 H20 N6 O2,NA,C10 H20 N6 O2,NA,NA,NA,TRUE,FALSE,FALSE,na,na,yes,no name,C10 H20 N6 O2,L4.1
FT_1.058_304.15048,C12 H21 N3 O6,NA,C12 H21 N3 O6,C12 H21 N3 O6,1.1344087,N5-Acetyl-N2-gamma-L-glutamyl-L-ornithine,TRUE,TRUE,TRUE,Name also predicted by SIRIUS,29.85,na,Nicotianamine,C12 H21 N3 O6,L3.1
