FeatureID,Name,Formula,Notes,Action_decision,Other_mzcloud_match,Sirus_notes,Sirius_formula,Correlation_duplicated annotations,Final_decision
FT_3.025_147.06635,Mevalonic acid,C6 H12 O4,,,,,,0,L2
FT_1.139_405.09830,"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide",C16H18N6O5S,halogenated,use sirius,,"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide",C16H18N6O5S,0,L3.3
FT_1.434_345.09809,hamilcone,C18H18O7,,use sirius,,hamilcone,C18H18O7,0,L3.3
FT_1.208_469.18705,NP-005088,C26H32O9,,keep CD lower match,NP-005088,,,0,L2
FT_14.571_333.05952,poly(galactosylglycerol phosphate),C9H19O11P,,keep sirius,,poly(galactosylglycerol phosphate),C9H19O11P,0,L3.3
FT_1.609_445.15069,"3-(Acetyloxy)-2-(3,4-dimethoxyphenyl)-7,8-dimethoxy-3,4-dihydro-2H-chromen-4-yl acetate",C23H26O9,halogenated,keep sirius,,"3-(Acetyloxy)-2-(3,4-dimethoxyphenyl)-7,8-dimethoxy-3,4-dihydro-2H-chromen-4-yl acetate",C23H26O9,0,L3.3
FT_1.046_465.15560,"N-{[(2R,3S,4R,5S)-3,4-Dihydroxy-5-{2-oxo-2-[4-(2-pyridinyl)-1-piperazinyl]ethyl}tetrahydro-2-furanyl]methyl}-2-furamide",C21 H26 N4 O6,adduct 36 DA,,,,,0,L2
FT_1.390_277.07177,[2-[3-(2-Acetyloxyacetyl)phenyl]-2-oxoethyl] acetate,C14H14O6,"halogenated, low match","sirius low confidence, keep sirius",,[2-[3-(2-Acetyloxyacetyl)phenyl]-2-oxoethyl] acetate,C14H14O6,0,L3.3
FT_1.188_269.04556,"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione",C15H10O5,halogenated,keep sirius,,"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione",C15H10O5,0,L3.3
FT_1.535_351.14519,Coriandrone D,C18H24O7,halogenated,keep sirius,,Coriandrone D,C18H24O7,0,L3.3
FT_1.670_281.10327,Gonioheptolide A,C14H18O6,halogenated,"sirius low confidence, keep sirius",,Gonioheptolide A,C14H18O6,0,L3.3
FT_1.387_357.13457,NP-003433,C20 H22 O6,,,,,,0,DELETE
FT_1.387_357.13459,NP-003433,C20 H22 O6,,,,,,0,L2
