FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_0.995_562.01218,C18 H28 Cl N O7 P2 S3,NA,NA,FALSE,,,no name,no formula,,L5
FT_1.286_373.09303,C12 H17 N4 O5 P,NA,C18 H16 O6,FALSE,na,na,na,C18 H16 O6,yes,L4.3
FT_1.363_295.08239,C14 H18 S2,NA,C13 H14 O5,FALSE,na,na,na,C13 H14 O5,yes,L4.3
FT_1.664_349.09316,C9 H16 N6 O4 S,NA,C16 H16 O6,FALSE,na,na,na,C16 H16 O6,yes,L4.3
FT_1.011_413.08803,C21 H18 O9,NA,C21 H18 O9,TRUE,na,na,na,C21 H18 O9,yes,L4.1
FT_1.031_493.18711,C28 H30 O8,NA,C28 H30 O8,TRUE,na,na,na,C28 H30 O8,yes,L4.1
FT_1.048_439.10385,C25 H20 N4 S2,NA,NA,FALSE,,,no name,C25 H20 N4 S2,,L4.3
FT_1.075_491.20777,C22 H32 N6 O5 S,NA,C29 H32 O7,FALSE,na,na,na,C29 H32 O7,yes,L4.3
FT_1.077_369.06179,C20 H10 N4 O4,NA,C19 H14 O8,FALSE,na,na,na,C19 H14 O8,yes,L4.3
FT_1.076_683.21263,C38 H36 O12,NA,C34 H40 N2 O9 S2,FALSE,na,na,na,na,na,delete
FT_1.077_441.15573,C25 H22 N4 O4,NA,C24 H26 O8,FALSE,na,na,na,C24 H26 O8,yes,L4.3
FT_1.081_643.25445,C37 H40 O10,NA,C36 H40 N2 O9,FALSE,na,na,na,C36 H40 N2 O9,yes,L4.3
FT_1.079_559.23376,C33 H36 O8,NA,NA,FALSE,,,no name,C33 H36 O8,,L4.3
FT_1.081_563.26479,C33 H40 O8,NA,NA,FALSE,,,no name,C33 H40 O8,,L4.3
FT_1.082_643.21822,C30 H37 N4 O10 P,NA,C36 H36 O11,FALSE,na,na,na,C36 H36 O11,yes,L4.3
FT_1.087_511.12488,C15 H30 N8 O4 P2 S2,NA,C26 H24 O11,FALSE,na,na,na,C26 H24 O11,yes,L4.3
FT_1.084_545.21901,C32 H34 O8,NA,C32 H34 O8,TRUE,na,na,na,C32 H34 O8,yes,L4.1
FT_1.084_613.24386,C29 H43 O12 P,NA,NA,FALSE,,,no name,C29 H43 O12 P,,L4.3
FT_1.085_503.20768,C34 H34 P2,NA,NA,FALSE,,,no name,C34 H34 P2,,L4.3
FT_1.086_611.19164,C29 H43 O6 P3 S,NA,C35 H32 O10,FALSE,na,na,na,na,na,delete
FT_1.087_585.21275,C35 H30 N4 O5,NA,C34 H34 O9,FALSE,na,na,na,C34 H34 O9,yes,L4.3
FT_1.087_665.23867,C32 H43 O13 P,NA,C32 H42 O15,FALSE,na,na,na,C32 H42 O15,yes,L4.3
FT_1.087_629.27465,C37 H42 O9,NA,C37 H42 O9,TRUE,na,na,na,na,na,delete
FT_1.093_727.20194,C32 H41 O17 P,NA,C39 H36 O14,FALSE,na,na,na,C39 H36 O14,yes,L4.3
FT_1.088_445.09327,C29 H20 O P2,NA,NA,FALSE,,,no name,C29 H20 O P2,,L4.3
FT_1.088_629.20191,C41 H31 N2 O3 P,NA,NA,FALSE,,,,,,delete
FT_1.089_395.11395,C22 H20 O7,NA,C22 H20 O7,TRUE,na,na,na,C22 H20 O7,yes,L4.1
FT_1.089_543.20250,C32 H32 O8,NA,C32 H32 O8,TRUE,na,na,na,C32 H32 O8,yes,L4.1
FT_1.092_517.22371,C20 H40 N8 P2 S2,NA,NA,FALSE,,,no name,C20 H40 N8 P2 S2,,L4.3
FT_1.092_537.17725,C29 H30 O10,NA,C22 H34 O15,TRUE,na,na,na,C22 H34 O15,yes,L4.1
FT_1.094_439.17657,C19 H29 N4 O6 P,NA,C25 H28 O7,FALSE,na,na,na,C25 H28 O7,yes,L4.3
FT_1.100_455.17151,C26 H24 N4 O4,NA,C25 H28 O8,FALSE,na,na,na,C25 H28 O8,yes,L4.3
FT_1.094_479.20668,C28 H32 O7,NA,C28 H32 O7,TRUE,na,na,na,C28 H32 O7,yes,L4.1
FT_1.094_531.23896,C15 H37 N10 O9 P,NA,NA,FALSE,,,no name,C15 H37 N10 O9 P,,L4.3
FT_1.096_455.17156,C24 H26 O6,NA,C24 H26 O6,TRUE,na,na,na,C24 H26 O6,yes,L4.1
FT_1.096_497.21822,C27 H32 O6,NA,C27 H32 O6,TRUE,na,na,na,C27 H32 O6,yes,L4.1
FT_1.097_497.21815,C28 H34 O8,NA,C28 H34 O8,TRUE,na,na,na,C28 H34 O8,yes,L4.1
FT_1.098_313.14510,C19 H22 O4,NA,C19 H22 O4,TRUE,na,na,na,C19 H22 O4,yes,L4.1
FT_1.098_467.17215,C28 H20 N8,NA,NA,FALSE,,,no name,C28 H20 N8,,L4.3
FT_1.098_505.15079,C21 H20 N10 O S,NA,C22 H24 N2 O9,FALSE,na,na,na,na,na,delete
FT_1.099_327.12382,C19 H20 O5,NA,C19 H20 O5,TRUE,na,na,na,C19 H20 O5,yes,L4.1
FT_1.099_359.15054,C13 H24 N6 O4 S,NA,C20 H24 O6,FALSE,na,na,na,na,na,delete
FT_1.099_367.15552,C22 H24 O5,NA,C22 H24 O5,TRUE,na,na,na,na,na,delete
FT_1.099_435.18170,C26 H28 O6,NA,C26 H28 O6,TRUE,na,na,na,na,na,delete
FT_1.099_481.18695,C27 H30 O8,NA,C27 H30 O8,TRUE,na,na,na,C27 H30 O8,yes,L4.1
FT_1.099_533.21869,C24 H39 O11 P,NA,NA,FALSE,,,,,,delete
FT_1.099_539.19199,C23 H28 N10 O4 S,NA,C29 H32 O10,FALSE,na,na,na,na,na,delete
FT_1.100_493.18732,C22 H26 N10 O2 S,NA,C28 H30 O8,FALSE,na,na,na,C28 H30 O8,yes,L4.3
FT_1.101_369.20763,C16 H30 N6 O2 S,NA,C23 H30 O4,FALSE,na,na,na,C23 H30 O4,yes,L4.3
FT_1.100_531.20290,C15 H39 N10 O3 P3 S,NA,NA,FALSE,,,,,,delete
FT_1.102_683.24815,C35 H46 N2 O6 P2 S,NA,C34 H40 N2 O13,FALSE,na,na,na,C34 H40 N2 O13,yes,L4.3
FT_1.102_347.15021,C19 H24 O6,NA,C19 H24 O6,TRUE,na,na,na,C19 H24 O6,yes,L4.1
FT_1.102_371.07739,C19 H16 O8,NA,C19 H16 O8,TRUE,na,na,na,C19 H16 O8,yes,L4.1
FT_1.103_505.15096,C29 H22 N4 O5,NA,C28 H26 O9,FALSE,na,na,na,C28 H26 O9,yes,L4.3
FT_1.103_343.15545,C20 H24 O5,NA,C20 H24 O5,TRUE,na,na,na,C20 H24 O5,yes,L4.1
FT_1.104_449.16089,C19 H26 N6 O5 S,NA,C26 H26 O7,FALSE,na,na,na,C26 H26 O7,yes,L4.3
FT_1.104_697.22811,C32 H43 O15 P,NA,C39 H38 O12,FALSE,na,na,na,C39 H38 O12,yes,L4.3
FT_1.105_395.07803,C15 H27 O4 P3 S,NA,C21 H16 O8,FALSE,na,na,na,C21 H16 O8,yes,L4.3
FT_1.105_325.07196,C18 H14 O6,NA,C18 H14 O6,TRUE,na,na,na,na,na,delete
FT_1.105_695.21167,C30 H39 N10 O2 P3 S,NA,C39 H36 O12,FALSE,na,na,na,C39 H36 O12,yes,L4.3
FT_1.105_437.16079,C25 H26 O7,NA,C25 H26 O7,TRUE,na,na,na,C25 H26 O7,yes,L4.1
FT_1.106_423.18185,C19 H37 O4 P S2,NA,C25 H28 O6,FALSE,na,na,na,C25 H28 O6,yes,L4.3
FT_1.106_397.09359,C13 H24 N2 O8 P2,NA,C21 H18 O8,FALSE,na,na,na,na,na,delete
FT_1.107_629.23731,C32 H44 N2 O5 P2 S,NA,C36 H38 O10,FALSE,na,na,na,C36 H38 O10,yes,L4.3
FT_1.106_469.18738,C27 H34 O3 S2,NA,C26 H30 O8,FALSE,na,na,na,na,na,delete
FT_1.110_447.14570,C20 H25 N4 O6 P,NA,C26 H24 O7,FALSE,na,na,na,C26 H24 O7,yes,L4.3
FT_1.112_449.12469,C18 H31 O2 P3 S,NA,C24 H20 O6,FALSE,na,na,na,C24 H20 O6,yes,L4.3
FT_1.111_337.10853,C20 H18 O5,NA,C20 H18 O5,TRUE,"formula match, name sirius",83.57,"(E)-1-(5,7-dihydroxy-2,2-dimethylchromen-6-yl)-3-(4-hydroxyphenyl)prop-2-en-1-one",C20 H18 O5,na,L3.3
FT_1.116_381.09801,C15 H29 O3 P3 S,NA,C21 H18 O7,FALSE,na,na,na,C21 H18 O7,yes,L4.3
FT_1.113_421.09313,C23 H18 O8,NA,C23 H18 O8,TRUE,na,na,na,C23 H18 O8,yes,L4.1
FT_1.115_339.12404,C20 H20 O5,NA,C20 H20 O5,TRUE,na,na,na,C20 H20 O5,yes,L4.1
FT_1.118_397.09370,C14 H12 N10 S,NA,C20 H16 O6,FALSE,na,na,na,C20 H16 O6,yes,L4.3
FT_1.116_473.28266,C28 H43 O4 P,NA,C28 H43 O4 P,TRUE,na,na,na,C28 H43 O4 P,yes,L4.1
FT_1.116_641.23871,C34 H30 N10 O4,NA,C37 H38 O10,FALSE,na,na,na,na,na,delete
FT_1.117_357.13453,C20 H22 O6,NA,C20 H22 O6,TRUE,na,na,na,C20 H22 O6,yes,L4.1
FT_1.118_341.13963,C20 H22 O5,NA,C20 H22 O5,TRUE,na,na,na,C20 H22 O5,yes,L4.1
FT_1.121_297.11318,C11 H18 N6 O2 S,NA,C18 H18 O4,FALSE,na,na,na,C18 H18 O4,yes,L4.3
FT_1.118_543.23980,C20 H37 N10 O4 P S,NA,C33 H36 O7,FALSE,na,na,na,na,na,delete
FT_1.119_409.12982,C18 H19 N8 O2 P,NA,C23 H22 O7,FALSE,sirius name,86.16,Rotenalone,C23 H22 O7,na,L3.3
FT_1.125_451.14034,C22 H16 N10 O2,NA,C25 H24 O8,FALSE,na,na,na,C25 H24 O8,yes,L4.3
FT_1.123_379.08282,C15 H27 O3 P3 S,NA,C21 H16 O7,FALSE,na,na,na,na,na,delete
FT_1.123_467.20881,C21 H28 N10 O S,NA,C27 H32 O7,FALSE,na,na,na,na,na,delete
FT_1.124_343.11885,C19 H20 O6,NA,C19 H20 O6,TRUE,na,na,na,C19 H20 O6,yes,L4.1
FT_1.124_357.06182,C18 H8 N4 O2,fragment,C17 H12 O6,FALSE,,,,,,delete
FT_1.125_293.06668,C9 H19 N4 O P S2,NA,NA,FALSE,,,no name,C9 H19 N4 O P S2,,L4.3
FT_1.125_343.08237,C17 H14 O5,NA,C17 H14 O5,TRUE,na,na,na,C17 H14 O5,yes,L4.1
FT_1.125_357.06183,C18 H14 O8,NA,C18 H14 O8,TRUE,na,na,na,C18 H14 O8,yes,L4.1
FT_1.125_395.18595,C16 H34 N2 O5 P2,NA,C24 H28 O5,FALSE,na,na,na,na,na,delete
FT_1.126_509.14589,C21 H22 N10 O4 S,NA,C27 H26 O10,FALSE,na,na,na,C27 H26 O10,yes,L4.3
FT_1.127_479.13510,C27 H28 O4 S2,NA,C27 H20 N4 O5,FALSE,na,na,na,C27 H20 N4 O5,yes,L4.3
FT_1.127_433.12990,C25 H22 O7,NA,C25 H22 O7,TRUE,na,na,na,C25 H22 O7,yes,L4.1
FT_1.128_511.16121,C21 H24 N10 O4 S,NA,C27 H28 O10,FALSE,na,na,na,C27 H28 O10,yes,L4.3
FT_1.127_495.13019,C20 H35 O6 P3 S,NA,C26 H24 O10,FALSE,na,na,na,na,na,delete
FT_1.139_465.11984,C21 H28 N2 O4 P2 S,NA,C18 H26 O14,FALSE,na,na,na,C18 H26 O14,yes,L4.3
FT_1.129_383.18653,C23 H28 O5,NA,C23 H28 O5,TRUE,na,na,na,C23 H28 O5,yes,L4.1
FT_1.129_403.19169,C26 H28 O4,NA,C26 H28 O4,TRUE,na,na,na,na,na,delete
FT_1.129_411.10883,C22 H20 O8,NA,C22 H20 O8,TRUE,na,na,na,C22 H20 O8,yes,L4.1
FT_1.129_483.20261,C27 H32 O8,NA,C27 H32 O8,TRUE,na,na,na,C27 H32 O8,yes,L4.1
FT_1.129_537.21319,C36 H31 N2 O P,NA,NA,FALSE,,,,,,delete
FT_1.130_385.20231,C23 H30 O5,NA,C23 H30 O5,TRUE,na,na,na,C23 H30 O5,yes,L4.1
FT_1.131_217.05048,C12 H10 O4,NA,C12 H10 O4,TRUE,"formula match, name sirius",86.94,8-acetyl-7-hydroxy-4-methyl-chromen-2-one,C12 H10 O4,na,L3.3
FT_1.131_301.07202,C15 H12 O4,NA,C15 H12 O4,TRUE,na,na,na,C15 H12 O4,yes,L4.1
FT_1.134_409.09317,C22 H18 O8,NA,C22 H18 O8,TRUE,na,na,na,na,na,delete
FT_1.137_481.15080,C26 H26 O9,NA,C26 H26 O9,TRUE,na,na,na,C26 H26 O9,yes,L4.1
FT_1.139_397.20223,C24 H30 O5,NA,C24 H30 O5,TRUE,na,na,na,na,na,delete
FT_1.139_407.11429,C15 H26 N2 O7 P2,NA,C19 H24 N2 O4 S2,FALSE,na,na,na,na,na,delete
FT_1.143_629.20263,C39 H36 O4 P2,NA,C35 H34 O11,FALSE,na,na,na,C35 H34 O11,yes,L4.3
FT_1.139_511.12475,C26 H24 O11,NA,C26 H24 O11,TRUE,na,na,na,C26 H24 O11,yes,L4.1
FT_1.139_525.21340,C33 H36 O2 P2,NA,NA,FALSE,,,,,,delete
FT_1.140_353.10357,NA,NA,NA,TRUE,,,,,,delete
FT_1.140_379.11936,C23 H16 N4 O2,NA,C22 H20 O6,FALSE,na,na,na,na,na,delete
FT_1.140_531.29655,C26 H34 N10,NA,NA,FALSE,,,,,,delete
FT_1.141_331.11923,NA,NA,NA,TRUE,,,,,,delete
FT_1.141_331.11944,C18 H20 O6,NA,C18 H20 O6,TRUE,na,na,na,na,na,delete
FT_1.145_423.10924,C15 H26 N2 O8 P2,NA,C23 H20 O8,FALSE,na,na,na,C23 H20 O8,yes,L4.3
FT_1.144_285.07711,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_1.145_363.21795,C20 H30 O3,NA,C20 H30 O3,TRUE,na,na,na,C20 H30 O3,yes,L4.1
FT_1.150_429.15590,C16 H34 N2 O5 S3,NA,C23 H26 O8,FALSE,na,na,na,C23 H26 O8,yes,L4.3
FT_1.146_249.07678,C13 H14 O5,NA,C13 H14 O5,TRUE,na,na,na,C13 H14 O5,yes,L4.1
FT_1.146_261.07686,C14 H14 O5,NA,C14 H14 O5,TRUE,na,na,na,C14 H14 O5,yes,L4.1
FT_1.146_261.07689,C13 H12 O3,NA,C13 H12 O3,TRUE,na,na,na,na,na,delete
FT_1.147_425.12444,C23 H22 O8,NA,C23 H22 O8,TRUE,na,na,na,na,na,delete
FT_1.147_467.24337,C22 H37 N4 O5 P,NA,C28 H36 O6,FALSE,na,na,na,na,na,delete
FT_1.147_517.31708,C24 H47 N4 O6 P,NA,NA,FALSE,,,no name,C24 H47 N4 O6 P,,L4.3
FT_1.148_261.11318,C15 H18 O4,NA,C15 H18 O4,TRUE,na,na,na,C15 H18 O4,yes,L4.1
FT_1.148_393.09832,C12 H29 O8 P3,NA,NA,FALSE,,,no name,C12 H29 O8 P3,,L4.3
FT_1.148_579.25921,C20 H46 N4 O11 P2,NA,NA,FALSE,,,,,,delete
FT_1.149_643.25459,C38 H36 N4 O6,NA,NA,FALSE,,,no name,C38 H36 N4 O6,,L4.3
FT_1.149_645.23318,C29 H43 O14 P,NA,NA,FALSE,,,,,,delete
FT_1.150_465.11990,C19 H17 N8 O2 P,NA,C24 H20 O7,FALSE,na,na,na,C24 H20 O7,yes,L4.3
FT_1.150_457.15088,C17 H26 N6 O7 S,NA,NA,FALSE,,,,,,delete
FT_1.151_497.18144,C28 H26 N4 O5,NA,C27 H30 O9,FALSE,na,na,na,C27 H30 O9,yes,L4.3
FT_1.150_469.26039,C28 H38 O6,NA,C28 H38 O6,TRUE,na,na,na,na,na,delete
FT_1.152_353.06668,C13 H23 O5 P S2,NA,C19 H14 O7,FALSE,na,na,na,C19 H14 O7,yes,L4.3
FT_1.160_467.17136,C27 H24 N4 O4,NA,C23 H32 O8 S,FALSE,na,na,na,C23 H32 O8 S,yes,L4.3
FT_1.152_525.14092,C21 H35 O9 P S2,NA,C27 H26 O11,FALSE,na,na,na,na,na,delete
FT_1.153_269.21232,C16 H30 O3,NA,C16 H30 O3,TRUE,na,na,na,na,na,delete
FT_1.154_291.08759,C14 H14 O4,NA,C14 H14 O4,TRUE,na,na,na,C14 H14 O4,yes,L4.1
FT_1.156_231.06640,C6 H12 N6 O2 S,NA,NA,FALSE,,,,,,delete
FT_1.157_341.26983,C20 H38 O4,NA,C20 H38 O4,TRUE,na,na,na,C20 H38 O4,yes,L4.1
FT_1.159_355.11916,C20 H20 O6,NA,C20 H20 O6,TRUE,na,na,na,na,na,delete
FT_1.162_333.09826,C11 H19 N4 O6 P,NA,C17 H18 O7,FALSE,na,na,na,C17 H18 O7,yes,L4.3
FT_1.163_441.15573,C19 H23 N8 O3 P,NA,C24 H26 O8,FALSE,na,na,na,C24 H26 O8,yes,L4.3
FT_1.162_399.21799,C24 H32 O5,NA,C24 H32 O5,TRUE,na,na,na,na,na,delete
FT_1.162_437.12470,C11 H23 N10 O5 P S,NA,C24 H22 O8,FALSE,na,na,na,na,na,delete
FT_1.162_513.17657,C22 H35 N4 O4 P S2,NA,C28 H26 N4 O6,FALSE,na,na,na,na,na,delete
FT_1.163_397.12967,C16 H23 N4 O6 P,NA,C22 H22 O7,FALSE,na,na,na,na,na,delete
FT_1.164_299.09255,C11 H17 N4 O4 P,NA,C17 H16 O5,FALSE,na,na,na,C17 H16 O5,yes,L4.3
FT_1.164_371.22326,C23 H32 O4,NA,C18 H32 N2 O6,FALSE,na,na,na,C18 H32 N2 O6,yes,L4.3
FT_1.165_317.13977,C11 H22 N6 O3 S,NA,C18 H22 O5,FALSE,na,na,na,C18 H22 O5,yes,L4.3
FT_1.164_427.17685,C24 H28 O7,NA,C24 H28 O7,TRUE,na,na,na,C24 H28 O7,yes,L4.1
FT_1.168_315.12420,C11 H20 N6 O3 S,NA,C18 H20 O5,FALSE,na,na,na,C18 H20 O5,yes,L4.3
FT_1.166_263.09265,C13 H14 O3,NA,C13 H14 O3,TRUE,na,na,na,C13 H14 O3,yes,L4.1
FT_1.166_453.19186,C20 H26 N10 O S,NA,C26 H30 O7,FALSE,na,na,na,na,na,delete
FT_1.167_191.07140,C11 H12 O3,NA,C11 H12 O3,TRUE,na,na,na,C11 H12 O3,yes,L4.1
FT_1.167_565.28080,C30 H34 N10 O2,NA,NA,FALSE,,,no name,C30 H34 N10 O2,,L4.3
FT_1.168_313.10804,C18 H18 O5,NA,C18 H18 O5,TRUE,na,na,na,C18 H18 O5,yes,L4.1
FT_1.183_481.11480,C17 H28 N2 O10 P2,NA,C25 H22 O10,FALSE,na,na,na,C25 H22 O10,yes,L4.3
FT_1.168_379.15547,C17 H25 N4 O4 P,NA,C23 H24 O5,FALSE,na,na,na,na,na,delete
FT_1.170_365.17596,C23 H26 O4,NA,C23 H26 O4,TRUE,na,na,na,na,na,delete
FT_1.170_485.18187,C30 H32 O2 P2,NA,NA,FALSE,,,no name,C30 H32 O2 P2,,L4.3
FT_1.171_191.03499,C10 H8 O4,NA,C10 H8 O4,TRUE,na,na,na,C10 H8 O4,yes,L4.1
FT_1.172_319.08264,C15 H14 O5,NA,C15 H14 O5,TRUE,na,na,na,na,na,delete
FT_1.173_373.09320,C18 H16 O6,NA,C18 H16 O6,TRUE,na,na,na,C18 H16 O6,yes,L4.1
FT_1.175_177.05571,C10 H10 O3,NA,C10 H10 O3,TRUE,na,na,na,C10 H10 O3,yes,L4.1
FT_1.175_333.13446,C17 H20 O4,NA,C17 H20 O4,TRUE,na,na,na,na,na,delete
FT_1.175_409.09315,C22 H18 O8,NA,C22 H18 O8,TRUE,na,na,na,C22 H18 O8,yes,L4.1
FT_1.176_235.09722,C13 H16 O4,NA,C13 H16 O4,TRUE,na,na,na,C13 H16 O4,yes,L4.1
FT_1.176_373.09315,C19 H18 O8,NA,C19 H18 O8,TRUE,na,na,na,C19 H18 O8,yes,L4.1
FT_1.176_413.16107,C23 H26 O7,NA,C23 H26 O7,TRUE,na,na,na,C23 H26 O7,yes,L4.1
FT_1.177_221.04552,C10 H8 O3,NA,C10 H8 O3,TRUE,na,na,na,C10 H8 O3,yes,L4.1
FT_1.177_445.22334,C21 H40 N2 O2 P2 S,NA,NA,FALSE,,,,,,delete
FT_1.179_247.06132,C13 H12 O5,NA,C13 H12 O5,TRUE,na,na,na,C13 H12 O5,yes,L4.1
FT_1.179_299.22279,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_1.179_467.09887,C17 H30 N2 O5 P2 S2,NA,C17 H30 N2 O5 P2 S2,TRUE,na,na,na,C17 H30 N2 O5 P2 S2,yes,L4.1
FT_1.179_483.23882,C28 H36 O7,NA,C21 H41 O10 P,FALSE,na,na,na,na,na,delete
FT_1.179_643.21823,C41 H34 N4 P2,NA,NA,FALSE,,,no name,C41 H34 N4 P2,,L4.3
FT_1.180_431.17171,NA,NA,NA,TRUE,,,,,,delete
FT_1.186_411.18163,C18 H29 N4 O5 P,NA,C24 H28 O6,FALSE,na,na,na,C24 H28 O6,yes,L4.3
FT_1.197_483.20258,C28 H28 N4 O4,NA,C27 H32 O8,FALSE,na,na,na,C27 H32 O8,yes,L4.3
FT_1.184_411.10883,C17 H17 N8 O3 P,NA,C22 H20 O8,FALSE,"keep sirius structure, coconut",86.36,"6-acetyl-13-hydroxy-16,17-dimethoxy-2,7,20-trioxapentacyclo[11.8.0.0^{3,11}.0^{4,8}.0^{14,19}]henicosa-3,8,10,14(19),15,17-hexaen-12-one",C22 H20 O8,yes,L3.3
FT_1.185_365.16093,C20 H30 O2 S2,NA,C17 H26 N4 O3 S,FALSE,na,na,na,na,na,delete
FT_1.197_497.14584,C23 H18 N10 O4,NA,C26 H26 O10,FALSE,na,na,na,C26 H26 O10,yes,L4.3
FT_1.186_415.21304,C18 H33 N4 O5 P,NA,NA,FALSE,,,,,,delete
FT_1.186_415.21306,C17 H31 N4 O3 P,NA,NA,FALSE,,,no name,C17 H31 N4 O3 P,,L4.3
FT_1.186_421.20261,C26 H30 O5,NA,C26 H30 O5,TRUE,na,na,na,C26 H30 O5,yes,L4.1
FT_1.187_259.06157,C9 H9 N8 P,NA,NA,FALSE,,,no name,C9 H9 N8 P,,L4.3
FT_1.190_467.20730,C27 H32 O7,NA,C27 H32 O7,TRUE,na,na,na,C27 H32 O7,yes,L4.1
FT_1.191_313.23881,C18 H34 O4,NA,NA,FALSE,,,,,,delete
FT_1.191_695.28492,C38 H51 O6 P3,NA,NA,FALSE,,,no name,C38 H51 O6 P3,,L4.3
FT_1.193_317.17604,C12 H26 N6 O2 S,NA,C19 H26 O4,FALSE,na,na,na,na,na,delete
FT_1.195_279.08749,C14 H16 O6,NA,C14 H16 O6,TRUE,na,na,na,C14 H16 O6,yes,L4.1
FT_1.195_315.08770,C17 H16 O6,NA,C17 H16 O6,TRUE,na,na,na,na,na,delete
FT_1.196_495.13013,C27 H28 O5 S2,NA,C26 H24 O10,FALSE,na,na,na,na,na,delete
FT_1.197_209.15452,C13 H22 O2,NA,C13 H22 O2,TRUE,na,na,na,C13 H22 O2,yes,L4.1
FT_1.197_359.07734,C18 H16 O8,NA,C18 H16 O8,TRUE,na,na,na,C18 H16 O8,yes,L4.1
FT_1.197_409.16583,C24 H26 O6,NA,C24 H26 O6,TRUE,na,na,na,C24 H26 O6,yes,L4.1
FT_1.207_367.15525,C16 H25 N4 O4 P,NA,C19 H28 O5 S,FALSE,na,na,na,C19 H28 O5 S,yes,L4.3
FT_1.211_395.11430,C23 H24 O2 S2,NA,C18 H24 N2 O4 S2,FALSE,na,na,na,C18 H24 N2 O4 S2,yes,L4.3
FT_1.198_253.14456,C14 H22 O4,NA,C14 H22 O4,TRUE,na,na,na,C14 H22 O4,yes,L4.1
FT_1.199_379.14010,C20 H20 N4 O4,NA,C19 H24 O8,FALSE,na,na,na,na,na,delete
FT_1.200_453.11974,C18 H33 O5 P3 S,NA,C17 H26 O14,FALSE,na,na,na,na,na,delete
FT_1.201_361.16591,C20 H26 O6,NA,C20 H26 O6,TRUE,na,na,na,C20 H26 O6,yes,L4.1
FT_1.203_465.11912,C25 H22 O9,NA,C25 H22 O9,TRUE,na,na,na,na,na,delete
FT_1.204_305.10312,C16 H12 N4,NA,NA,FALSE,,,,,,delete
FT_1.205_453.15539,C19 H22 N10 O2 S,NA,C25 H26 O8,FALSE,na,na,na,na,na,delete
FT_1.206_263.05615,C13 H12 O6,NA,C13 H12 O6,TRUE,na,na,na,C13 H12 O6,yes,L4.1
FT_1.206_431.20775,C11 H35 N10 O2 P3,NA,NA,FALSE,,,,,,delete
FT_1.206_485.14600,C17 H32 N2 O10 P2,NA,C25 H26 O10,FALSE,na,na,na,na,na,delete
FT_1.216_265.07182,C14 H18 O S2,NA,C13 H14 O6,FALSE,na,na,na,C13 H14 O6,yes,L4.3
FT_1.211_341.13957,C20 H22 O5,NA,C20 H22 O5,TRUE,na,na,na,na,na,delete
FT_1.227_379.11892,C23 H16 N4 O2,NA,C22 H20 O6,FALSE,na,na,na,C22 H20 O6,yes,L4.3
FT_1.213_265.07180,C12 H12 O4,NA,C12 H12 O4,TRUE,na,na,na,C12 H12 O4,yes,L4.1
FT_1.213_305.10306,C16 H18 O6,NA,NA,FALSE,,,,,,delete
FT_1.213_397.09420,C22 H14 N4 O4,NA,C21 H18 O8,FALSE,na,na,na,na,na,delete
FT_1.215_711.28043,C38 H36 N10 O5,NA,NA,FALSE,,,no name,C38 H36 N10 O5,,L4.3
FT_1.230_411.07272,C15 H27 O5 P3 S,NA,C19 H16 N4 O5 S,FALSE,na,na,na,C19 H16 N4 O5 S,yes,L4.3
FT_1.219_287.22285,C16 H32 O4,NA,C16 H32 O4,TRUE,na,na,na,C16 H32 O4,yes,L4.1
FT_1.219_343.15547,C11 H26 N2 O5 S,NA,C16 H26 O3 S,FALSE,na,na,na,na,na,delete
FT_1.221_343.15548,C20 H24 O5,NA,C20 H24 O5,TRUE,na,na,na,na,na,delete
FT_1.222_277.07169,C14 H14 O6,NA,C14 H14 O6,TRUE,na,na,na,na,na,delete
FT_1.223_327.16036,C20 H24 O4,NA,C20 H24 O4,TRUE,na,na,na,C20 H24 O4,yes,L4.1
FT_1.223_401.12465,C13 H28 N2 O8 P2,NA,NA,FALSE,,,no name,C13 H28 N2 O8 P2,,L4.3
FT_1.223_467.28041,C29 H40 O5,NA,C29 H40 O5,TRUE,na,na,na,C29 H40 O5,yes,L4.1
FT_1.223_509.18151,C32 H32 O2 P2,NA,NA,FALSE,,,,,,delete
FT_1.225_339.12397,C13 H20 N6 O3 S,NA,C20 H20 O5,FALSE,keep sirius structure,88.15,6-Prenylnaringenin,C20 H20 O5,na,L3.3
FT_1.225_417.22834,C24 H34 O6,NA,NA,FALSE,,,,,,delete
FT_1.235_325.14473,C14 H23 N4 O3 P,NA,C20 H22 O4,FALSE,na,na,na,C20 H22 O4,yes,L4.3
FT_1.230_387.07246,C20 H12 N4 O5,NA,C19 H16 O9,FALSE,keep sirius structure,88.14,9'-Methylprotocetraric acid,C19 H16 O9,na,L3.3
FT_1.236_403.10379,C15 H25 N4 O3 P S2,NA,C20 H20 O9,FALSE,na,na,na,C20 H20 O9,yes,L4.3
FT_1.233_333.13454,C12 H23 N4 O5 P,NA,C18 H22 O6,FALSE,na,na,na,na,na,delete
FT_1.233_413.23389,C25 H34 O5,NA,C25 H34 O5,TRUE,na,na,na,C25 H34 O5,yes,L4.1
