FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_1.699_247.02483,C12 H8 O6,NA,C12 H8 O6,TRUE,na,na,na,C12 H8 O6,yes,L4.1
FT_1.939_216.98085,C2 H3 N8 O P S,NA,C7 H8 O4 P2,FALSE,na,na,na,C7 H8 O4 P2,yes,L4.3
FT_1.704_181.08693,C10 H14 O3,NA,C10 H14 O3,TRUE,na,na,na,na,na,delete
FT_1.978_315.10881,C15 H24 O3 S2,NA,C14 H20 O8,FALSE,na,na,na,C14 H20 O8,yes,L4.3
FT_1.709_189.07684,C8 H14 O5,NA,C8 H14 O5,TRUE,na,na,na,C8 H14 O5,yes,L4.1
FT_1.714_559.18249,C20 H38 N2 O12 P2,NA,C34 H28 N2 O6,FALSE,na,na,na,na,na,delete
FT_1.731_323.07746,C15 H16 O8,NA,C15 H16 O8,TRUE,na,na,na,C15 H16 O8,yes,L4.1
FT_1.750_211.06112,C10 H12 O5,NA,C10 H12 O5,TRUE,na,na,na,C10 H12 O5,yes,L4.1
FT_1.780_225.07683,C11 H14 O5,NA,C11 H14 O5,TRUE,na,na,na,na,na,delete
FT_1.783_295.04601,C13 H12 O8,NA,C13 H12 O8,TRUE,na,na,na,C13 H12 O8,yes,L4.1
FT_1.801_171.06628,C8 H12 O4,NA,C8 H12 O4,TRUE,na,na,na,na,na,delete
FT_1.807_279.08746,C14 H16 O6,NA,C14 H16 O6,TRUE,na,na,na,C14 H16 O6,yes,L4.1
FT_1.979_256.97591,C3 H9 N4 O4 P3,NA,C9 H8 O5 P2,FALSE,na,na,na,C9 H8 O5 P2,yes,L4.3
FT_1.980_242.02817,C5 H5 N7 O5,NA,C6 H14 N O5 P S,FALSE,na,na,na,C6 H14 N O5 P S,yes,L4.3
FT_10.760_485.15131,C19 H26 N4 O11,NA,C18 H30 O15,FALSE,na,na,na,C18 H30 O15,yes,L4.3
FT_1.865_309.06179,C14 H14 O8,NA,C14 H14 O8,TRUE,na,na,na,C14 H14 O8,yes,L4.1
FT_1.872_215.09258,C10 H16 O5,NA,C10 H16 O5,TRUE,na,na,na,na,na,delete
FT_1.904_269.10308,C13 H18 O6,NA,C13 H18 O6,TRUE,na,na,na,C13 H18 O6,yes,L4.1
FT_10.760_553.13878,C25 H32 O10 P2,NA,C21 H30 O17,FALSE,na,na,na,C21 H30 O17,yes,L4.3
FT_1.978_113.06086,C6 H10 O2,fragment,C6 H10 O2,TRUE,,,,,,delete
FT_1.978_157.05057,C7 H10 O4,NA,C7 H10 O4,TRUE,"formula match, name sirius",81.74,Isopropylidene-succinic acid,C7 H10 O4,na,L3.3
FT_10.760_585.07635,C33 H18 N2 O7 S,NA,C21 H24 N4 O12 P2,FALSE,na,na,na,C21 H24 N4 O12 P2,yes,L4.3
FT_11.141_455.10204,C13 H31 O11 P3,NA,C17 H20 N4 O11,FALSE,na,na,na,C17 H20 N4 O11,yes,L4.3
FT_11.147_441.03427,C17 H19 N2 O6 P S2,NA,C10 H16 N6 O10 P2,FALSE,na,na,na,C10 H16 N6 O10 P2,yes,L4.3
FT_10.165_266.08820,C9 H17 N O8,NA,C10 H13 N5 O4,FALSE,keep sirius name,85.92,adenosine,C10 H13 N5 O4,na,L3.3
FT_10.165_329.08405,C10 H14 N6 O7,NA,NA,FALSE,,,no name,C10 H14 N6 O7,,L4.3
FT_10.211_401.13034,C14 H26 O13,NA,C14 H26 O13,TRUE,"formula match, name sirius",81.44,Hep-Hep,C14 H26 O13,na,L3.3
FT_10.755_259.12997,C11 H20 N2 O5,NA,C11 H20 N2 O5,TRUE,"formula match, name sirius",100,gamma-Glu-leu,C11 H20 N2 O5,na,L3.3
FT_12.208_441.03444,C17 H19 N2 O6 P S2,NA,C10 H16 N6 O10 P2,FALSE,na,na,na,C10 H16 N6 O10 P2,yes,L4.3
FT_12.209_729.23024,C22 H47 N4 O14 P3,NA,C31 H40 O17,FALSE,na,na,na,C31 H40 O17,yes,L4.3
FT_12.211_444.03209,C13 H16 N7 O5 P S2,NA,C10 H17 N5 O11 P2,FALSE,na,na,na,C10 H17 N5 O11 P2,yes,L4.3
FT_10.768_401.13033,C14 H26 O13,NA,C14 H26 O13,TRUE,na,na,na,C14 H26 O13,yes,L4.1
FT_10.775_157.06179,C6 H10 N2 O3,NA,C6 H10 N2 O3,TRUE,na,na,na,C6 H10 N2 O3,yes,L4.1
FT_10.894_315.13125,C12 H20 N4 O6,NA,C12 H20 N4 O6,TRUE,"formula match, name sirius",96.31,N-acetyl-L-glutaminyl-L-glutamine,C12 H20 N4 O6,yes,L3.3
FT_12.212_455.10198,C13 H31 O11 P3,NA,C21 H20 N4 O6 S,FALSE,na,na,na,C21 H20 N4 O6 S,yes,L4.3
