FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Action_decision,Sirus_notes,Sirius_percentage,Sirius_name,Sirius_formula,CMMRT_name,CMMRT_formula,Correlation_duplicated annotations,Final_name,Final_formula,Final_decision
FT_2.484_112.05050,Cytosine,C4 H5 N3 O,111.04326,111.04322,2,0,100,C00380,NA,duplicated,check with sirius,"cytosine, 98%",na,na,na,na,na,0,Cytosine,C4 H5 N3 O,L2
FT_2.525_435.11107,NP-020903,C20 H25 Cl O7,412.12888,434.10379,2,0,89.1,NA,NA,halogenated,0,keep sirius formula,na,na,na,no name,na,0,no name,C17H22O13,L4.3
FT_2.642_112.05049,Cytosine,C4 H5 N3 O,111.04326,111.04321,2,0,99.9,C00380,NA,duplicated,check with sirius,"cytosine, 97.92%",na,na,na,na,na,0,Cytosine,C4 H5 N3 O,L2
FT_2.753_144.10191,DL-Stachydrine,C7 H13 N O2,143.09463,143.09463,2,0,78,NA,NA,0,L2,na,na,2-Piperidin-2-ylacetate,C7H12NO2,different name,same formula,0,2-Piperidin-2-ylacetate,C7H12NO2,L3.3
FT_2.880_158.15396,"2,2,6,6-Tetramethyl-4-piperidinol",C9 H19 N O,157.14666,157.14669,3,0,99,NA,NA,0,L2,na,na,na,na,na,na,0,"2,2,6,6-Tetramethyl-4-piperidinol",C9 H19 N O,L2
FT_2.882_184.05804,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,161.07015,183.05077,2,0,80.9,NA,NA,Adduct 21.98 Da,check with sirius,na,na,na,na,na,na,0.97,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,L2
FT_20.022_321.24095,NP-011548,C18 H34 O3,298.25079,320.23401,9,0,93.8,NA,NA,"Adduct 21.98 Da, low quality",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.038_217.12230,"7-(1-pyrrolidinyl)pyrimido[4,5-d]pyrimidin-4-amine",C10 H12 N6,216.11234,216.11502,1,0,90.8,NA,NA,"Adduct 12.38 ppm, low qualty",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.077_451.21163,Nα-{[(2R)-1-(4-morpholinylcarbonyl)-2-piperazinyl]carbonyl}-D-tryptophanamide,C21 H28 N6 O4,428.2172,450.20435,2,0,72.1,NA,NA,Adduct 21.98 Da,keep sirius,na,66.49,"(2S)-6-(Gamma,Gamma-Dimethylallyl)-5-Hydroxy-3',4'-Dimethoxy-6'',6''-Dimethylpyran(2'',3'':7,8)Flavanone",C27H30O6,different name,same formula,0,"(2S)-6-(Gamma,Gamma-Dimethylallyl)-5-Hydroxy-3',4'-Dimethoxy-6'',6''-Dimethylpyran(2'',3'':7,8)Flavanone",C27H30O6,L3.3
FT_20.079_343.22453,"5-(1,2,4a,5-tetramethyl-7-oxo-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl)-3-methylpentanoic acid",C20 H32 O3,320.23514,342.21726,2,0,97.9,NA,NA,"Adduct 21.98 Da, low quality",delete,delete,delete,delete,delete,delete,delete,low,delete,delete,delete
FT_20.085_305.21103,6ß-Hydroxytestosterone,C19 H28 O3,304.20384,304.2038,1,0,68,C14497,NA,Low quality,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.090_493.25649,NP-007425,C28 H38 O6,470.26684,492.24921,4,0,90.9,NA,NA,"Adduct 21.98 Da, low quality",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.103_409.23535,NP-016839,C24 H34 O4,386.24571,408.22808,1,0,77.4,NA,NA,"Adduct 21.98 Da, low quality",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.104_285.24245,"16-Heptadecyne-1,2,4-triol",C17 H32 O3,284.23514,284.23528,2,0,78.9,NA,NA,Low quality,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.113_473.19368,WMH,C22 H28 N6 O4 S,472.18927,472.1864,1,0,78.7,NA,NA,"Adduct -6.08, low quality, duplicated",keep sirius,0,65.93,5-Formimidoyltetrahydrofolic acid,C20H24N8O6,no name,same formula,0,5-Formimidoyltetrahydrofolic acid,C20H24N8O6,L3.3
FT_20.117_235.09648,NP-020205,C11 H16 O4,212.10486,234.08921,8,0,85.9,NA,NA,"Adduct 21.98 Da, low quality",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.125_207.06518,Scoparone,C11 H10 O4,206.05791,206.0579,2,0,75.8,C09311,NA,0,L2,na,na,na,na,na,na,na,Scoparone,C11 H10 O4,L2
FT_20.127_319.22635,NP-014287,C18 H32 O3,296.23514,318.21925,17,0,91.5,NA,NA,"Adduct 21.98 Da, low quality",L2,delete,delete,delete,delete,delete,delete,highier 0.8,delete,delete,delete
