ko_id,name,pathway,reaction,brite,db_links
K09779,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K09779  K09779; uncharacterized protein,COG: COG2155
K22553,4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15],Benzoate degradation;Microbial metabolism in diverse environments,"4-methoxybenzoate,hydrogen-donor:oxygen oxidoreductase (O-demethylating)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09111 Xenobiotics biodegradation and metabolism;   00362 Benzoate degradation;    K22553  CYP199A2; 4-methoxybenzoate monooxygenase (O-demethylating); 09180 Brite Hierarchies;  09181 Protein families: metabolism;   00199 Cytochrome P450;    K22553  CYP199A2; 4-methoxybenzoate monooxygenase (O-demethylating);Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.99  Miscellaneous;    1.14.99.15  4-methoxybenzoate monooxygenase (O-demethylating);     K22553  CYP199A2; 4-methoxybenzoate monooxygenase (O-demethylating);Cytochrome P450 [BR:ko00199]; Cytochrome P450, bacteria type;  CYP199 family;   K22553  CYP199A2; 4-methoxybenzoate monooxygenase (O-demethylating)",COG: COG2124;GO: 0018690
K10907,aminotransferase [EC:2.6.1.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01007 Amino acid related enzymes;    K10907  K10907; aminotransferase;Amino acid related enzymes [BR:ko01007]; Aminotransferase (transaminase);  Class I;   K10907  K10907; aminotransferase,COG: COG0436
K22935,D-ribulokinase [EC:2.7.1.47],Pentose and glucuronate interconversions;Metabolic pathways,ATP:D-ribulose 5-phosphotransferase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00040 Pentose and glucuronate interconversions;    K22935  XK1, psk; D-ribulokinase;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.1  Phosphotransferases with an alcohol group as acceptor;    2.7.1.47  D-ribulokinase;     K22935  XK1, psk; D-ribulokinase",COG: COG1070;GO: 0019150
K10231,kojibiose phosphorylase [EC:2.4.1.230],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K10231  kojP; kojibiose phosphorylase;Enzymes [BR:ko01000]; 2. Transferases;  2.4  Glycosyltransferases;   2.4.1  Hexosyltransferases;    2.4.1.230  kojibiose phosphorylase;     K10231  kojP; kojibiose phosphorylase,COG: COG1554;GO: 0033831;CAZy: GH65
K15754,"2'-aminobiphenyl-2,3-diol 1,2-dioxygenase, small subunit [EC:1.13.11.-]",Dioxin degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,R05415,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09111 Xenobiotics biodegradation and metabolism;   00621 Dioxin degradation;    K15754  carBa; 2'-aminobiphenyl-2,3-diol 1,2-dioxygenase, small subunit;Dioxygenases [br01602.html]; Dioxygenases in aromatic ring cleavage;  K15754",GO: 0018561
K19223,peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-],NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01002 Peptidases and inhibitors;    K19223  lytF, cwlE; peptidoglycan DL-endopeptidase LytF;   01011 Peptidoglycan biosynthesis and degradation proteins;    K19223  lytF, cwlE; peptidoglycan DL-endopeptidase LytF;Peptidases and inhibitors [BR:ko01002]; Cysteine peptidases;  Family C40;   K19223  lytF, cwlE; peptidoglycan DL-endopeptidase LytF;Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]; Peptidoglycan biosynthesis and degradation;  Endopeptidase;   K19223  lytF, cwlE; peptidoglycan DL-endopeptidase LytF",COG: COG0791 COG1388;CAZy: CBM50
K22209,D(-)-tartrate dehydratase [EC:4.2.1.81],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K22209  tarD; D(-)-tartrate dehydratase;Enzymes [BR:ko01000]; 4. Lyases;  4.2  Carbon-oxygen lyases;   4.2.1  Hydro-lyases;    4.2.1.81  D(-)-tartrate dehydratase;     K22209  tarD; D(-)-tartrate dehydratase,COG: COG4948;GO: 0047808
K25528,phosphoserine phosphatase [EC:3.1.3.3],"Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",O-phospho-L-serine phosphohydrolase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00680 Methane metabolism;    K25528  ysaA; phosphoserine phosphatase;  09105 Amino acid metabolism;   00260 Glycine, serine and threonine metabolism;    K25528  ysaA; phosphoserine phosphatase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.1  Acting on ester bonds;   3.1.3  Phosphoric-monoester hydrolases;    3.1.3.3  phosphoserine phosphatase;     K25528  ysaA; phosphoserine phosphatase",COG: COG1011;GO: 0036424
K07441,"beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]",N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,R05970,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00510 N-Glycan biosynthesis;    K07441  ALG14; beta-1,4-N-acetylglucosaminyltransferase;   00513 Various types of N-glycan biosynthesis;    K07441  ALG14; beta-1,4-N-acetylglucosaminyltransferase; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K07441  ALG14; beta-1,4-N-acetylglucosaminyltransferase;Enzymes [BR:ko01000]; 2. Transferases;  2.4  Glycosyltransferases;   2.4.1  Hexosyltransferases;    2.4.1.141  N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;     K07441  ALG14; beta-1,4-N-acetylglucosaminyltransferase;Glycosyltransferases [BR:ko01003]; N-Glycan biosynthesis;  Dol-linked oligosaccharide;   K07441  ALG14; beta-1,4-N-acetylglucosaminyltransferase",GO: 0004577;CAZy: GT1
