ko_id,name,pathway,reaction,brite,db_links
K02407,flagellar hook-associated protein 2,Flagellar assembly,NA,KEGG Orthology (KO) [BR:ko00001]; 09140 Cellular Processes;  09142 Cell motility;   02040 Flagellar assembly;    K02407  fliD; flagellar hook-associated protein 2; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02035 Bacterial motility proteins;    K02407  fliD; flagellar hook-associated protein 2;Bacterial motility proteins [BR:ko02035]; Flagellar system;  Flagellar assembly proteins;   Filament;    K02407  fliD; flagellar hook-associated protein 2,COG: COG1345
K02039,phosphate transport system protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09193 Unclassified: signaling and cellular processes;   99994 Others;    K02039  phoU; phosphate transport system protein,COG: COG0704
K07636,"two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",Two-component system,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   02020 Two-component system;    K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01001 Protein kinases;    K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;  09183 Protein families: signaling and cellular processes;   02022 Two-component system;    K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.13  Protein-histidine kinases;    2.7.13.3  histidine kinase;     K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;Protein kinases [BR:ko01001]; Histidine kinases;  OmpR family;   K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;Two-component system [BR:ko02022]; OmpR family;  PhoR-PhoB (phosphate starvation response);   K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR",COG: COG0642;GO: 0000155
K04095,"cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K04095  fic, FICD, HYPE; cell filamentation protein, protein adenylyltransferase;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.7  Nucleotidyltransferases;    2.7.7.108  protein adenylyltransferase;     K04095  fic, FICD, HYPE; cell filamentation protein, protein adenylyltransferase;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K04095  fic, FICD, HYPE; cell filamentation protein, protein adenylyltransferase",COG: COG2184;GO: 0070733
K18622,adducin,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   04812 Cytoskeleton proteins;    K18622  ADD; adducin;Cytoskeleton proteins [BR:ko04812]; Eukaryotic cytoskeleton proteins;  Actin filaments / Microfilaments;   Actin-binding proteins;    Others;     K18622  ADD; adducin,NA
K06131,cardiolipin synthase A/B [EC:2.7.8.-],Glycerophospholipid metabolism;Metabolic pathways,R07390,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09103 Lipid metabolism;   00564 Glycerophospholipid metabolism;    K06131  clsA_B; cardiolipin synthase A/B,COG: COG1502;GO: 0008808
K10536,agmatine deiminase [EC:3.5.3.12],Arginine and proline metabolism;Metabolic pathways,agmatine iminohydrolase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00330 Arginine and proline metabolism;    K10536  aguA; agmatine deiminase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds;   3.5.3  In linear amidines;    3.5.3.12  agmatine deiminase;     K10536  aguA; agmatine deiminase",COG: COG2957;GO: 0047632
K12251,N-carbamoylputrescine amidase [EC:3.5.1.53],Arginine and proline metabolism;Metabolic pathways,N-carbamoylputrescine amidohydrolase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00330 Arginine and proline metabolism;    K12251  aguB; N-carbamoylputrescine amidase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds;   3.5.1  In linear amides;    3.5.1.53  N-carbamoylputrescine amidase;     K12251  aguB; N-carbamoylputrescine amidase",COG: COG0388;GO: 0050126
K06940,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K06940  K06940; uncharacterized protein,COG: COG0727
K02418,flagellar protein FliO/FliZ,Flagellar assembly,NA,"KEGG Orthology (KO) [BR:ko00001]; 09140 Cellular Processes;  09142 Cell motility;   02040 Flagellar assembly;    K02418  fliO, fliZ; flagellar protein FliO/FliZ; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02044 Secretion system;    K02418  fliO, fliZ; flagellar protein FliO/FliZ;   02035 Bacterial motility proteins;    K02418  fliO, fliZ; flagellar protein FliO/FliZ;Secretion system [BR:ko02044]; Type III secretion system;  Flagellar export apparatus;   K02418  fliO, fliZ; flagellar protein FliO/FliZ;Bacterial motility proteins [BR:ko02035]; Flagellar system;  Flagellar assembly proteins;   Type-III secretion;    K02418  fliO, fliZ; flagellar protein FliO/FliZ",COG: COG3190;TC: 3.A.6.2
K01808,ribose 5-phosphate isomerase B [EC:5.3.1.6],Pentose phosphate pathway;Fructose and mannose metabolism;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids,D-ribose-5-phosphate aldose-ketose-isomerase;D-allose-6-phosphate aldose-ketose-isomerase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00030 Pentose phosphate pathway;    K01808  rpiB; ribose 5-phosphate isomerase B;   00051 Fructose and mannose metabolism;    K01808  rpiB; ribose 5-phosphate isomerase B;  09102 Energy metabolism;   00710 Carbon fixation in photosynthetic organisms;    K01808  rpiB; ribose 5-phosphate isomerase B;Enzymes [BR:ko01000]; 5. Isomerases;  5.3  Intramolecular oxidoreductases;   5.3.1  Interconverting aldoses and ketoses, and related compounds;    5.3.1.6  ribose-5-phosphate isomerase;     K01808  rpiB; ribose 5-phosphate isomerase B",COG: COG0698;GO: 0004751
K20034,3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44],Sulfur metabolism;Metabolic pathways,3-(methylthio)propanoate:CoA ligase (AMP-forming),KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00920 Sulfur metabolism;    K20034  dmdB; 3-(methylthio)propionyl---CoA ligase;Enzymes [BR:ko01000]; 6. Ligases;  6.2  Forming carbon-sulfur bonds;   6.2.1  Acid-thiol ligases;    6.2.1.44  3-(methylthio)propionyl---CoA ligase;     K20034  dmdB; 3-(methylthio)propionyl---CoA ligase,COG: COG0318
K03605,hydrogenase maturation protease [EC:3.4.23.-],NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01002 Peptidases and inhibitors;    K03605  hyaD, hybD; hydrogenase maturation protease;Peptidases and inhibitors [BR:ko01002]; Aspartic peptidases;  Family A31: HybD endopeptidase family;   K03605  hyaD, hybD; hydrogenase maturation protease",COG: COG0680
K04651,hydrogenase nickel incorporation protein HypA/HybF,NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03110 Chaperones and folding catalysts;    K04651  hypA, hybF; hydrogenase nickel incorporation protein HypA/HybF;Chaperones and folding catalysts [BR:ko03110]; Other chaperones and cochaperones;  Others;   K04651  hypA, hybF; hydrogenase nickel incorporation protein HypA/HybF",COG: COG0375
K04652,hydrogenase nickel incorporation protein HypB,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03110 Chaperones and folding catalysts;    K04652  hypB; hydrogenase nickel incorporation protein HypB;Chaperones and folding catalysts [BR:ko03110]; Other chaperones and cochaperones;  Others;   K04652  hypB; hydrogenase nickel incorporation protein HypB,COG: COG0378
K24116,N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K24116  scmK; N-acetyl-S-(2-succino)cysteine monooxygenase,COG: COG2141
K02071,D-methionine transport system ATP-binding protein,ABC transporters,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K02071  metN; D-methionine transport system ATP-binding protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K02071  metN; D-methionine transport system ATP-binding protein;Transporters [BR:ko02000]; ABC transporters, prokaryotic type;  Phosphate and amino acid transporters;   D-Methionine transporter;    K02071  metN; D-methionine transport system ATP-binding protein",COG: COG1135;TC: 3.A.1.24
K02072,D-methionine transport system permease protein,ABC transporters,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K02072  metI; D-methionine transport system permease protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K02072  metI; D-methionine transport system permease protein;Transporters [BR:ko02000]; ABC transporters, prokaryotic type;  Phosphate and amino acid transporters;   D-Methionine transporter;    K02072  metI; D-methionine transport system permease protein",COG: COG2011;TC: 3.A.1.24
K03474,pyridoxine 5-phosphate synthase [EC:2.6.99.2],Vitamin B6 metabolism;Metabolic pathways;Biosynthesis of cofactors,pyridoxine 5'-phosphate synthase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09108 Metabolism of cofactors and vitamins;   00750 Vitamin B6 metabolism;    K03474  pdxJ; pyridoxine 5-phosphate synthase;Enzymes [BR:ko01000]; 2. Transferases;  2.6  Transferring nitrogenous groups;   2.6.99  Transferring other nitrogenous groups;    2.6.99.2  pyridoxine 5'-phosphate synthase;     K03474  pdxJ; pyridoxine 5-phosphate synthase,COG: COG0854
K02341,DNA polymerase III subunit delta' [EC:2.7.7.7],DNA replication;Mismatch repair;Homologous recombination,NA,KEGG Orthology (KO) [BR:ko00001]; 09120 Genetic Information Processing;  09124 Replication and repair;   03030 DNA replication;    K02341  holB; DNA polymerase III subunit delta';   03430 Mismatch repair;    K02341  holB; DNA polymerase III subunit delta';   03440 Homologous recombination;    K02341  holB; DNA polymerase III subunit delta'; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03032 DNA replication proteins;    K02341  holB; DNA polymerase III subunit delta';   03400 DNA repair and recombination proteins;    K02341  holB; DNA polymerase III subunit delta';Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.7  Nucleotidyltransferases;    2.7.7.7  DNA-directed DNA polymerase;     K02341  holB; DNA polymerase III subunit delta';DNA replication proteins [BR:ko03032]; Prokaryotic type;  DNA Replication Elongation Factors;   Elongation factors (bacterial);    DNA polymerase III holoenzyme;     K02341  holB; DNA polymerase III subunit delta';DNA repair and recombination proteins [BR:ko03400]; Prokaryotic type;  SSBR (single strand breaks repair);   MMR (mismatch excision repair);    DNA polymerase III holoenzyme;     K02341  holB; DNA polymerase III subunit delta',COG: COG0470;GO: 0003887
K01077,alkaline phosphatase [EC:3.1.3.1],Thiamine metabolism;Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors;Two-component system,"thiamin monophosphate phosphohydrolase;7,8-dihydroneopterin-3'-triphosphate phosphohydrolase (alkaline optimum)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09108 Metabolism of cofactors and vitamins;   00730 Thiamine metabolism;    K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase;   00790 Folate biosynthesis;    K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase; 09130 Environmental Information Processing;  09132 Signal transduction;   02020 Two-component system;    K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   04147 Exosome;    K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase;   00537 Glycosylphosphatidylinositol (GPI)-anchored proteins;    K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.1  Acting on ester bonds;   3.1.3  Phosphoric-monoester hydrolases;    3.1.3.1  alkaline phosphatase;     K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase;Exosome [BR:ko04147]; Exosomal proteins;  Exosomal proteins of other body fluids (saliva and urine);   K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase;Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]; Enzymes;  K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase",COG: COG1785;GO: 0004035
K20974,"two-component system, sensor histidine kinase [EC:2.7.13.3]",Two-component system;Biofilm formation - Pseudomonas aeruginosa,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   02020 Two-component system;    K20974  K20974; two-component system, sensor histidine kinase; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02025 Biofilm formation - Pseudomonas aeruginosa;    K20974  K20974; two-component system, sensor histidine kinase; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01001 Protein kinases;    K20974  K20974; two-component system, sensor histidine kinase;  09183 Protein families: signaling and cellular processes;   02022 Two-component system;    K20974  K20974; two-component system, sensor histidine kinase;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.13  Protein-histidine kinases;    2.7.13.3  histidine kinase;     K20974  K20974; two-component system, sensor histidine kinase;Protein kinases [BR:ko01001]; Histidine kinases;  Other;   K20974  K20974; two-component system, sensor histidine kinase;Two-component system [BR:ko02022]; Other families;  SagS-HptB-HsbR (swarming activity and biofilm formation);   K20974  K20974; two-component system, sensor histidine kinase",COG: COG0642 COG0745 COG0784;GO: 0000155
K03975,membrane-associated protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99996 General function prediction only;    K03975  dedA; membrane-associated protein,COG: COG0586
K07456,DNA mismatch repair protein MutS2,Mismatch repair,NA,KEGG Orthology (KO) [BR:ko00001]; 09120 Genetic Information Processing;  09124 Replication and repair;   03430 Mismatch repair;    K07456  mutS2; DNA mismatch repair protein MutS2; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03400 DNA repair and recombination proteins;    K07456  mutS2; DNA mismatch repair protein MutS2;DNA repair and recombination proteins [BR:ko03400]; Prokaryotic type;  SSBR (single strand breaks repair);   MMR (mismatch excision repair);    Mismatch and loop recognition factors;     K07456  mutS2; DNA mismatch repair protein MutS2,COG: COG1193
K04078,chaperonin GroES,NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03110 Chaperones and folding catalysts;    K04078  groES, HSPE1; chaperonin GroES;   03029 Mitochondrial biogenesis;    K04078  groES, HSPE1; chaperonin GroES;Chaperones and folding catalysts [BR:ko03110]; Heat shock proteins;  HSP10;   K04078  groES, HSPE1; chaperonin GroES;Mitochondrial biogenesis [BR:ko03029]; Mitochondrial protein import machinery;  Matrix;   Other matrix factors;    K04078  groES, HSPE1; chaperonin GroES",COG: COG0234
K02230,cobaltochelatase CobN [EC:6.6.1.2],Porphyrin metabolism;Metabolic pathways;Biosynthesis of cofactors,"hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)",KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09108 Metabolism of cofactors and vitamins;   00860 Porphyrin metabolism;    K02230  cobN; cobaltochelatase CobN;Enzymes [BR:ko01000]; 6. Ligases;  6.6  Forming nitrogen-metal bonds;   6.6.1  Forming coordination complexes;    6.6.1.2  cobaltochelatase;     K02230  cobN; cobaltochelatase CobN,COG: COG1429;GO: 0051116
K03405,magnesium chelatase subunit I [EC:6.6.1.1],Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,magnesium-protoporphyrin IX chelatase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09108 Metabolism of cofactors and vitamins;   00860 Porphyrin metabolism;    K03405  chlI, bchI; magnesium chelatase subunit I;Enzymes [BR:ko01000]; 6. Ligases;  6.6  Forming nitrogen-metal bonds;   6.6.1  Forming coordination complexes;    6.6.1.1  magnesium chelatase;     K03405  chlI, bchI; magnesium chelatase subunit I",COG: COG1239;GO: 0016851
K16840,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97],Purine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate carboxy-lyase [(S)-allantoin-forming]",KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09104 Nucleotide metabolism;   00230 Purine metabolism;    K16840  hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase;Enzymes [BR:ko01000]; 4. Lyases;  4.1  Carbon-carbon lyases;   4.1.1  Carboxy-lyases;    4.1.1.97  2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase;     K16840  hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,GO: 0051997
K07127,5-hydroxyisourate hydrolase [EC:3.5.2.17],Purine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,5-hydroxyisourate amidohydrolase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09104 Nucleotide metabolism;   00230 Purine metabolism;    K07127  uraH, pucM, hiuH; 5-hydroxyisourate hydrolase; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K07127  uraH, pucM, hiuH; 5-hydroxyisourate hydrolase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds;   3.5.2  In cyclic amides;    3.5.2.17  hydroxyisourate hydrolase;     K07127  uraH, pucM, hiuH; 5-hydroxyisourate hydrolase;Transporters [BR:ko02000]; Other transporters;  Others;   K07127  uraH, pucM, hiuH; 5-hydroxyisourate hydrolase",COG: COG2351;GO: 0033971;TC: 9.B.35.1.2 9.B.35.2
K01466,allantoinase [EC:3.5.2.5],Purine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,(S)-allantoin amidohydrolase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09104 Nucleotide metabolism;   00230 Purine metabolism;    K01466  allB; allantoinase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds;   3.5.2  In cyclic amides;    3.5.2.5  allantoinase;     K01466  allB; allantoinase",COG: COG0044;GO: 0004038
K23499,required for meiotic nuclear division protein 1,NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03029 Mitochondrial biogenesis;    K23499  RMND1; required for meiotic nuclear division protein 1;Mitochondrial biogenesis [BR:ko03029]; Mitochondrial DNA transcription, translation, and replication factors;  Mitochondrial transcription and translation factors;   Other mitochondrial DNA transcription and translation factors;    K23499  RMND1; required for meiotic nuclear division protein 1",NA
K16968,methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111],Sulfur metabolism;Metabolic pathways,"methanesulfonate,NADH:oxygen oxidoreductase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00920 Sulfur metabolism;    K16968  msmA; methanesulfonate monooxygenase subunit alpha;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor;    1.14.13.111  methanesulfonate monooxygenase (NADH);     K16968  msmA; methanesulfonate monooxygenase subunit alpha",GO: 0018648
K16969,methanesulfonate monooxygenase subunit beta [EC:1.14.13.111],Sulfur metabolism;Metabolic pathways,"methanesulfonate,NADH:oxygen oxidoreductase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00920 Sulfur metabolism;    K16969  msmB; methanesulfonate monooxygenase subunit beta;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor;    1.14.13.111  methanesulfonate monooxygenase (NADH);     K16969  msmB; methanesulfonate monooxygenase subunit beta",GO: 0018648
K09927,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K09927  K09927; uncharacterized protein,COG: COG3214
K22295,"TetR/AcrR family transcriptional regulator, repressor for neighboring sulfatase",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03000 Transcription factors;    K22295  K22295; TetR/AcrR family transcriptional regulator, repressor for neighboring sulfatase;Transcription factors [BR:ko03000]; Prokaryotic type;  Helix-turn-helix;   TetR/AcrR family;    K22295  K22295; TetR/AcrR family transcriptional regulator, repressor for neighboring sulfatase",COG: COG1309
K18586,ubiquinone biosynthesis protein COQ4,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99987 Cofactor metabolism;    K18586  COQ4; ubiquinone biosynthesis protein COQ4,COG: COG5031
K16317,tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03016 Transfer RNA biogenesis;    K16317  trmY; tRNA (pseudouridine54-N1)-methyltransferase;Enzymes [BR:ko01000]; 2. Transferases;  2.1  Transferring one-carbon groups;   2.1.1  Methyltransferases;    2.1.1.257  tRNA (pseudouridine54-N1)-methyltransferase;     K16317  trmY; tRNA (pseudouridine54-N1)-methyltransferase;Transfer RNA biogenesis [BR:ko03016]; Prokaryotic type;  tRNA modification factors;   Methyltransferases;    K16317  trmY; tRNA (pseudouridine54-N1)-methyltransferase,COG: COG1901
K08988,putative membrane protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99996 General function prediction only;    K08988  K08988; putative membrane protein,COG: COG3762
K06872,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K06872  K06872; uncharacterized protein,COG: COG1512
K01654,N-acetylneuraminate synthase [EC:2.5.1.56],Amino sugar and nucleotide sugar metabolism;O-Antigen nucleotide sugar biosynthesis;Metabolic pathways;Biosynthesis of nucleotide sugars,"phosphoenolpyruvate:N-acetyl-D-mannosamine C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming);phosphoenolpyruvate:N-acetyl-D-mannosamine-6-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00520 Amino sugar and nucleotide sugar metabolism;    K01654  neuB, nnaB; N-acetylneuraminate synthase;  09107 Glycan biosynthesis and metabolism;   00541 O-Antigen nucleotide sugar biosynthesis;    K01654  neuB, nnaB; N-acetylneuraminate synthase;Enzymes [BR:ko01000]; 2. Transferases;  2.5  Transferring alkyl or aryl groups, other than methyl groups;   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date);    2.5.1.56  N-acetylneuraminate synthase;     K01654  neuB, nnaB; N-acetylneuraminate synthase",COG: COG2089;GO: 0050462
K01507,inorganic pyrophosphatase [EC:3.6.1.1],Oxidative phosphorylation,NA,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K01507  ppa; inorganic pyrophosphatase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.6  Acting on acid anhydrides;   3.6.1  In phosphorus-containing anhydrides;    3.6.1.1  inorganic diphosphatase;     K01507  ppa; inorganic pyrophosphatase,COG: COG0221;GO: 0004427
K06158,"ATP-binding cassette, subfamily F, member 3",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03012 Translation factors;    K06158  ABCF3; ATP-binding cassette, subfamily F, member 3;Translation factors [BR:ko03012]; Eukaryotic type;  Initiation factors;   Initiation associated factors;    K06158  ABCF3; ATP-binding cassette, subfamily F, member 3",COG: COG0488;TC: 3.A.1.121.9
K10026,7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],Folate biosynthesis;Metabolic pathways,"6-carboxy-5,6,7,8-tetrahydropterin ammonia-lyase",KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09108 Metabolism of cofactors and vitamins;   00790 Folate biosynthesis;    K10026  queE; 7-carboxy-7-deazaguanine synthase; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03016 Transfer RNA biogenesis;    K10026  queE; 7-carboxy-7-deazaguanine synthase;Enzymes [BR:ko01000]; 4. Lyases;  4.3  Carbon-nitrogen lyases;   4.3.99  Other carbon-nitrogen lyases;    4.3.99.3  7-carboxy-7-deazaguanine synthase;     K10026  queE; 7-carboxy-7-deazaguanine synthase;Transfer RNA biogenesis [BR:ko03016]; Prokaryotic type;  tRNA modification factors;   Other tRNA modification factors;    K10026  queE; 7-carboxy-7-deazaguanine synthase,COG: COG0602
K03333,cholesterol oxidase [EC:1.1.3.6],Steroid degradation;Microbial metabolism in diverse environments,cholesterol:oxygen oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09111 Xenobiotics biodegradation and metabolism;   00984 Steroid degradation;    K03333  choD; cholesterol oxidase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.1  Acting on the CH-OH group of donors;   1.1.3  With oxygen as acceptor;    1.1.3.6  cholesterol oxidase;     K03333  choD; cholesterol oxidase,GO: 0016995
K08218,"MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG",beta-Lactam resistance,NA,"KEGG Orthology (KO) [BR:ko00001]; 09160 Human Diseases;  09175 Drug resistance: antimicrobial;   01501 beta-Lactam resistance;    K08218  ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K08218  ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG;Transporters [BR:ko02000]; Major facilitator superfamily (MFS);  Protein transporters;   Peptide-acetyl-CoA transporter (PAT);    K08218  ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG",COG: COG0477;TC: 2.A.1.25
