genome,cluster,Domain,Phylum,Class,Order,Family,Genus,Species,response_type
bco_bin_14,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,NA,NA,Wet
bco_bin_143,Cluster 1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter_F,NA,Dry
bco_bin_145,Cluster 1,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,JACCXM01,NA,Dry
bco_bin_146_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bco_bin_147,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,NA,Wet
bco_bin_148_1,Cluster 2,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,AC-14,NA,NA,Wet
bco_bin_149,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bco_bin_150,Cluster 3,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,NA,NA,Pulse
bco_bin_153,Cluster 1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter_F,NA,Dry
bco_bin_155,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,JAJTCL01,NA,Wet
bco_bin_158_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,NA,Wet
bco_bin_16,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,JAIBJP01,NA,Wet
bco_bin_160,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bco_bin_161,Cluster 3,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,NA,NA,Pulse
bco_bin_167_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Saccharopolyspora,NA,Wet
bco_bin_168,Cluster 3,Bacteria,Actinomycetota,UBA4738,UBA4738,HRBIN12,NA,NA,Pulse
bco_bin_170,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA,Wet
bco_bin_172,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,NA,NA,Wet
bco_bin_176,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
bco_bin_181,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Lentzea,NA,Wet
