FeatureID,Name,Formula,Annotation_level,LC_mode
FT_1.745_204.12300,Acetylcarnitine,C9H17NO4,L2,RP
FT_1.759_288.11903,Clavamycin E,C11H17N3O6,L3.3,RP
FT_1.774_469.09629,Neocretanin,C20H20O13,L3.3,RP
FT_1.776_453.12153,Nuezhenidic acid,C17H24O14,L3.3,RP
FT_1.822_277.10307,gamma-Glutamylglutamate,C10 H16 N2 O7,L2,RP
FT_1.975_112.05049,Cytosine,C4 H5 N3 O,L2,RP
FT_10.064_211.13043,Jasmonic acid,C12 H18 O3,L2,RP
FT_10.353_211.13040,Jasmonic acid,C12 H18 O3,L2,RP
FT_10.539_209.11480,NP-011223,C10 H18 O3,L2,RP
FT_10.540_123.11677,"1,2,3,4-Tetramethyl-1,3-cyclopentadiene",C9 H14,L2,RP
FT_10.540_169.12233,10-HDA,C10 H18 O3,L2,RP
FT_10.608_223.06001,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O6,L2,RP
FT_10.615_181.08602,"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one",C10 H14 O4,L2,RP
FT_10.732_253.10690,"(6S)-6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-5,6-dihydro-2H-pyran-2-one",C11 H18 O5,L2,RP
FT_10.734_305.06323,"3,4',5,6,7-Pentahydroxyflavanone",C15H12O7,L3.3,RP
FT_10.758_207.09912,Senkyunolide H,C12 H16 O4,L2,RP
FT_10.766_267.08627,"(3R,4S)-6,8-Dihydroxy-3,4,5-trimethyl-1-oxo-3,4-dihydro-1H-isochromene-7-carboxylic acid",C13 H14 O6,L2,RP
FT_10.769_195.06528,NP-019445,C10 H10 O4,L2,RP
FT_10.899_139.11172,Isophorone,C9 H14 O,L2,RP
FT_10.944_159.10159,"3',4'-Dimethoxyacetophenone",C10 H12 O3,L2,RP
FT_11.008_179.06750,NP-012042,C10 H12 O4,L2,RP
FT_11.090_161.05973,4-Methoxycinnamic acid,C10 H10 O3,L2,RP
FT_11.090_179.07054,4-Methoxycinnamic acid,C10 H10 O3,L2,RP
FT_11.098_265.06833,Banksiamarin A,C13H12O6,L3.3,RP
FT_11.180_181.04704,caffeate,C9H8O4,L3.3,RP
FT_11.232_283.11759,"(3S,4S)-3,4,8-trihydroxy-6-methoxy-7-(1-methoxyethyl)-3,4-dihydro-2H-naphthalen-1-one",C14H18O6,L3.3,RP
FT_11.304_193.04955,7-hydroxy-6-methoxy-2H-chromen-2-one,C10 H8 O4,L2,RP
FT_11.314_195.06521,Ferulic acid,C10 H10 O4,L2,RP
FT_11.379_209.11474,NP-011223,C10 H18 O3,L2,RP
FT_11.454_263.08909,"3-(3,4,5-trimethoxyphenyl)propanoic acid",C12 H16 O5,L2,RP
FT_11.491_167.03390,"1,3-Benzenedicarboxaldehyde, 4,6-dihydroxy-",C8H6O4,L3.3,RP
FT_11.505_163.03899,7-Hydroxycoumarine,C9 H6 O3,L2,RP
FT_11.565_223.09649,"3-(3,4,5-trimethoxyphenyl)propanoic acid",C12 H16 O5,L2,RP
FT_11.589_193.04953,Scopoletin,C10 H8 O4,L2,RP
FT_11.694_161.05974,3-Methoxycinnamic acid,C10 H10 O3,L2,RP
FT_11.694_235.09645,6-acetyl-2-(hydroxymethyl)-2-methyl-3H-chromen-4-one,C13H14O4,L2,RP
FT_11.771_211.06008,"2-(2-acetyl-3,5-dihydroxyphenyl)acetic acid",C10 H10 O5,L2,RP
FT_11.776_223.06005,"6-Hydroxy-7,8-dimethoxycoumarin",C11H10O5,L2,RP
FT_11.834_205.10702,"Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate",C9H16O5,L2,RP
FT_11.838_123.11677,"1,2,3,4-Tetramethyl-1,3-cyclopentadiene",C9 H14,L2,RP
FT_11.901_165.09108,4-Phenylbutyric acid,C10 H12 O2,L2,RP
FT_11.950_223.06004,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O6,L2,RP
FT_11.963_207.09907,Senkyunolide H,C12 H16 O4,L2,RP
FT_11.968_401.15712,"6-(1,3-Diphenylbut-3-en-2-yloxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",C22H24O7,L2,RP
FT_12.026_251.09138,Citrinin,C13 H14 O5,L2,RP
FT_12.109_207.09909,Senkyunolide H,C12 H16 O4,L2,RP
FT_12.148_227.08895,Biotin,C10 H16 N2 O3 S,L2,RP
FT_12.160_193.04957,"7,8-Dihydroxy-4-methylcoumarin",C10 H8 O4,L2,RP
FT_12.201_165.09102,4-Phenylbutyric acid,C10 H12 O2,L2,RP
FT_12.218_179.03372,Esculetin,C9 H6 O4,L2,RP
FT_12.245_283.08124,2-{[2-(3-cyano-2-pyridinyl)hydrazino]carbonyl}benzoic acid,C14 H10 N4 O3,L2,RP
FT_12.292_267.12266,4-oxododecanedioic acid,C12 H20 O5,L2,RP
FT_12.302_297.13320,Deoxynivalenol,C15 H20 O6,L2,RP
FT_12.311_223.06010,Saccharonol B,C11H10O5,L2,RP
FT_12.329_167.07030,Apocynin,C9 H10 O3,L2,RP
FT_12.347_169.12233,10-HDA,C10 H18 O3,L2,RP
FT_12.438_267.15908,NP-018534,C15 H22 O4,L2,RP
FT_12.468_207.06517,Scoparone,C11 H10 O4,L2,RP
FT_12.488_191.07028,3-(4-Methylbenzoyl)acrylic acid,C11 H10 O3,L2,RP
FT_12.554_207.09914,Senkyunolide H,C12 H16 O4,L2,RP
FT_12.555_139.11173,Isophorone,C9 H14 O,L2,RP
FT_12.560_169.04957,methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate,C8 H8 O4,L2,RP
FT_12.610_177.05462,4-Methylumbelliferone hydrate,C10 H8 O3,L2,RP
FT_12.613_267.15909,NP-018534,C15 H22 O4,L2,RP
FT_12.639_207.06519,Scoparone,C11 H10 O4,L2,RP
FT_12.670_361.16231,Triptolide,C20 H24 O6,L2,RP
FT_12.713_219.06518,NP-019992,C10 H12 O4,L2,RP
FT_12.740_281.10173,N1-(1H-indol-4-yl)cyclohexane-1-carboxamide,C15 H18 N2 O,L2,RP
FT_12.753_167.03385,Benzoquinoneacetic acid,C8H6O4,L3.3,RP
FT_12.812_251.12775,"5-[(1E)-3-hydroxy-3-methylbut-1-en-1-yl]-2-methylcyclohex-5-ene-1,2,4-triol",C12 H20 O4,L2,RP
FT_12.812_291.12045,NP-016564,C16 H20 O6,L2,RP
FT_12.818_265.10704,"3a[(2S)a2aHydroxypropyl]a6,8adimethoxya1Ha isochromena1aone",C14H16O5,L2,RP
FT_12.822_267.08631,Pestalotiopyrone H,C13H14O6,L3.3,RP
FT_12.931_209.08086,"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O4,L2,RP
FT_12.933_195.06530,NP-001130,C8 H12 O4,L2,RP
FT_12.979_321.13100,"methyl 2-(1,3,5-trihydroxy-4a-methyl-8-oxo-decahydronaphthalen-2-yl)prop-2-enoate",C15 H22 O6,L2,RP
FT_12.981_321.13098,(Z)-Mycophenolic Acid,C17H20O6,L3.3,RP
FT_13.023_189.08828,NP-013210,C12 H14 O3,L2,RP
FT_13.030_235.09647,Gtri-02,C13H14O4,L2,RP
FT_13.053_245.11716,"(3aR,4aS,5R,8S,9aR)-5-hydroxy-4a,8-dimethyl-3-methylidene-2H,3H,3aH,4H,4aH,5H,6H,8H,9H,9aH-azuleno[6,5-b]furan-2,6-dione",C15 H18 O4,L2,RP
FT_13.126_237.11210,"1-[3-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-1-benzofuran-5-yl]ethanone",C13 H16 O4,L2,RP
FT_13.150_179.07030,NP-012042,C10 H12 O4,L2,RP
FT_13.279_195.02880,"4,6,7-Trihydroxycoumarin",C9H6O5,L3.1,RP
FT_13.285_193.04949,"6,7-Dihydroxy-4-methylcoumarin",C10 H8 O4,L2,RP
FT_13.285_211.06008,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",C10 H10 O5,L2,RP
FT_13.290_167.03389,5-Formylsalicylic acid,C8H6O4,L3.3,RP
FT_13.355_137.13245,Eucalyptol,C10 H18 O,L2,RP
FT_13.390_209.08082,"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O4,L2,RP
FT_13.401_219.17435,NP-004713,C15 H24 O2,L2,RP
FT_13.404_181.04954,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",C9 H8 O4,L2,RP
FT_13.404_253.10703,"(2S)-7-hydroxy-8-(2-hydroxyethyl)-5-methoxy-2-methyl-2,3-dihydrochromen-4-one",C13H16O5,L2,RP
FT_13.420_237.07574,"6,7,8-trimethoxy-2H-chromen-2-one",C12 H12 O5,L2,RP
FT_13.422_211.06008,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",C10 H10 O5,L2,RP
FT_13.440_315.14387,"1-Allyl-3-[(2S,11aS)-5,11-dioxo-2,3,5,10,11,11a-hexahydro-1H-pyrrolo[2,1-c][1,4]benzodiazepin-2-yl]urea",C16 H18 N4 O3,L2,RP
FT_13.477_195.06519,NP-019445,C10 H10 O4,L2,RP
FT_13.521_153.12740,D-(+)-Camphor,C10 H16 O,L2,RP
FT_13.639_283.11762,NP-020363,C14 H18 O6,L2,RP
FT_13.672_237.11211,"1-[3-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-1-benzofuran-5-yl]ethanone",C13 H16 O4,L2,RP
FT_13.693_267.15907,NP-018534,C15 H22 O4,L2,RP
FT_13.741_167.10667,6-Pentyl-2H-pyran-2-one,C10 H14 O2,L2,RP
FT_13.747_233.08082,Citrinin,C13 H14 O5,L2,RP
FT_13.762_231.13793,"7-Methyl-3-methylene-6-(3-oxobutyl)-3,3a,4,7,8,8a-hexahydro-2H-cyclohepta[b]furan-2-one",C15 H20 O3,L2,RP
FT_13.773_197.08089,Sparassol,C10H12O4,L3.3,RP
FT_13.773_223.09647,"1-(5-Acetyl-2,4-dimethoxyphenyl)ethanone",C12H14O4,L3.3,RP
FT_13.798_308.17041,"8H,16H-Dinaphtho[2,1-d:1',2'-g][1,3]dioxocine",C22H16O2,L2,RP
FT_13.808_181.04953,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",C9 H8 O4,L2,RP
FT_13.813_235.09647,NP-020206,C11 H16 O4,L2,RP
FT_13.822_251.09140,Citrinin,C13 H14 O5,L2,RP
FT_13.835_253.10703,"(6S)-6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-5,6-dihydro-2H-pyran-2-one",C11 H18 O5,L2,RP
FT_13.958_151.07537,4'-Methoxyacetophenone,C9 H10 O2,L2,RP
FT_13.958_231.09913,Demethylsuberosin,C14H14O3,L3.3,RP
FT_13.986_251.09140,Citrinin,C13 H14 O5,L2,RP
FT_14.025_267.12269,4-oxododecanedioic acid,C12 H20 O5,L2,RP
FT_14.130_229.08603,"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one",C14 H12 O3,L2,RP
FT_14.157_253.10703,Eugenone,C13H16O5,L3.3,RP
FT_14.159_211.06009,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",C10 H10 O5,L2,RP
FT_14.159_235.09648,NP-020206,C11 H16 O4,L2,RP
FT_14.256_275.16186,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",C15 H24 O3,L2,RP
FT_14.354_195.06518,NP-019445,C10 H10 O4,L2,RP
FT_14.355_267.12270,4-oxododecanedioic acid,C12 H20 O5,L2,RP
FT_14.388_249.11214,NP-021018,C12 H18 O4,L2,RP
FT_14.473_253.10704,"2,4-Dihydroxy-6-(4-hydroxy-2-oxopentyl)-3-methylbenzaldehyde",C13H16O5,L3.3,RP
FT_14.508_237.11214,8-Ethyl-7-hydroxy-5-methoxy-2-methylchroman-4-one,C13H16O4,L3.3,RP
FT_14.508_265.10707,Peucedanol,C14H16O5,L3.3,RP
FT_14.514_233.08083,Cassiachromone,C13H12O4,L3.3,RP
FT_14.540_209.08081,"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O4,L2,RP
FT_14.540_275.08918,Phloretin,C15H14O5,L3.3,RP
FT_14.603_237.07571,"6,7,8-trimethoxy-2H-chromen-2-one",C12 H12 O5,L2,RP
FT_14.612_193.04952,"5,7-Dihydroxy-4-methylcoumarin",C10 H8 O4,L2,RP
FT_14.685_401.15946,"6-(1,3-Diphenylbut-3-en-2-yloxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",C22H24O7,L3.3,RP
FT_14.703_211.06009,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",C10 H10 O5,L2,RP
FT_14.703_225.07574,"3,4-Dihydroxy-5-methoxy-trans-cinnamic acid methyl ester",C11H12O5,L3.3,RP
FT_14.766_167.07029,Apocynin,C9 H10 O3,L2,RP
FT_14.804_237.11212,3-Dimethylallyl-4-hydroxymandelic acid,C13H16O4,L3.3,RP
FT_14.841_401.15946,Sterenin F,C22H24O7,L3.3,RP
FT_14.852_327.03427,"5-[(4-Thiophen-2-ylpyrimidin-2-yl)sulfanylmethyl]-2,1,3-benzoxadiazole",C15 H10 N4 O S2,L2,RP
FT_14.891_263.12773,Ustusorane A,C15H18O4,L3.3,RP
FT_14.925_247.09650,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C14 H14 O4,L2,RP
FT_14.925_311.16420,Estriol,C18 H24 O3,L2,RP
FT_14.926_351.15669,"(2S)-5,7-dimethoxy-8-(3-methylbuta-1,3-dienyl)-2-phenyl-2,3-dihydrochromen-4-one",C22H22O4,L3.3,RP
FT_14.957_273.10978,"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene",C16H16O4,L3.3,RP
FT_14.959_233.11720,Sorbicillin,C14 H16 O3,L2,RP
FT_14.966_331.15187,Helenalin methacrylate,C19H22O5,L3.3,RP
FT_14.973_265.10705,NP-020400,C12 H18 O5,L2,RP
FT_14.979_267.12270,Acronyculatin D,C14H18O5,L3.3,RP
FT_15.020_153.12739,alpha-Pinene oxide,C10 H16 O,L2,RP
FT_15.037_235.09648,NP-020364,C13H16O5,L2,RP
FT_15.124_265.14341,(±)-Abscisic acid,C15 H20 O4,L2,RP
FT_15.134_253.10704,Eugenone,C13H16O5,L3.3,RP
FT_15.141_195.06518,NP-019445,C10 H10 O4,L2,RP
FT_15.160_233.11721,Sorbicillin,C14 H16 O3,L2,RP
FT_15.263_251.12776,coenzyme Q1,C14H18O4,L2,RP
FT_15.269_295.11764,Tutin,C15H18O6,L3.3,RP
FT_15.285_209.07863,Methyl ferulate,C11H12O4,L3.3,RP
FT_15.290_245.11721,Peruvinine,C15H20O4,L2,RP
FT_15.295_271.15396,"2-(benzotriazol-1-yl)-N-(2,3-dihydro-1H-inden-2-yl)acetamide",C17 H16 N4 O,L2,RP
FT_15.305_311.16421,"Cembratetraene-16,2:19,6-diolide",C20H24O4,L2,RP
FT_15.346_193.04943,"5,7-Dihydroxy-4-methylcoumarin",C10 H8 O4,L2,RP
FT_15.349_249.11213,NP-021018,C12 H18 O4,L2,RP
FT_15.356_221.08084,"8-Hydroxy-6-methoxy-3,4-dimethylisochromen-1-one",C12H12O4,L3.3,RP
FT_15.371_251.12770,coenzyme Q1,C14H18O4,L2,RP
FT_15.439_267.12270,4-oxododecanedioic acid,C12 H20 O5,L2,RP
FT_15.452_179.07028,NP-012042,C10 H12 O4,L2,RP
FT_15.503_261.11213,NP-019855,C15 H18 O5,L2,RP
FT_15.510_313.17987,"6-[(2E,6E)-7-(5-hydroxy-3-methyl-2-oxocyclopent-3-en-1-yl)-6-methylhepta-2,6-dien-2-yl]-3-methyl-5,6-dihydro-2H-pyran-2-one",C20 H26 O4,L2,RP
FT_15.514_233.11721,Sorbicillin,C14 H16 O3,L2,RP
FT_15.519_331.15183,Gibberellin A88,C19H22O5,L3.1,RP
FT_15.560_251.12772,"5-[(1E)-3-hydroxy-3-methylbut-1-en-1-yl]-2-methylcyclohex-5-ene-1,2,4-triol",C12 H20 O4,L2,RP
FT_15.577_195.06518,NP-019445,C10 H10 O4,L2,RP
FT_15.580_237.07574,"(7R,8S)-7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde",C12 H12 O5,L2,RP
FT_15.594_229.12236,"(3aS,5aS,9bR)-5a,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,5aH,6H,7H,8H,9bH-naphtho[1,2-b]furan-2,5-dione",C15 H18 O3,L2,RP
FT_15.595_247.13285,"5,10,15-trimethyl-4,9,13-trioxatetracyclo[10.3.0.0Âl,âµ.0â¸,Âaâ°]pentadec-1(15)-en-14-one",C15 H20 O4,L2,RP
FT_15.645_177.05460,4-Methylumbelliferone hydrate,C10 H8 O3,L2,RP
FT_15.679_251.16414,"9-hydroxy-2,10,10-trimethyltricyclo[6.3.0.0Âa,âµ]undec-6-ene-6-carboxylic acid",C15 H22 O3,L2,RP
FT_15.767_245.11720,"(3aR,4aS,5R,8S,9aR)-5-hydroxy-4a,8-dimethyl-3-methylidene-2H,3H,3aH,4H,4aH,5H,6H,8H,9H,9aH-azuleno[6,5-b]furan-2,6-dione",C15 H18 O4,L2,RP
FT_15.767_285.10980,"4-methoxy-9-(2-methylbut-3-en-2-yl)-7H-furo[3,2-g]chromen-7-one",C17 H16 O4,L2,RP
FT_15.789_225.07575,NP-020902,C9 H14 O5,L2,RP
FT_15.824_279.12272,NP-021074,C13 H20 O5,L2,RP
FT_15.848_211.06009,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",C10 H10 O5,L2,RP
FT_15.937_235.16919,NP-008095,C15 H24 O3,L2,RP
FT_15.960_249.11212,NP-021018,C12 H18 O4,L2,RP
FT_15.986_235.09646,"7-Acetyl-3,6-dihydroxy-8-methyl-tetralone",C13 H14 O4,L2,RP
FT_16.007_193.08588,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,L2,RP
FT_16.077_251.09138,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,L2,RP
FT_16.098_179.07028,NP-012042,C10 H12 O4,L2,RP
FT_16.186_227.10660,NP-003672,C15 H14 O2,L2,RP
FT_16.335_277.14341,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one",C14 H22 O4,L2,RP
FT_16.366_263.12779,NP-003117,C13 H20 O4,L2,RP
FT_16.370_243.10156,beta-Lapachone,C15 H14 O3,L2,RP
FT_16.429_289.10700,NP-005519,C14 H18 O5,L2,RP
FT_16.487_249.11212,NP-021018,C12 H18 O4,L2,RP
FT_16.498_297.18490,Eicosatetraynoic acid,C20 H24 O2,L2,RP
FT_16.499_287.20054,Eicosatetraynoic acid,C20 H24 O2,L2,RP
FT_16.500_333.20609,Prostaglandin K2,C20 H30 O5,L2,RP
FT_16.500_373.19862,Veraguensin,C22H28O5,L3.1,RP
FT_16.507_315.19550,Kahweol,C20 H26 O3,L2,RP
FT_16.546_507.19918,"2-Methoxy-N-(5-{5-[(2S)-1-(3,4,5-trimethoxybenzyl)-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-4-pyrimidinyl)acetamide",C23 H28 N6 O6,L2,RP
FT_16.581_233.08084,Citrinin,C13 H14 O5,L2,RP
FT_16.680_277.10707,"7-[(3,3-dimethyloxiran-2-yl)methoxy]-6-methoxy-2H-chromen-2-one",C15 H16 O5,L2,RP
FT_16.722_356.17046,"5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid",C20 H30 O5,L3.3,RP
FT_16.726_319.22682,NP-014287,C18 H32 O3,L2,RP
FT_16.772_353.23006,"(ent-6alpha,7alpha,16alphaH)-6,7,17-Trihydroxy-19-kauranoic acid",C20H32O5,L3.3,RP
