FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,env_sig,LC_mode
FT_11.491_185.04450,-0.30422518,0.103135806,25.29023525,-2.949753253,-0.516513813,-0.091936547,0.00676156,0.040089506,"2,3-Dihydroxy-4-methoxybenzoic acid",C8H8O5,L2.3,moisture,RP
FT_11.492_225.07575,-0.271470958,0.075118251,25.35132721,-3.613914774,-0.426071251,-0.116870664,0.001304772,0.012621955,"1-(3-Acetyl-2,4-dihydroxy-6-methoxyphenyl)ethan-1-one",C11H12O5,L2.3,moisture,RP
FT_11.565_223.09649,-0.313257177,0.083232898,28,-3.763622128,-0.483752039,-0.142762314,7.89E-04,0.008530905,"3-(3,4,5-trimethoxyphenyl)propanoic acid",C12H16O5,L2.1,moisture,RP
FT_11.579_197.04447,-0.293462862,0.101288906,25.87357763,-2.89728534,-0.501714712,-0.085211011,0.007562478,0.043436983,Haematommic acid,C9H8O5,L2.3,moisture,RP
FT_11.741_384.18062,0.949923242,0.295255245,28,3.217295067,0.34512029,1.554726193,0.003259186,0.023760287,Peniprequinolone,C22H25NO5,L2.3,moisture,RP
FT_11.965_225.07577,-0.219744629,0.07540473,25.49650388,-2.914202184,-0.374890377,-0.064598881,0.007325724,0.04288115,Sinapic acid,C11H12O5,L1,moisture,RP
FT_12.560_169.04957,-0.307861384,0.085580734,25.26005524,-3.597321141,-0.484026241,-0.131696527,0.001366304,0.012944675,methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate,C8H8O4,L2.1,moisture,RP
FT_12.561_255.08605,-0.325370977,0.09567746,25.26812069,-3.40070667,-0.522316428,-0.128425526,0.002240058,0.018546062,"Methyl 4-acetyloxy-3,5-dimethoxybenzoate",C12H14O6,L2.3,moisture,RP
FT_12.753_167.03385,-0.260036921,0.067306857,25.23121326,-3.863453621,-0.398593606,-0.121480237,6.94E-04,0.007831623,Benzoquinoneacetic acid,C8H6O4,L2.2,moisture,RP
FT_12.756_239.09136,-0.201670888,0.065582906,25.22190234,-3.075052617,-0.336681181,-0.066660594,0.005006775,0.031089363,"8-Hydroxy-6,7-dimethoxy-3-methyl-3,4-dihydroisochromen-1-one",C12H14O5,L2.3,moisture,RP
FT_12.768_223.09653,-0.15815623,0.036942518,26.02053972,-4.28114379,-0.234089745,-0.082222714,2.24E-04,0.002977586,"1,3-Diacetyl-4,6-dimethoxybenzene",C12H14O4,L2.3,moisture,RP
FT_12.928_299.11251,-0.257727306,0.090225839,25.60520296,-2.85646893,-0.443328449,-0.072126164,0.008386114,0.045874041,Aspergilate D,C14H18O7,L2.2,moisture,RP
FT_12.933_195.06530,-0.591664293,0.189920847,25.45916686,-3.115320423,-0.982456204,-0.200872381,0.004508579,0.029354531,NP-001130,C8H12O4,L2.1,moisture,RP
FT_13.197_283.11747,-0.204246071,0.06255724,25.85743458,-3.26494697,-0.332868834,-0.075623308,0.003079524,0.023124826,"(3S,4S)-3,4,8-trihydroxy-6-methoxy-7-(1-methoxyethyl)-3,4-dihydro-2H-naphthalen-1-one",C14H18O6,L2.2,moisture,RP
FT_13.257_239.09130,-0.475918935,0.149999603,25.669902,-3.1728013,-0.78444062,-0.167397249,0.003891441,0.026688316,46-Dimethylcurvulinic acid,C12H14O5,L2.3,moisture,RP
